Title,Author,Original Price,Discounted Price,URL
দেশে বিদেশে,সৈয়দ মুজতবা আলী,৩৫০.০০ টাকা,২৮০.০০ টাকা,https://www.prothoma.com/product/10193/%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87
প্রেম ও মজলিশি,সৈয়দ মুজতবা আলী,২৬০.০০ টাকা,২০৮.০০ টাকা,https://www.prothoma.com/product/9140/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AE-%E0%A6%93-%E0%A6%AE%E0%A6%9C%E0%A6%B2%E0%A6%BF%E0%A6%B6%E0%A6%BF
তুলনাহীনা,সৈয়দ মুজতবা আলী,২২০.০০ টাকা,১৭৬.০০ টাকা,https://www.prothoma.com/product/8754/%E0%A6%A4%E0%A7%81%E0%A6%B2%E0%A6%A8%E0%A6%BE%E0%A6%B9%E0%A7%80%E0%A6%A8%E0%A6%BE
টুনি মেম - সৈয়দ মুজতবা আলী,সৈয়দ মুজতবা আলী,৩০০.০০ টাকা,২৪০.০০ টাকা,https://www.prothoma.com/product/8750/%E0%A6%9F%E0%A7%81%E0%A6%A8%E0%A6%BF-%E0%A6%AE%E0%A7%87%E0%A6%AE---%E0%A6%B8%E0%A7%88%E0%A6%AF%E0%A6%BC%E0%A6%A6-%E0%A6%AE%E0%A7%81%E0%A6%9C%E0%A6%A4%E0%A6%AC%E0%A6%BE-%E0%A6%86%E0%A6%B2%E0%A7%80
বাংলাদেশ - সৈয়দ মুজতবা আলী,সৈয়দ মুজতবা আলী,১৫০.০০ টাকা,১২০.০০ টাকা,https://www.prothoma.com/product/8748/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6---%E0%A6%B8%E0%A7%88%E0%A6%AF%E0%A6%BC%E0%A6%A6-%E0%A6%AE%E0%A7%81%E0%A6%9C%E0%A6%A4%E0%A6%AC%E0%A6%BE-%E0%A6%86%E0%A6%B2%E0%A7%80
মুসাফির,সৈয়দ মুজতবা আলী,২৪০.০০ টাকা,১৯২.০০ টাকা,https://www.prothoma.com/product/8726/%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%BE%E0%A6%AB%E0%A6%BF%E0%A6%B0
অবিশ্বাস্য,সৈয়দ মুজতবা আলী,১৬০.০০ টাকা,১২৮.০০ টাকা,https://www.prothoma.com/product/8519/%E0%A6%85%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%AF
কিশোর আনন্দ-৬,আবদুল্লাহ আবু সায়ীদ,২০০.০০ টাকা,১৬০.০০ টাকা,https://www.prothoma.com/product/8521/%E0%A6%95%E0%A6%BF%E0%A6%B6%E0%A7%8B%E0%A6%B0-%E0%A6%86%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6-%E0%A7%AC
ভবঘুরে ও অন্যান্য,সৈয়দ মুজতবা আলী,২৭৫.০০ টাকা,২২০.০০ টাকা,https://www.prothoma.com/product/8516/%E0%A6%AD%E0%A6%AC%E0%A6%98%E0%A7%81%E0%A6%B0%E0%A7%87-%E0%A6%93-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%AF
ধূপছায়া,সৈয়দ মুজতবা আলী,২০০.০০ টাকা,১৬০.০০ টাকা,https://www.prothoma.com/product/8513/%E0%A6%A7%E0%A7%82%E0%A6%AA%E0%A6%9B%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%BE
