Title,Author,Original Price,Discounted Price,URL
কম্পোজিশন - ধীমান দাশগুপ্ত,ধীমান দাশগুপ্ত,৪৭৫.০০ টাকা,৪৫১.২৫ টাকা,https://www.prothoma.com/product/8523/%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A7%8B%E0%A6%9C%E0%A6%BF%E0%A6%B6%E0%A6%A8---%E0%A6%A7%E0%A7%80%E0%A6%AE%E0%A6%BE%E0%A6%A8-%E0%A6%A6%E0%A6%BE%E0%A6%B6%E0%A6%97%E0%A7%81%E0%A6%AA%E0%A7%8D%E0%A6%A4
বাংলা ভাষা ও সাহিত্যের অভিধান,Bitshok Bhattacharya,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/8247/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE-%E0%A6%93-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%A7%E0%A6%BE%E0%A6%A8
স্থাবর,বনফুল,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/8220/%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%AC%E0%A6%B0
বনফুলের নাটকসমগ্র প্রথম খণ্ড,বনফুল,৬১৮.০০ টাকা,৫৮৭.১০ টাকা,https://www.prothoma.com/product/7774/%E0%A6%AC%E0%A6%A8%E0%A6%AB%E0%A7%81%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%A8%E0%A6%BE%E0%A6%9F%E0%A6%95%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A5%E0%A6%AE-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1
বনফুলের নাটকসমগ্র দ্বিতীয় খণ্ড,বনফুল,৬৯৪.০০ টাকা,৬৫৯.৩০ টাকা,https://www.prothoma.com/product/7772/%E0%A6%AC%E0%A6%A8%E0%A6%AB%E0%A7%81%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%A8%E0%A6%BE%E0%A6%9F%E0%A6%95%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1
টেলিভিশন ও টিভি প্রযোজনা,ধীমান দাশগুপ্ত,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/6454/%E0%A6%9F%E0%A7%87%E0%A6%B2%E0%A6%BF%E0%A6%AD%E0%A6%BF%E0%A6%B6%E0%A6%A8-%E0%A6%93-%E0%A6%9F%E0%A6%BF%E0%A6%AD%E0%A6%BF-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A7%8B%E0%A6%9C%E0%A6%A8%E0%A6%BE
আমি ও আমার সিনেমা,মৃণাল সেন,৭৬০.০০ টাকা,৭২২.০০ টাকা,https://www.prothoma.com/product/6365/%E0%A6%86%E0%A6%AE%E0%A6%BF-%E0%A6%93-%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A7%87%E0%A6%AE%E0%A6%BE-1
সত্যজিৎ - দিলীপ মুখোপাধ্যায়,দিলীপ মুখোপাধ্যায়,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/6320/%E0%A6%B8%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%9C%E0%A6%BF%E0%A7%8E---%E0%A6%A6%E0%A6%BF%E0%A6%B2%E0%A7%80%E0%A6%AA-%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC
ফিল্ম সেন্স - সের্গেই আইজেনস্টাইন,সের্গেই আইজেনস্টাইন,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/6252/%E0%A6%AB%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%AE-%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%B8---%E0%A6%B8%E0%A7%87%E0%A6%B0%E0%A7%8D%E0%A6%97%E0%A7%87%E0%A6%87-%E0%A6%86%E0%A6%87%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%87%E0%A6%A8
ফিল্মফর্ম - সের্গেই আইজেনস্টাইন,সের্গেই আইজেনস্টাইন,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/6254/%E0%A6%AB%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%AE%E0%A6%AB%E0%A6%B0%E0%A7%8D%E0%A6%AE---%E0%A6%B8%E0%A7%87%E0%A6%B0%E0%A7%8D%E0%A6%97%E0%A7%87%E0%A6%87-%E0%A6%86%E0%A6%87%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%87%E0%A6%A8
বনফুলের পাঁচটি উপন্যাস,বনফুল,৯৫০.০০ টাকা,৯০২.৫০ টাকা,https://www.prothoma.com/product/6250/%E0%A6%AC%E0%A6%A8%E0%A6%AB%E0%A7%81%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A6%BE%E0%A6%81%E0%A6%9A%E0%A6%9F%E0%A6%BF-%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8
চার্লি দ কিড,সের্গেই আইজেনস্টাইন,১৪২.০০ টাকা,১৩৪.৯০ টাকা,https://www.prothoma.com/product/6163/%E0%A6%9A%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B2%E0%A6%BF-%E0%A6%A6-%E0%A6%95%E0%A6%BF%E0%A6%A1
মুভি ফোটোগ্রাফি,ধীমান দাশগুপ্ত,৩৪০.০০ টাকা,৩২৩.০০ টাকা,https://www.prothoma.com/product/6102/%E0%A6%AE%E0%A7%81%E0%A6%AD%E0%A6%BF-%E0%A6%AB%E0%A7%8B%E0%A6%9F%E0%A7%8B%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AB%E0%A6%BF
পুরাণপ্রতিমায় রবীন্দ্রনাথ,Bitshok Bhattacharya,৩০০.০০ টাকা,২৮৫.০০ টাকা,https://www.prothoma.com/product/5204/%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%BE%E0%A6%A3%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5
বিদ্যাসাগর - বনফুল,বনফুল,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/5100/%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A6%BE%E0%A6%97%E0%A6%B0---%E0%A6%AC%E0%A6%A8%E0%A6%AB%E0%A7%81%E0%A6%B2
ক্রমপাঠ,Aninda Bhattacharya,৩৬০.০০ টাকা,৩৪২.০০ টাকা,https://www.prothoma.com/product/4962/%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AE%E0%A6%AA%E0%A6%BE%E0%A6%A0
সিনেমায় ইমেজ,ধীমান দাশগুপ্ত,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/4844/%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A7%87%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%87%E0%A6%AE%E0%A7%87%E0%A6%9C
ভুবন সোম,মৃণাল সেন,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/4841/%E0%A6%AD%E0%A7%81%E0%A6%AC%E0%A6%A8-%E0%A6%B8%E0%A7%8B%E0%A6%AE
