Title,Author,Original Price,Discounted Price,URL
হিন্দু মুসলিম সম্পর্ক,মিলন দত্ত,"১,১৪০.০০ টাকা","১,০৮৩.০০ টাকা",https://www.prothoma.com/product/9356/%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81-%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%AE-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%95-1
তিন তালাক ও কিছু প্রশ্ন,জাহাঙ্গীর হোসেন,৩৮.০০ টাকা,৩৬.১০ টাকা,https://www.prothoma.com/product/9185/%E0%A6%A4%E0%A6%BF%E0%A6%A8-%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%95-%E0%A6%93-%E0%A6%95%E0%A6%BF%E0%A6%9B%E0%A7%81-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B6%E0%A7%8D%E0%A6%A8
সাম্প্রদায়িক সংস্কৃতি ও বিপন্ন সময়,Asok Chattopadhyay,৩০৪.০০ টাকা,২৮৮.৮০ টাকা,https://www.prothoma.com/product/9132/%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%BF%E0%A6%95-%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%A8-%E0%A6%B8%E0%A6%AE%E0%A6%AF%E0%A6%BC
হিন্দু মুসলিম সম্পর্ক,মিলন দত্ত,"১,১৪০.০০ টাকা","১,০৮৩.০০ টাকা",https://www.prothoma.com/product/7371/%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81-%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%AE-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%95
কুরসিনামা,জাকির তালুকদার,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/6646/%E0%A6%95%E0%A7%81%E0%A6%B0%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A6%BE%E0%A6%AE%E0%A6%BE
পদ্য নিয়ে গদ্য,দীপক রায়,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/6641/%E0%A6%AA%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87-%E0%A6%97%E0%A6%A6%E0%A7%8D%E0%A6%AF
স্ল্যাং : সাম্প্রতিক কবিতায়,Anirban Manna,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/6636/%E0%A6%B8%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%82-:-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%AF%E0%A6%BC
বঙ্গকবিতাবিদ্যা,পাবলো শাহি,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/6021/%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE
অনির্বাণ সেই অগ্নিশিখা,বুলবুল আহমেদ,৯৫০.০০ টাকা,৯০২.৫০ টাকা,https://www.prothoma.com/product/6023/%E0%A6%85%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A3-%E0%A6%B8%E0%A7%87%E0%A6%87-%E0%A6%85%E0%A6%97%E0%A7%8D%E0%A6%A8%E0%A6%BF%E0%A6%B6%E0%A6%BF%E0%A6%96%E0%A6%BE-1
অনির্বাণ সেই অগ্নিশিখা,বুলবুল আহমেদ,৯৫০.০০ টাকা,৯০২.৫০ টাকা,https://www.prothoma.com/product/5620/%E0%A6%85%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A3-%E0%A6%B8%E0%A7%87%E0%A6%87-%E0%A6%85%E0%A6%97%E0%A7%8D%E0%A6%A8%E0%A6%BF%E0%A6%B6%E0%A6%BF%E0%A6%96%E0%A6%BE
বাংলা সাহিত্যে বৌদ্ধধর্ম ও সংস্কৃতি (১-২) খণ্ড,Asha Das,"১,৫২০.০০ টাকা","১,৪৪৪.০০ টাকা",https://www.prothoma.com/product/5044/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87-%E0%A6%AC%E0%A7%8C%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%A7%E0%A6%B0%E0%A7%8D%E0%A6%AE-%E0%A6%93-%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF-%28%E0%A7%A7-%E0%A7%A8%29-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1
মঙ্গলকাব্য বাঙালির পুরাণ-ইতিহাস,উত্তম পুরকাইত,"১,২৩৫.০০ টাকা","১,১৭৩.২৫ টাকা",https://www.prothoma.com/product/5038/%E0%A6%AE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%B2%E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%AF-%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%B0-%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%BE%E0%A6%A3-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8
