Title,Author,Original Price,Discounted Price,URL
পাউলো ফ্রেইরি মুক্তির জন্য প্রয়াস,পাউলো ফ্রেইরি,৩০৪.০০ টাকা,২৮৮.৮০ টাকা,https://www.prothoma.com/product/10382/%E0%A6%AA%E0%A6%BE%E0%A6%89%E0%A6%B2%E0%A7%8B-%E0%A6%AB%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%87%E0%A6%B0%E0%A6%BF-%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B8
ক-বাবুর যতকথা,বের্টোল্ট ব্রেখট,৩০৪.০০ টাকা,২৮৮.৮০ টাকা,https://www.prothoma.com/product/10357/%E0%A6%95-%E0%A6%AC%E0%A6%BE%E0%A6%AC%E0%A7%81%E0%A6%B0-%E0%A6%AF%E0%A6%A4%E0%A6%95%E0%A6%A5%E0%A6%BE
The Ornaments of Bengal,Bholanath Bhattacharya,৩৯০.০০ টাকা,৩৭০.৫০ টাকা,https://www.prothoma.com/product/7969/the-ornaments-of-bengal
মনফকিরা মনের ছবি : monfakira the mindscape,সন্দীপন ভট্টচার্য,২৪০.০০ টাকা,২২৮.০০ টাকা,https://www.prothoma.com/product/7653/%E0%A6%AE%E0%A6%A8%E0%A6%AB%E0%A6%95%E0%A6%BF%E0%A6%B0%E0%A6%BE-%E0%A6%AE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%9B%E0%A6%AC%E0%A6%BF-:-monfakira-the-mindscape
জঙ্গলমহলের জার্নাল,Sandip Mukhopadhyay,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/7506/%E0%A6%9C%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%B2%E0%A6%AE%E0%A6%B9%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A8%E0%A6%BE%E0%A6%B2
বিপন্ন দেশ-কাল-সমাজ,সঞ্চয় মুখোপাধ্যায়,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/7433/%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%A8-%E0%A6%A6%E0%A7%87%E0%A6%B6-%E0%A6%95%E0%A6%BE%E0%A6%B2-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C
বিপন্ন গণতন্ত্র লুঠেরা কর্পোরেটতন্ত্র,সঞ্চয় মুখোপাধ্যায়,২৬৬.০০ টাকা,২৫২.৭০ টাকা,https://www.prothoma.com/product/7435/%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%A8-%E0%A6%97%E0%A6%A3%E0%A6%A4%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%B2%E0%A7%81%E0%A6%A0%E0%A7%87%E0%A6%B0%E0%A6%BE-%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AA%E0%A7%8B%E0%A6%B0%E0%A7%87%E0%A6%9F%E0%A6%A4%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0
যেভাবে চলেছে দুনিয়া,সঞ্চয় মুখোপাধ্যায়,২২৮.০০ টাকা,২১৬.৬০ টাকা,https://www.prothoma.com/product/7429/%E0%A6%AF%E0%A7%87%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87-%E0%A6%9A%E0%A6%B2%E0%A7%87%E0%A6%9B%E0%A7%87-%E0%A6%A6%E0%A7%81%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE-1
ভাবনার আগল ভাঙ্গো,নোয়াম চমস্কি,৪১৮.০০ টাকা,৩৯৭.১০ টাকা,https://www.prothoma.com/product/7324/%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%86%E0%A6%97%E0%A6%B2-%E0%A6%AD%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%8B-1
বাংলাদেশের সংস্কৃতির চড়াই-উতরাই,সন্‌জীদা খাতুন,৩০৪.০০ টাকা,২৮৮.৮০ টাকা,https://www.prothoma.com/product/6682/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%9A%E0%A6%A1%E0%A6%BC%E0%A6%BE%E0%A6%87-%E0%A6%89%E0%A6%A4%E0%A6%B0%E0%A6%BE%E0%A6%87
উনিশশো আটষট্টির ফ্রান্স : মে-দিনের ছাত্রবিপ্লব,সন্দীপন ভট্টচার্য,২২৮.০০ টাকা,২১৬.৬০ টাকা,https://www.prothoma.com/product/6091/%E0%A6%89%E0%A6%A8%E0%A6%BF%E0%A6%B6%E0%A6%B6%E0%A7%8B-%E0%A6%86%E0%A6%9F%E0%A6%B7%E0%A6%9F%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%B0-%E0%A6%AB%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%B8-:-%E0%A6%AE%E0%A7%87-%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%9B%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%AC
বুদ্ধিজীবীর ভাববিশ্ব,Ashish Lahiri,৩৪২.০০ টাকা,৩২৪.৯০ টাকা,https://www.prothoma.com/product/5815/%E0%A6%AC%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BF%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A7%80%E0%A6%B0-%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC
শব্দ ও বানান,Suhrid Kumar Bhowmick,১১৪.০০ টাকা,১০৮.৩০ টাকা,https://www.prothoma.com/product/5690/%E0%A6%B6%E0%A6%AC%E0%A7%8D%E0%A6%A6-%E0%A6%93-%E0%A6%AC%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%A8
বাঙলা ভাষার গঠন,Suhrid Kumar Bhowmick,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/5674/%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%B2%E0%A6%BE-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE%E0%A6%B0-%E0%A6%97%E0%A6%A0%E0%A6%A8
নয়ন - রুই জিঙ্ক,রীতা রায়,২৩৮.০০ টাকা,২২৬.১০ টাকা,https://www.prothoma.com/product/4530/%E0%A6%A8%E0%A6%AF%E0%A6%BC%E0%A6%A8---%E0%A6%B0%E0%A7%81%E0%A6%87-%E0%A6%9C%E0%A6%BF%E0%A6%99%E0%A7%8D%E0%A6%95
ভাবনার আগল ভাঙ্গো,নোয়াম চমস্কি,৪১৮.০০ টাকা,৩৯৭.১০ টাকা,https://www.prothoma.com/product/4517/%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%86%E0%A6%97%E0%A6%B2-%E0%A6%AD%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%8B
রুই জিঙ্ক ঘটনাতত্ত্বের পবিত্র গ্রন্থ,রীতা রায়,৪১৮.০০ টাকা,৩৯৭.১০ টাকা,https://www.prothoma.com/product/4519/%E0%A6%B0%E0%A7%81%E0%A6%87-%E0%A6%9C%E0%A6%BF%E0%A6%99%E0%A7%8D%E0%A6%95-%E0%A6%98%E0%A6%9F%E0%A6%A8%E0%A6%BE%E0%A6%A4%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A7%8D%E0%A6%A5
যেভাবে চলেছে দুনিয়া,সঞ্চয় মুখোপাধ্যায়,২২৮.০০ টাকা,২১৬.৬০ টাকা,https://www.prothoma.com/product/4280/%E0%A6%AF%E0%A7%87%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87-%E0%A6%9A%E0%A6%B2%E0%A7%87%E0%A6%9B%E0%A7%87-%E0%A6%A6%E0%A7%81%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE
রুই জিঙ্ক ভয়,রীতা রায়,৩০৪.০০ টাকা,২৮৮.৮০ টাকা,https://www.prothoma.com/product/4241/%E0%A6%B0%E0%A7%81%E0%A6%87-%E0%A6%9C%E0%A6%BF%E0%A6%99%E0%A7%8D%E0%A6%95-%E0%A6%AD%E0%A6%AF%E0%A6%BC
অ-উন্নয়নের ৩৫ কাহন,শুভেন্দু দাশগুপ্ত,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/4226/%E0%A6%85-%E0%A6%89%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%AF%E0%A6%BC%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A7%A9%E0%A7%AB-%E0%A6%95%E0%A6%BE%E0%A6%B9%E0%A6%A8
