Title,Author,Original Price,Discounted Price,URL
Partial Recall : Essays on Literature and Literary History,Arvind Krishna Mehrotra,"১,২৩৫.০০ টাকা","১,১৭৩.২৫ টাকা",https://www.prothoma.com/product/8155/partial-recall-:-essays-on-literature-and-literary-history
Affective Communities,Leela Gandhi,৯৯০.০০ টাকা,৯৪০.৫০ টাকা,https://www.prothoma.com/product/7909/affective-communities
Making Conservation Work,মাহেস রাঙারজন,"১,১৩০.০০ টাকা","১,০৭৩.৫০ টাকা",https://www.prothoma.com/product/7696/making-conservation-work
The Flaming Feet and Other Essays,Harish Trivedi,"১,১৩০.০০ টাকা","১,০৭৩.৫০ টাকা",https://www.prothoma.com/product/7694/the-flaming-feet-and-other-essays
The Many Lives of a Rajput Queen,Ramya Sreenivasan,"১,২৩৫.০০ টাকা","১,১৭৩.২৫ টাকা",https://www.prothoma.com/product/7691/the-many-lives-of-a-rajput-queen
Lost Worlds : Indian Labour and its Forgotten Histories,Chitra Joshi,"১,৩২০.০০ টাকা","১,২৫৪.০০ টাকা",https://www.prothoma.com/product/6212/lost-worlds-:-indian-labour-and-its-forgotten-histories
Media & Modernity,Robin Jeffrey,৭৫০.০০ টাকা,৭১২.৫০ টাকা,https://www.prothoma.com/product/6206/media-&-modernity
Zoo in the Garden,Edward Hamilton Aitken,৭৫০.০০ টাকা,৭১২.৫০ টাকা,https://www.prothoma.com/product/5679/zoo-in-the-garden
Western Science in Modern India,Pratik Chakrabarty,"১,৩২০.০০ টাকা","১,২৫৪.০০ টাকা",https://www.prothoma.com/product/5440/western-science-in-modern-india-1
Western Science in Modern India,Pratik Chakrabarty,"১,৩২০.০০ টাকা","১,২৫৪.০০ টাকা",https://www.prothoma.com/product/5415/western-science-in-modern-india
The Scandal of the State,রাজেশ্বরী সুন্দের রাজন,৭০০.০০ টাকা,৬৬৫.০০ টাকা,https://www.prothoma.com/product/5413/the-scandal-of-the-state
"Nationalism, Religion, and Beyond",Sri Aurobindo,"১,২৩৫.০০ টাকা","১,১৭৩.২৫ টাকা",https://www.prothoma.com/product/5249/nationalism-religion-and-beyond
Muslim Networks,Miriam Cooke,"১,৩৯০.০০ টাকা","১,৩২০.৫০ টাকা",https://www.prothoma.com/product/5251/muslim-networks
Schooling India,Veronique Benei,"১,৩২০.০০ টাকা","১,২৫৪.০০ টাকা",https://www.prothoma.com/product/5232/schooling-india
Battles Over Nature (PB),Vasant K. Saberwal,৭৫০.০০ টাকা,৭১২.৫০ টাকা,https://www.prothoma.com/product/5219/battles-over-nature-%28pb%29
Prophets Facing Backward,Meera Nanda,৬৬৫.০০ টাকা,৬৩১.৭৫ টাকা,https://www.prothoma.com/product/5129/prophets-facing-backward
Hindu Widow Marriage,ঈশ্বরচন্দ্র বিদ্যাসাগর,"১,২৩৫.০০ টাকা","১,১৭৩.২৫ টাকা",https://www.prothoma.com/product/4885/hindu-widow-marriage
Battles Over Nature (HB),Vasant K. Saberwal,"১,৩২০.০০ টাকা","১,২৫৪.০০ টাকা",https://www.prothoma.com/product/4442/battles-over-nature-%28hb%29-1
The States of Indian Cricket,রামচন্দ্র গুহ,৫৬০.০০ টাকা,৫৩২.০০ টাকা,https://www.prothoma.com/product/4339/the-states-of-indian-cricket
Battles Over Nature (HB),Vasant K. Saberwal,"১,৩২০.০০ টাকা","১,২৫৪.০০ টাকা",https://www.prothoma.com/product/3381/battles-over-nature-%28hb%29
Gandhi's Conscience Keeper,Home,"১,৩২০.০০ টাকা","১,২৫৪.০০ টাকা",https://www.prothoma.com/product/3363/gandhi%27s-conscience-keeper
The World's First Anti-Dam Movement,Home,"১,১৩০.০০ টাকা","১,০৭৩.৫০ টাকা",https://www.prothoma.com/product/3351/the-world%27s-first-anti-dam-movement
Mastering Western Texts,Home,"১,১৩০.০০ টাকা","১,০৭৩.৫০ টাকা",https://www.prothoma.com/product/3294/mastering-western-texts
India's Literary History,Home,"১,৪২৫.০০ টাকা","১,৩৫৩.৭৫ টাকা",https://www.prothoma.com/product/3284/india%27s-literary-history
Caste and Democratic Politics in India,Ghanshyam Shah,৭৫০.০০ টাকা,৭১২.৫০ টাকা,https://www.prothoma.com/product/3275/caste-and-democratic-politics-in-india
Crossing Thresholds,Home,৭৫০.০০ টাকা,৭১২.৫০ টাকা,https://www.prothoma.com/product/3231/crossing-thresholds
The Discovery of Ancient India,Home,৬৬৫.০০ টাকা,৬৩১.৭৫ টাকা,https://www.prothoma.com/product/3229/the-discovery-of-ancient-india
An Illustrated History of Indian Literature in English,Arvind Krishna Mehrotra,"১,৩২০.০০ টাকা","১,২৫৪.০০ টাকা",https://www.prothoma.com/product/3210/an-illustrated-history-of-indian-literature-in-english
