Title,Author,Original Price,Discounted Price,URL,Image
Yoga and meditation for all ages,Bijoylaxmi Hota,৩৭০.০০ টাকা,৩৫১.৫০ টাকা,https://www.prothoma.com/product/8179/yoga-and-meditation-for-all-ages,https://image.prothoma.com/productThumbs/2021/02/60225017681ec_1612861463.jpg
A Jewelled Splendour : The Tradition of Indian Jewellery,আশা রানী মাথুর,৯৪০.০০ টাকা,৮৯৩.০০ টাকা,https://www.prothoma.com/product/7834/a-jewelled-splendour-:-the-tradition-of-indian-jewellery,https://image.prothoma.com/productThumbs/2021/02/60224f6a66da7_1612861290.jpg
Five Point Someone : What Not to Do at IIT,চেতন ভগত,৩৭০.০০ টাকা,৩৫১.৫০ টাকা,https://www.prothoma.com/product/7131/five-point-someone-:-what-not-to-do-at-iit-2,https://image.prothoma.com/productThumbs/2021/02/60224ab804fa0_1612860088.jpg
One Indian Girl,চেতন ভগত,৩৩৪.০০ টাকা,৩১৭.৩০ টাকা,https://www.prothoma.com/product/7134/one-indian-girl-1,https://image.prothoma.com/productThumbs/2021/02/60224ab880a15_1612860088.jpg
Revolution 2020,চেতন ভগত,৩৭০.০০ টাকা,৩৫১.৫০ টাকা,https://www.prothoma.com/product/7125/revolution-2020-1,https://image.prothoma.com/productThumbs/2021/02/60224ab66e1ef_1612860086.jpg
The Evolution of,Hasan Abdullah,"১,৮৯০.০০ টাকা","১,৭৯৫.৫০ টাকা",https://www.prothoma.com/product/6763/the-evolution-of,https://image.prothoma.com/productThumbs/2021/02/60224a0bb443d_1612859915.jpg
Five Point Someone : What Not to Do at IIT,চেতন ভগত,৩৭০.০০ টাকা,৩৫১.৫০ টাকা,https://www.prothoma.com/product/6644/five-point-someone-:-what-not-to-do-at-iit-1,https://image.prothoma.com/productThumbs/2021/02/602249ee8d54b_1612859886.jpg
India-Partition Independence,যশোবন্ত সিংহ,"১,৫১০.০০ টাকা","১,৪৩৪.৫০ টাকা",https://www.prothoma.com/product/6601/india-partition-independence,https://image.prothoma.com/productThumbs/2021/02/602249e1c745f_1612859873.jpg
Himalayan Traditional Architecture,Om Chanda Handa,"২,৮৫০.০০ টাকা","২,৭০৭.৫০ টাকা",https://www.prothoma.com/product/5409/himalayan-traditional-architecture,https://image.prothoma.com/productThumbs/2021/02/6022466753490_1612858983.jpg
Kalidasa Ritusamharam The Garland of Seasons,Rajendra Tandon,৯৪০.০০ টাকা,৮৯৩.০০ টাকা,https://www.prothoma.com/product/5185/kalidasa-ritusamharam-the-garland-of-seasons,https://image.prothoma.com/productThumbs/2021/02/60224487bfe72_1612858503.jpg
Indian Muslims in a Whirklpool,Ramashray Upadhyay,৭৫০.০০ টাকা,৭১২.৫০ টাকা,https://www.prothoma.com/product/5165/indian-muslims-in-a-whirklpool,https://image.prothoma.com/productThumbs/2021/02/6022448255fd9_1612858498.jpg
Learn Cricket With Frank Tyson,Frank Tyson,৫৬০.০০ টাকা,৫৩২.০০ টাকা,https://www.prothoma.com/product/4407/learn-cricket-with-frank-tyson,https://image.prothoma.com/productThumbs/2021/02/602243106dbc4_1612858128.jpg
