Title,Author,Original Price,Discounted Price,URL
দেশভাগ ও ছিন্নমূল মানব,Nilendu Sengupta,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/9823/%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%AD%E0%A6%BE%E0%A6%97-%E0%A6%93-%E0%A6%9B%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%AE%E0%A7%82%E0%A6%B2-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC
মৈমনসিংহ-গীতিকা : বাঙালির গান বঙ্গের আখ্যান,সানাত কুমার নাস্কার,৭৬০.০০ টাকা,৭২২.০০ টাকা,https://www.prothoma.com/product/9511/%E0%A6%AE%E0%A7%88%E0%A6%AE%E0%A6%A8%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9-%E0%A6%97%E0%A7%80%E0%A6%A4%E0%A6%BF%E0%A6%95%E0%A6%BE-:-%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%B0-%E0%A6%97%E0%A6%BE%E0%A6%A8-%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%87%E0%A6%B0-%E0%A6%86%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8
ঝাঁকি-দর্শন,কৃষ্ণ ধর,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/9503/%E0%A6%9D%E0%A6%BE%E0%A6%81%E0%A6%95%E0%A6%BF-%E0%A6%A6%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%A8
নাট্য ব্যক্তিত্ব বাদল সরকার,Darsan Chaudhuri,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/9373/%E0%A6%A8%E0%A6%BE%E0%A6%9F%E0%A7%8D%E0%A6%AF-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AC-%E0%A6%AC%E0%A6%BE%E0%A6%A6%E0%A6%B2-%E0%A6%B8%E0%A6%B0%E0%A6%95%E0%A6%BE%E0%A6%B0
সংগীত সংজ্ঞার সন্ধানে রবীন্দ্রনাথ,Prafulla Kumar Chakraborti,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/8691/%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%80%E0%A6%A4-%E0%A6%B8%E0%A6%82%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%BE%E0%A6%A8%E0%A7%87-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5
মহর্ষিদেব ও রবীন্দ্রনাথ,অরুন্ধতী রায়,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/8692/%E0%A6%AE%E0%A6%B9%E0%A6%B0%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%A6%E0%A7%87%E0%A6%AC-%E0%A6%93-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5
সত্যজিৎ রায়ের গোয়েন্দা সাহিত্য ও চলচ্চিত্র,সঙ্গীতা ত্রিপাঠী মিত্র,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/8645/%E0%A6%B8%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%9C%E0%A6%BF%E0%A7%8E-%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B0-%E0%A6%97%E0%A7%8B%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF-%E0%A6%93-%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0
উপন্যাস সমগ্র - দীপেন্দ্রনাথ বন্দ্যোপাধ্যায়,Dipendranath Bandyopadhyay,৪৭৫.০০ টাকা,৪৫১.২৫ টাকা,https://www.prothoma.com/product/8304/%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8-%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0---%E0%A6%A6%E0%A7%80%E0%A6%AA%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC-1
বুদ্ধিজীবীর সিঁড়ি বুদ্ধিজীবীর সাঁকো,আনন্দময় রায়,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/8282/%E0%A6%AC%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BF%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A7%80%E0%A6%B0-%E0%A6%B8%E0%A6%BF%E0%A6%81%E0%A6%A1%E0%A6%BC%E0%A6%BF-%E0%A6%AC%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BF%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A7%80%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%81%E0%A6%95%E0%A7%8B
সমরেশ বসু : আমাদের বাস্তব,সত্যজিৎ চৌধুরী,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/8281/%E0%A6%B8%E0%A6%AE%E0%A6%B0%E0%A7%87%E0%A6%B6-%E0%A6%AC%E0%A6%B8%E0%A7%81-:-%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%AC
