Title,Author,Original Price,Discounted Price,URL
কার্টুন রঙ্গ বিচিত্রা,বিশ্বদেব গঙ্গোপাধ্যায়,৭৬০.০০ টাকা,৭২২.০০ টাকা,https://www.prothoma.com/product/9830/%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%A8-%E0%A6%B0%E0%A6%99%E0%A7%8D%E0%A6%97-%E0%A6%AC%E0%A6%BF%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE
ভারতের নির্বাসিত বৌদ্ধ ধর্মদর্শন ও অজ্ঞাত ইতিহাস,Sadhankamal Chowdhury,২৩৮.০০ টাকা,২২৬.১০ টাকা,https://www.prothoma.com/product/9674/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%BF%E0%A6%A4-%E0%A6%AC%E0%A7%8C%E0%A6%A6%E0%A7%8D%E0%A6%A7-%E0%A6%A7%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A6%A6%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%A8-%E0%A6%93-%E0%A6%85%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A4-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8
মাদক বনাম ধর্ম-অর্থ-সমাজ,শক্তিনাথ ঝা,৭৬.০০ টাকা,৭২.২০ টাকা,https://www.prothoma.com/product/9545/%E0%A6%AE%E0%A6%BE%E0%A6%A6%E0%A6%95-%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%AE-%E0%A6%A7%E0%A6%B0%E0%A7%8D%E0%A6%AE-%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C
বাঙালির চালচিত্র,রবিরঞ্জন চট্টোপাধ্যায়,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/9160/%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%B0-%E0%A6%9A%E0%A6%BE%E0%A6%B2%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0
বাংলা নাটক ও লোকসংস্কৃতি,Subhaschandra Bandopadhyay,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/9136/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%A8%E0%A6%BE%E0%A6%9F%E0%A6%95-%E0%A6%93-%E0%A6%B2%E0%A7%8B%E0%A6%95%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF
দিব্য জগৎ ও দৈবী ভাষা,নিগূঢ়ানন্দ,৩৪২.০০ টাকা,৩২৪.৯০ টাকা,https://www.prothoma.com/product/9103/%E0%A6%A6%E0%A6%BF%E0%A6%AC%E0%A7%8D%E0%A6%AF-%E0%A6%9C%E0%A6%97%E0%A7%8E-%E0%A6%93-%E0%A6%A6%E0%A7%88%E0%A6%AC%E0%A7%80-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE
রবীন্দ্রনাথ-গীতাঞ্জলি-নোবেল পুরস্কার-ভাবুকেরা এবং,ধ্রুব কুমার মুখোপাধ্যায়,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/8193/%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5-%E0%A6%97%E0%A7%80%E0%A6%A4%E0%A6%BE%E0%A6%9E%E0%A7%8D%E0%A6%9C%E0%A6%B2%E0%A6%BF-%E0%A6%A8%E0%A7%8B%E0%A6%AC%E0%A7%87%E0%A6%B2-%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0-%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%81%E0%A6%95%E0%A7%87%E0%A6%B0%E0%A6%BE-%E0%A6%8F%E0%A6%AC%E0%A6%82
শিল্পতত্ত্ব ও প্রকরণ,Kamal Aich,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/8194/%E0%A6%B6%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%AA%E0%A6%A4%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC-%E0%A6%93-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A6%B0%E0%A6%A3
ভাষাতত্ত্ব ও বাংলা ভাষা,Pranab Chowdhury,১৫২.০০ টাকা,১৪৪.৪০ টাকা,https://www.prothoma.com/product/8192/%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE%E0%A6%A4%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC-%E0%A6%93-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE
বিশ্ববিজয়ী বাউল,Aditya Mukhopadhyay,৪৭৫.০০ টাকা,৪৫১.২৫ টাকা,https://www.prothoma.com/product/8191/%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A6%AF%E0%A6%BC%E0%A7%80-%E0%A6%AC%E0%A6%BE%E0%A6%89%E0%A6%B2
বঙ্কিম-প্রতিভা,Sree Bimalchandra Sinha,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/8188/%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%95%E0%A6%BF%E0%A6%AE-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%AD%E0%A6%BE
বাংলা রঙ্গালয় ও শিশিরকুমার,হেমেন্দ্র কুমার রায়,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/8189/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B0%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC-%E0%A6%93-%E0%A6%B6%E0%A6%BF%E0%A6%B6%E0%A6%BF%E0%A6%B0%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0-1
