Title,Author,Original Price,Discounted Price,URL
দাদু-নানু : রহস্যময় চুম্বক দ্বীপ,মেহেদী হক,১২০.০০ টাকা,১১৪.০০ টাকা,https://www.prothoma.com/product/7193/%E0%A6%A6%E0%A6%BE%E0%A6%A6%E0%A7%81-%E0%A6%A8%E0%A6%BE%E0%A6%A8%E0%A7%81-:-%E0%A6%B0%E0%A6%B9%E0%A6%B8%E0%A7%8D%E0%A6%AF%E0%A6%AE%E0%A6%AF%E0%A6%BC-%E0%A6%9A%E0%A7%81%E0%A6%AE%E0%A7%8D%E0%A6%AC%E0%A6%95-%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A7%80%E0%A6%AA
পিশাচ কাহিনি ৩,মেহেদী হক,৭০.০০ টাকা,৬৬.৫০ টাকা,https://www.prothoma.com/product/7189/%E0%A6%AA%E0%A6%BF%E0%A6%B6%E0%A6%BE%E0%A6%9A-%E0%A6%95%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A6%BF-%E0%A7%A9
নরাধম দুর্জয় ৫,মেহেদী হক,৫০.০০ টাকা,৪৭.৫০ টাকা,https://www.prothoma.com/product/7187/%E0%A6%A8%E0%A6%B0%E0%A6%BE%E0%A6%A7%E0%A6%AE-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%AF%E0%A6%BC-%E0%A7%AB
কিংবদন্তী দুর্জয় ৯,মেহেদী হক,৫০.০০ টাকা,৪৭.৫০ টাকা,https://www.prothoma.com/product/7181/%E0%A6%95%E0%A6%BF%E0%A6%82%E0%A6%AC%E0%A6%A6%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%80-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%AF%E0%A6%BC-%E0%A7%AF
পিশাচ কাহিনি ১,মেহেদী হক,৭০.০০ টাকা,৬৬.৫০ টাকা,https://www.prothoma.com/product/7182/%E0%A6%AA%E0%A6%BF%E0%A6%B6%E0%A6%BE%E0%A6%9A-%E0%A6%95%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A6%BF-%E0%A7%A7
আঁকিবুকির কলাকৌশল,মেহেদী হক,১৬০.০০ টাকা,১৫২.০০ টাকা,https://www.prothoma.com/product/7175/%E0%A6%86%E0%A6%81%E0%A6%95%E0%A6%BF%E0%A6%AC%E0%A7%81%E0%A6%95%E0%A6%BF%E0%A6%B0-%E0%A6%95%E0%A6%B2%E0%A6%BE%E0%A6%95%E0%A7%8C%E0%A6%B6%E0%A6%B2
মৃত্যু পাথার ২,মেহেদী হক,১০০.০০ টাকা,৯৫.০০ টাকা,https://www.prothoma.com/product/7170/%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81-%E0%A6%AA%E0%A6%BE%E0%A6%A5%E0%A6%BE%E0%A6%B0-%E0%A7%A8
জুম ১,মেহেদী হক,৫০.০০ টাকা,৪৭.৫০ টাকা,https://www.prothoma.com/product/7164/%E0%A6%9C%E0%A7%81%E0%A6%AE-%E0%A7%A7
জুম ২,মেহেদী হক,৭০.০০ টাকা,৬৬.৫০ টাকা,https://www.prothoma.com/product/7165/%E0%A6%9C%E0%A7%81%E0%A6%AE-%E0%A7%A8
নিয়তি দুর্জয় ১০,তৌহিদুল ইকবাল সম্পদ,৫০.০০ টাকা,৪৭.৫০ টাকা,https://www.prothoma.com/product/7149/%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%A4%E0%A6%BF-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%AF%E0%A6%BC-%E0%A7%A7%E0%A7%A6
কবির মনসুর দুর্জয় ৮,তৌহিদুল ইকবাল সম্পদ,৫০.০০ টাকা,৪৭.৫০ টাকা,https://www.prothoma.com/product/7145/%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%B0-%E0%A6%AE%E0%A6%A8%E0%A6%B8%E0%A7%81%E0%A6%B0-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%AF%E0%A6%BC-%E0%A7%AE
পিশাচ কাহিনি ২,মেহেদী হক,৭০.০০ টাকা,৬৬.৫০ টাকা,https://www.prothoma.com/product/7141/%E0%A6%AA%E0%A6%BF%E0%A6%B6%E0%A6%BE%E0%A6%9A-%E0%A6%95%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A6%BF-%E0%A7%A8
