Title,Author,Original Price,Discounted Price,URL
সঙ্গিনী মোহিনী,রঞ্জন বন্দ্যোপাধ্যায়,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/9035/%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BF%E0%A6%A8%E0%A7%80-%E0%A6%AE%E0%A7%8B%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%80
কত কী রয়েছে লেখা,সুমন গুপ্ত,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/8955/%E0%A6%95%E0%A6%A4-%E0%A6%95%E0%A7%80-%E0%A6%B0%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%9B%E0%A7%87-%E0%A6%B2%E0%A7%87%E0%A6%96%E0%A6%BE
শাক্ত পদাবলি,হিমানীশ গোস্বামী,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/8662/%E0%A6%B6%E0%A6%BE%E0%A6%95%E0%A7%8D%E0%A6%A4-%E0%A6%AA%E0%A6%A6%E0%A6%BE%E0%A6%AC%E0%A6%B2%E0%A6%BF
ভুলি কেমনে,বিভাস রায়চৌধুরী,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/8661/%E0%A6%AD%E0%A7%81%E0%A6%B2%E0%A6%BF-%E0%A6%95%E0%A7%87%E0%A6%AE%E0%A6%A8%E0%A7%87
সেরা হাঁদা ভোঁদা সমগ্র - নারায়ণ দেবনাথ,নারায়ণ দেবনাথ,৯৪৮.০০ টাকা,৯০০.৬০ টাকা,https://www.prothoma.com/product/8292/%E0%A6%B8%E0%A7%87%E0%A6%B0%E0%A6%BE-%E0%A6%B9%E0%A6%BE%E0%A6%81%E0%A6%A6%E0%A6%BE-%E0%A6%AD%E0%A7%8B%E0%A6%81%E0%A6%A6%E0%A6%BE-%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0---%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A3-%E0%A6%A6%E0%A7%87%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%A5
নানা রসের ৬টি উপন্যাস - অতীন বন্দ্যোপাধ্যায়,অতীন বন্দোপাধ্যায়,৭০০.০০ টাকা,৬৬৫.০০ টাকা,https://www.prothoma.com/product/7862/%E0%A6%A8%E0%A6%BE%E0%A6%A8%E0%A6%BE-%E0%A6%B0%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A7%AC%E0%A6%9F%E0%A6%BF-%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8---%E0%A6%85%E0%A6%A4%E0%A7%80%E0%A6%A8-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC
রবীন্দ্রসৃষ্টিকলা,ভবতোষ দত্ত,১৫২.০০ টাকা,১৪৪.৪০ টাকা,https://www.prothoma.com/product/7785/%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%B8%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%95%E0%A6%B2%E0%A6%BE
দুঃসময় : নন্দীগ্রাম-বিতর্ক,ব্রাত্য বসু,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/7688/%E0%A6%A6%E0%A7%81%E0%A6%83%E0%A6%B8%E0%A6%AE%E0%A6%AF%E0%A6%BC-:-%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%80%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE-%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95
সুনির্বাচিত রচনা - তারাপদ রায়,তারাপদ রায়,৪৭৫.০০ টাকা,৪৫১.২৫ টাকা,https://www.prothoma.com/product/7676/%E0%A6%B8%E0%A7%81%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%9A%E0%A6%BF%E0%A6%A4-%E0%A6%B0%E0%A6%9A%E0%A6%A8%E0%A6%BE---%E0%A6%A4%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%AA%E0%A6%A6-%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC
জয়াপীড় ও তার তিন সঙ্গী,সুনীল গঙ্গোপাধ্যায়,৩৩২.০০ টাকা,৩১৫.৪০ টাকা,https://www.prothoma.com/product/7661/%E0%A6%9C%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%AA%E0%A7%80%E0%A6%A1%E0%A6%BC-%E0%A6%93-%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%A4%E0%A6%BF%E0%A6%A8-%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%80
গৃহপালিত গিরগিটি,সঞ্জীব চট্টোপাধ্যায়,৪০০.০০ টাকা,৩৮০.০০ টাকা,https://www.prothoma.com/product/7659/%E0%A6%97%E0%A7%83%E0%A6%B9%E0%A6%AA%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%A4-%E0%A6%97%E0%A6%BF%E0%A6%B0%E0%A6%97%E0%A6%BF%E0%A6%9F%E0%A6%BF
শেক্সপিয়র সত্যি কথা বলো,রঞ্জন বন্দ্যোপাধ্যায়,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/7353/%E0%A6%B6%E0%A7%87%E0%A6%95%E0%A7%8D%E0%A6%B8%E0%A6%AA%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%B0-%E0%A6%B8%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%BF-%E0%A6%95%E0%A6%A5%E0%A6%BE-%E0%A6%AC%E0%A6%B2%E0%A7%8B-1
শেক্সপিয়র সত্যি কথা বলো,রঞ্জন বন্দ্যোপাধ্যায়,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/6960/%E0%A6%B6%E0%A7%87%E0%A6%95%E0%A7%8D%E0%A6%B8%E0%A6%AA%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%B0-%E0%A6%B8%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%BF-%E0%A6%95%E0%A6%A5%E0%A6%BE-%E0%A6%AC%E0%A6%B2%E0%A7%8B
দিওতিমা,দেবারতি মুখোপাধ্যায়,৪২৮.০০ টাকা,৪০৬.৬০ টাকা,https://www.prothoma.com/product/6825/%E0%A6%A6%E0%A6%BF%E0%A6%93%E0%A6%A4%E0%A6%BF%E0%A6%AE%E0%A6%BE
সেই সব লেখা প্রসঙ্গ চলচ্চিত্র (১৯৭৬-১৯৯০),রঞ্জন বন্দ্যোপাধ্যায়,৫২২.০০ টাকা,৪৯৫.৯০ টাকা,https://www.prothoma.com/product/6534/%E0%A6%B8%E0%A7%87%E0%A6%87-%E0%A6%B8%E0%A6%AC-%E0%A6%B2%E0%A7%87%E0%A6%96%E0%A6%BE-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97-%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0-%28%E0%A7%A7%E0%A7%AF%E0%A7%AD%E0%A7%AC-%E0%A7%A7%E0%A7%AF%E0%A7%AF%E0%A7%A6%29
বাংলার কৃষক সংগ্রাম ও তরণী,শান্তিময় ভট্টচার্য,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/5917/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%95%E0%A7%83%E0%A6%B7%E0%A6%95-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE-%E0%A6%93-%E0%A6%A4%E0%A6%B0%E0%A6%A3%E0%A7%80
গদ্য সংগ্রহ ১ - অশ্রুকুমার সিকদার,অশ্রুকুমার সিকদার,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/5122/%E0%A6%97%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%B9-%E0%A7%A7---%E0%A6%85%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%81%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%BF%E0%A6%95%E0%A6%A6%E0%A6%BE%E0%A6%B0
শতাব্দীর সেরা শৈলেন মান্না,মানস চক্রবর্তী,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/4381/%E0%A6%B6%E0%A6%A4%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%A6%E0%A7%80%E0%A6%B0-%E0%A6%B8%E0%A7%87%E0%A6%B0%E0%A6%BE-%E0%A6%B6%E0%A7%88%E0%A6%B2%E0%A7%87%E0%A6%A8-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%BE
শিল্পায়ন তর্ক ও তথ্য,শুভাশিস মৈত্র,৬২৫.০০ টাকা,৫৯৩.৭৫ টাকা,https://www.prothoma.com/product/4224/%E0%A6%B6%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%AA%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A8-%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95-%E0%A6%93-%E0%A6%A4%E0%A6%A5%E0%A7%8D%E0%A6%AF
পুণ্যের খোঁজে অমৃত কুম্ভে,সুমন গুপ্ত,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/4028/%E0%A6%AA%E0%A7%81%E0%A6%A3%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%96%E0%A7%8B%E0%A6%81%E0%A6%9C%E0%A7%87-%E0%A6%85%E0%A6%AE%E0%A7%83%E0%A6%A4-%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A7%8D%E0%A6%AD%E0%A7%87
