Title,Author,Original Price,Discounted Price,URL
সোমেন চন্দ ও তার রচনাসংগ্রহ,সোমেন চন্দ,"১,০৪৫.০০ টাকা",৯৯২.৭৫ টাকা,https://www.prothoma.com/product/10389/%E0%A6%B8%E0%A7%8B%E0%A6%AE%E0%A7%87%E0%A6%A8-%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6-%E0%A6%93-%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%B0%E0%A6%9A%E0%A6%A8%E0%A6%BE%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%B9
বিজ্ঞানের ঝাঁপি,সুকুমার রায়,২৩৭.৫০ টাকা,২২৫.৬২ টাকা,https://www.prothoma.com/product/10348/%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%9D%E0%A6%BE%E0%A6%81%E0%A6%AA%E0%A6%BF
বাংলার ছাত্র আন্দোলনের দলিল,Arijit Mukherjee,৬০৮.০০ টাকা,৫৭৭.৬০ টাকা,https://www.prothoma.com/product/9737/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%9B%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A6%B2%E0%A6%BF%E0%A6%B2
সোমেন চন্দের সাহিত্যচর্চা,Dilip Majumder,২৩৮.০০ টাকা,২২৬.১০ টাকা,https://www.prothoma.com/product/9735/%E0%A6%B8%E0%A7%8B%E0%A6%AE%E0%A7%87%E0%A6%A8-%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%9A%E0%A6%B0%E0%A7%8D%E0%A6%9A%E0%A6%BE
লেনিন ও লংমার্চ,তাপস দাস,১৫২.০০ টাকা,১৪৪.৪০ টাকা,https://www.prothoma.com/product/9461/%E0%A6%B2%E0%A7%87%E0%A6%A8%E0%A6%BF%E0%A6%A8-%E0%A6%93-%E0%A6%B2%E0%A6%82%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9A
সমাজ বিজ্ঞানী কার্ল মার্কস,Nirmal Mukhopadhay,৫৭.০০ টাকা,৫৪.১৫ টাকা,https://www.prothoma.com/product/9463/%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C-%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8%E0%A7%80-%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B2-%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A6%B8
বিশ্বনবী - গোলাম মোস্তফা,গোলাম মোস্তফা,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/8317/%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%A8%E0%A6%AC%E0%A7%80---%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A6%BE%E0%A6%AE-%E0%A6%AE%E0%A7%8B%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%AB%E0%A6%BE
শিক্ষা ও শ্রেণীসম্পর্ক,সাহেদ আহমেদ,৯০.০০ টাকা,৮৫.৫০ টাকা,https://www.prothoma.com/product/7672/%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE-%E0%A6%93-%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A3%E0%A7%80%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%95
হলিউড জমানা কিছু কথা কিছু গল্প,মৃণালকান্তি দাস,৪৭৫.০০ টাকা,৪৫১.২৫ টাকা,https://www.prothoma.com/product/6597/%E0%A6%B9%E0%A6%B2%E0%A6%BF%E0%A6%89%E0%A6%A1-%E0%A6%9C%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%BE-%E0%A6%95%E0%A6%BF%E0%A6%9B%E0%A7%81-%E0%A6%95%E0%A6%A5%E0%A6%BE-%E0%A6%95%E0%A6%BF%E0%A6%9B%E0%A7%81-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA
আক্রান্ত মধ্য প্রাচ্য রক্তাক্ত স্বাধীনতা,মৃণালকান্তি দাস,৪৭৫.০০ টাকা,৪৫১.২৫ টাকা,https://www.prothoma.com/product/5730/%E0%A6%86%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4-%E0%A6%AE%E0%A6%A7%E0%A7%8D%E0%A6%AF-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%AF-%E0%A6%B0%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%95%E0%A7%8D%E0%A6%A4-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A7%E0%A7%80%E0%A6%A8%E0%A6%A4%E0%A6%BE
