Title,Author,Original Price,Discounted Price,URL
একদা,গোপাল হালদার,৩০৪.০০ টাকা,২৮৮.৮০ টাকা,https://www.prothoma.com/product/9760/%E0%A6%8F%E0%A6%95%E0%A6%A6%E0%A6%BE
জীবন-কথা,সুনীতিকুমার চট্টোপাধ্যায়,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/9436/%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8-%E0%A6%95%E0%A6%A5%E0%A6%BE
বরযাত্রী ও বাসর,বিভূতিভূষণ বন্দ্যোপাধ্যায়,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/9302/%E0%A6%AC%E0%A6%B0%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%80-%E0%A6%93-%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%B0
সাময়িকপত্রে বাংলার সমাজচিত্র ৪,বিনয় ঘোষ,৬০৮.০০ টাকা,৫৭৭.৬০ টাকা,https://www.prothoma.com/product/8357/%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%AF%E0%A6%BC%E0%A6%BF%E0%A6%95%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A7%AA
জনসভার সাহিত্য,বিনয় ঘোষ,৪১৮.০০ টাকা,৩৯৭.১০ টাকা,https://www.prothoma.com/product/8358/%E0%A6%9C%E0%A6%A8%E0%A6%B8%E0%A6%AD%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF
সাময়িকপত্রে বাংলার সমাজচিত্র ৫,বিনয় ঘোষ,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/8356/%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%AF%E0%A6%BC%E0%A6%BF%E0%A6%95%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A7%AB
পশ্চিমের যাত্রী,সুনীতিকুমার চট্টোপাধ্যায়,১১৪.০০ টাকা,১০৮.৩০ টাকা,https://www.prothoma.com/product/8354/%E0%A6%AA%E0%A6%B6%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%80
সাময়িকপত্রে বাংলার সমাজচিত্র ৬,বিনয় ঘোষ,৪১৮.০০ টাকা,৩৯৭.১০ টাকা,https://www.prothoma.com/product/8355/%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%AF%E0%A6%BC%E0%A6%BF%E0%A6%95%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A7%AC
শিল্প সংস্কৃতি ও সমাজ,বিনয় ঘোষ,২২৮.০০ টাকা,২১৬.৬০ টাকা,https://www.prothoma.com/product/7323/%E0%A6%B6%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%AA-%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C-1
বাংলার লোকসংস্কৃতির সমাজতত,বিনয় ঘোষ,২২৮.০০ টাকা,২১৬.৬০ টাকা,https://www.prothoma.com/product/7317/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%B2%E0%A7%8B%E0%A6%95%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%A4%E0%A6%A4
