Title,Author,Original Price,Discounted Price,URL
প্রুফ সংশোধনের প্রথম পাঠ,অপরাজিতা বন্দ্যোপাধ্যায়,১৫২.০০ টাকা,১৪৪.৪০ টাকা,https://www.prothoma.com/product/10386/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%81%E0%A6%AB-%E0%A6%B8%E0%A6%82%E0%A6%B6%E0%A7%8B%E0%A6%A7%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A5%E0%A6%AE-%E0%A6%AA%E0%A6%BE%E0%A6%A0
প্রাচ্য ও পাশ্চাত্য - স্বামী বিবেকানন্দ,স্বামী বিবেকানন্দ,১৩৩.০০ টাকা,১২৬.৩৫ টাকা,https://www.prothoma.com/product/10385/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%AF-%E0%A6%93-%E0%A6%AA%E0%A6%BE%E0%A6%B6%E0%A7%8D%E0%A6%9A%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%AF---%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%AE%E0%A7%80-%E0%A6%AC%E0%A6%BF%E0%A6%AC%E0%A7%87%E0%A6%95%E0%A6%BE%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6
বাংলা-কবিতার-ছন্দ,মোহিতলাল মজুমদার,২২৮.০০ টাকা,২১৬.৬০ টাকা,https://www.prothoma.com/product/10342/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%9B%E0%A6%A8%E0%A7%8D%E0%A6%A6-1
বনফুলের সাহিত্য ও জীবন,ড. সরোজমোহন মিত্র,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/10341/%E0%A6%AC%E0%A6%A8%E0%A6%AB%E0%A7%81%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF-%E0%A6%93-%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8
আদি- মধ্য বাংলা সাহিত্যের ইতিহাস,তপন কুমার চট্টোপাধ্যায়,৯৮৮.০০ টাকা,৯৩৮.৬০ টাকা,https://www.prothoma.com/product/10324/%E0%A6%86%E0%A6%A6%E0%A6%BF--%E0%A6%AE%E0%A6%A7%E0%A7%8D%E0%A6%AF-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8
আধুনিক বাংলা সাহিত্যের ইতিহাস,তপন কুমার চট্টোপাধ্যায়,৯৮৮.০০ টাকা,৯৩৮.৬০ টাকা,https://www.prothoma.com/product/10322/%E0%A6%86%E0%A6%A7%E0%A7%81%E0%A6%A8%E0%A6%BF%E0%A6%95-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8
অ্যারিস্টটলের কাব্য তত্ত্ব সমীক্ষা,পৌষালী দাস,১৫২.০০ টাকা,১৪৪.৪০ টাকা,https://www.prothoma.com/product/10320/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%9F%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%AF-%E0%A6%A4%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC-%E0%A6%B8%E0%A6%AE%E0%A7%80%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE
তিতাস একটি নদীর নাম,অদ্বৈত মল্লবর্মণ,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/7998/%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%B8-%E0%A6%8F%E0%A6%95%E0%A6%9F%E0%A6%BF-%E0%A6%A8%E0%A6%A6%E0%A7%80%E0%A6%B0-%E0%A6%A8%E0%A6%BE%E0%A6%AE
পর্যালোচনায় গণদেবতা,Pirupada Malik,১৫২.০০ টাকা,১৪৪.৪০ টাকা,https://www.prothoma.com/product/6501/%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A7%8B%E0%A6%9A%E0%A6%A8%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%97%E0%A6%A3%E0%A6%A6%E0%A7%87%E0%A6%AC%E0%A6%A4%E0%A6%BE
মনসামঙ্গল,কেতকাদাস,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/5034/%E0%A6%AE%E0%A6%A8%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%B2
বাংলা কবিতা অনেক আকাশ,তরুন মুখোপাধ্যায়,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/4732/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-%E0%A6%85%E0%A6%A8%E0%A7%87%E0%A6%95-%E0%A6%86%E0%A6%95%E0%A6%BE%E0%A6%B6
সাহিত্যের রূপভেদ রূপরীতি নির্ণয়,Sudhanshu Sekhar Mondal,২২৮.০০ টাকা,২১৬.৬০ টাকা,https://www.prothoma.com/product/4609/%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%B0%E0%A7%82%E0%A6%AA%E0%A6%AD%E0%A7%87%E0%A6%A6-%E0%A6%B0%E0%A7%82%E0%A6%AA%E0%A6%B0%E0%A7%80%E0%A6%A4%E0%A6%BF-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A3%E0%A6%AF%E0%A6%BC
