Title,Author,Original Price,Discounted Price,URL,Image
১০০ প্রেমের কবিতা,তমালী রায়,২৫০.০০ টাকা,১৮৭.৫০ টাকা,https://www.prothoma.com/product/10078/%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-2,https://image.prothoma.com/productThumbs/2021/02/602256613c3f0_1612863073.jpg
নারীজনম,সুমন কুমার,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/10076/%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%80%E0%A6%9C%E0%A6%A8%E0%A6%AE,https://image.prothoma.com/productThumbs/2021/02/6022566028d5d_1612863072.jpg
জলজীবন,শ্রাবণী প্রামানিক,১৭৫.০০ টাকা,১৩১.২৫ টাকা,https://www.prothoma.com/product/10077/%E0%A6%9C%E0%A6%B2%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/60225660aae9f_1612863072.jpg
রবি বাউলের শান্তিনিকেতন,রয় অঞ্জন,১৬০.০০ টাকা,১২০.০০ টাকা,https://www.prothoma.com/product/10074/%E0%A6%B0%E0%A6%AC%E0%A6%BF-%E0%A6%AC%E0%A6%BE%E0%A6%89%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%B6%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%95%E0%A7%87%E0%A6%A4%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022565f1e520_1612863071.jpg
সন্ধ্যাপুরাণ,রাকিব হাসান,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/10075/%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%BE%E0%A6%A3,https://image.prothoma.com/productThumbs/2021/02/6022565fa664b_1612863071.jpg
জানালার জোনাকিরা,অনন্যা মাহমুদ,৬০০.০০ টাকা,৪৫০.০০ টাকা,https://www.prothoma.com/product/10073/%E0%A6%9C%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%9C%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%B0%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022565e52d0f_1612863070.jpg
চন্দ্রযান,গিয়াস আহমেদ,৩৬০.০০ টাকা,২৭০.০০ টাকা,https://www.prothoma.com/product/10071/%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022565cd592f_1612863068.jpg
১০০ প্রেমের কবিতা,রহমান হেনরী,২৫০.০০ টাকা,১৮৭.৫০ টাকা,https://www.prothoma.com/product/10072/%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-1,https://image.prothoma.com/productThumbs/2021/02/6022565d854ad_1612863069.jpg
আমার দেখা ওয়ান ইলেভেন,অধ্যাপক সৈয়দ মোদাচ্ছের আলী,৫০০.০০ টাকা,৩৭৫.০০ টাকা,https://www.prothoma.com/product/10069/%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%A6%E0%A7%87%E0%A6%96%E0%A6%BE-%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%A8-%E0%A6%87%E0%A6%B2%E0%A7%87%E0%A6%AD%E0%A7%87%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022565bcfc4a_1612863067.jpg
সময়,হাসান তারেক চৌধুরী,৩৯৯.০০ টাকা,২৯৯.২৫ টাকা,https://www.prothoma.com/product/10070/%E0%A6%B8%E0%A6%AE%E0%A6%AF%E0%A6%BC,https://image.prothoma.com/productThumbs/2021/02/6022565c5d9c3_1612863068.jpg
