Title,Author,Original Price,Discounted Price,URL
মুঠোফোনের কাব্য,নির্মলেন্দু গুণ,৮০.০০ টাকা,৬৪.০০ টাকা,https://www.prothoma.com/product/10207/%E0%A6%AE%E0%A7%81%E0%A6%A0%E0%A7%8B%E0%A6%AB%E0%A7%8B%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%AF
আড্ডা দেওয়া নিষেধ,নিয়াজ মেহেদী,২০০.০০ টাকা,১৬০.০০ টাকা,https://www.prothoma.com/product/10163/%E0%A6%86%E0%A6%A1%E0%A7%8D%E0%A6%A1%E0%A6%BE-%E0%A6%A6%E0%A7%87%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE-%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A7%87%E0%A6%A7
পরানের অতল গহিনে,সেলিম জাহান,২৭০.০০ টাকা,২১৬.০০ টাকা,https://www.prothoma.com/product/9335/%E0%A6%AA%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%85%E0%A6%A4%E0%A6%B2-%E0%A6%97%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%87
নীল অপরাজিতা,হুমায়ূন আহমেদ,১৬০.০০ টাকা,১২৮.০০ টাকা,https://www.prothoma.com/product/8989/%E0%A6%A8%E0%A7%80%E0%A6%B2-%E0%A6%85%E0%A6%AA%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%A4%E0%A6%BE
উপন্যাসসমগ্র ১ - মুহাম্মদ জাফর ইকবাল,মুহম্মদ জাফর ইকবাল,৪০০.০০ টাকা,৩২০.০০ টাকা,https://www.prothoma.com/product/8626/%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A7%A7---%E0%A6%AE%E0%A7%81%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%A6-%E0%A6%9C%E0%A6%BE%E0%A6%AB%E0%A6%B0-%E0%A6%87%E0%A6%95%E0%A6%AC%E0%A6%BE%E0%A6%B2
রোকেয়া : কালে ও কালোত্তরে,মোরশেদ শফিউল হাসান,৮০.০০ টাকা,৬৪.০০ টাকা,https://www.prothoma.com/product/8128/%E0%A6%B0%E0%A7%8B%E0%A6%95%E0%A7%87%E0%A6%AF%E0%A6%BC%E0%A6%BE-:-%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%87-%E0%A6%93-%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%8B%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%87
নারীর ক্ষমতায়ন : রাজনীতি ও আন্দোলন,সেলিনা হোসেন,৩৫০.০০ টাকা,২৮০.০০ টাকা,https://www.prothoma.com/product/8124/%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%80%E0%A6%B0-%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%AE%E0%A6%A4%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A8-:-%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8
আবু ইব্রাহীমের মৃত্যু,শহীদুল জহির,১০০.০০ টাকা,৮০.০০ টাকা,https://www.prothoma.com/product/7601/%E0%A6%86%E0%A6%AC%E0%A7%81-%E0%A6%87%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%B9%E0%A7%80%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81
ডলু নদীর হাওয়া ও অন্যান্য গল্প,শহীদুল জহির,২০০.০০ টাকা,১৬০.০০ টাকা,https://www.prothoma.com/product/7586/%E0%A6%A1%E0%A6%B2%E0%A7%81-%E0%A6%A8%E0%A6%A6%E0%A7%80%E0%A6%B0-%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE-%E0%A6%93-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA
গল্পসমগ্র ১ - শাহীন আখতার,শাহীন আখতার,৩৫০.০০ টাকা,২৮০.০০ টাকা,https://www.prothoma.com/product/7584/%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A7%A7---%E0%A6%B6%E0%A6%BE%E0%A6%B9%E0%A7%80%E0%A6%A8-%E0%A6%86%E0%A6%96%E0%A6%A4%E0%A6%BE%E0%A6%B0
