Title,Author,Original Price,Discounted Price,URL
স্বাস্থ্যব্যবস্থার অসুখ,মনিরুল ইসলাম,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/9341/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%B0-%E0%A6%85%E0%A6%B8%E0%A7%81%E0%A6%96
রাজনৈতিক বন্দোবস্ত ও অর্থনৈতিক ফলাফল,রাশেদ আল মাহমুদ তিতুমীর,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/9343/%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%A8%E0%A7%88%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A4-%E0%A6%93-%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%88%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%AB%E0%A6%B2%E0%A6%BE%E0%A6%AB%E0%A6%B2
অনুন্নত দেশে সমাজতন্ত্র সংগ্রাম ও অভিজ্ঞতা,আনু মুহাম্মদ,৩৫০.০০ টাকা,২৬২.৫০ টাকা,https://www.prothoma.com/product/9339/%E0%A6%85%E0%A6%A8%E0%A7%81%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%A4-%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%A4%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE-%E0%A6%93-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%A4%E0%A6%BE
"জাতীয়তাবাদ, সাম্প্রদায়িকতা ও জনগণের মুক্তি ১৯০৫-৪৭",সিরাজুল ইসলাম চৌধুরী,"১,০০০.০০ টাকা",৭৫০.০০ টাকা,https://www.prothoma.com/product/9321/%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC%E0%A6%A4%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%A6-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%BF%E0%A6%95%E0%A6%A4%E0%A6%BE-%E0%A6%93-%E0%A6%9C%E0%A6%A8%E0%A6%97%E0%A6%A3%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A7%A7%E0%A7%AF%E0%A7%A6%E0%A7%AB-%E0%A7%AA%E0%A7%AD
সোফির জগৎ - ইয়স্তাইন গোর্ডার,জি এইচ হাবীব,৭০০.০০ টাকা,৫২৫.০০ টাকা,https://www.prothoma.com/product/8853/%E0%A6%B8%E0%A7%8B%E0%A6%AB%E0%A6%BF%E0%A6%B0-%E0%A6%9C%E0%A6%97%E0%A7%8E---%E0%A6%87%E0%A6%AF%E0%A6%BC%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%87%E0%A6%A8-%E0%A6%97%E0%A7%8B%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A6%BE%E0%A6%B0
বিপ্লবের স্বপ্নভূমি কিউবা : বিশ্বায়িত পুঁজিবাদে ল্যাটিন আমেরিকা,আনু মুহাম্মদ,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/8851/%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%AC%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AA%E0%A7%8D%E0%A6%A8%E0%A6%AD%E0%A7%82%E0%A6%AE%E0%A6%BF-%E0%A6%95%E0%A6%BF%E0%A6%89%E0%A6%AC%E0%A6%BE-:-%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%BF%E0%A6%A4-%E0%A6%AA%E0%A7%81%E0%A6%81%E0%A6%9C%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%A6%E0%A7%87-%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F%E0%A6%BF%E0%A6%A8-%E0%A6%86%E0%A6%AE%E0%A7%87%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A6%BE
নারী-পুরুষ বৈষম্য,মনিরুল ইসলাম,১৮০.০০ টাকা,১৩৫.০০ টাকা,https://www.prothoma.com/product/8227/%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%80-%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%81%E0%A6%B7-%E0%A6%AC%E0%A7%88%E0%A6%B7%E0%A6%AE%E0%A7%8D%E0%A6%AF
কোরআনের মর্মকথা,ফজলুর রহমান,৩৫০.০০ টাকা,২৬২.৫০ টাকা,https://www.prothoma.com/product/7210/%E0%A6%95%E0%A7%8B%E0%A6%B0%E0%A6%86%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A6%95%E0%A6%A5%E0%A6%BE
The World's Best Inspiring Stories,G. Francis Xavier,৪৭৫.০০ টাকা,৩৫৬.২৫ টাকা,https://www.prothoma.com/product/6433/the-world%27s-best-inspiring-stories
ইতিহাস আমাকে মুক্তি দেবে - ফিদেল ক্যাস্ত্রো,আফসানা বেগম,১৫০.০০ টাকা,১১২.৫০ টাকা,https://www.prothoma.com/product/5962/%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8-%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%95%E0%A7%87-%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%A6%E0%A7%87%E0%A6%AC%E0%A7%87---%E0%A6%AB%E0%A6%BF%E0%A6%A6%E0%A7%87%E0%A6%B2-%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%8B
কোথায় যাচ্ছে বাংলাদেশ,আনু মুহাম্মদ,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/5764/%E0%A6%95%E0%A7%8B%E0%A6%A5%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%AF%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6-1
কবিগান ও কবিয়াল,রণজিৎ চট্টোপাধ্যায়,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/5495/%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%97%E0%A6%BE%E0%A6%A8-%E0%A6%93-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B2
এই সময়ের রবীন্দ্রনাথ,Ananda Ghosh Hazra,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/5300/%E0%A6%8F%E0%A6%87-%E0%A6%B8%E0%A6%AE%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B0-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5
বাংলাদেশে গণতন্ত্রের সংগ্রাম : ২০০৩-২০০৬,লেখক,৭৫.০০ টাকা,৫৬.২৫ টাকা,https://www.prothoma.com/product/4268/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87-%E0%A6%97%E0%A6%A3%E0%A6%A4%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE-:-%E0%A7%A8%E0%A7%A6%E0%A7%A6%E0%A7%A9-%E0%A7%A8%E0%A7%A6%E0%A7%A6%E0%A7%AC-1
সোহোতে মার্কস - হাওয়ার্ড জিন,জাভেদ হুসেন,১২০.০০ টাকা,৯০.০০ টাকা,https://www.prothoma.com/product/4235/%E0%A6%B8%E0%A7%8B%E0%A6%B9%E0%A7%8B%E0%A6%A4%E0%A7%87-%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A6%B8---%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1-%E0%A6%9C%E0%A6%BF%E0%A6%A8-1
"তিক্ত ওষুধ, রুগ্‌ণ চিকিৎসা ও জিম্মি জনগণ",মজনু-নুল হক,১৬০.০০ টাকা,১২০.০০ টাকা,https://www.prothoma.com/product/4131/%E0%A6%A4%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%A4-%E0%A6%93%E0%A6%B7%E0%A7%81%E0%A6%A7-%E0%A6%B0%E0%A7%81%E0%A6%97%E0%A7%8D%E2%80%8C%E0%A6%A3-%E0%A6%9A%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A7%8E%E0%A6%B8%E0%A6%BE-%E0%A6%93-%E0%A6%9C%E0%A6%BF%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%BF-%E0%A6%9C%E0%A6%A8%E0%A6%97%E0%A6%A3
সোহোতে মার্কস - হাওয়ার্ড জিন,জাভেদ হুসেন,১২০.০০ টাকা,৯০.০০ টাকা,https://www.prothoma.com/product/4134/%E0%A6%B8%E0%A7%8B%E0%A6%B9%E0%A7%8B%E0%A6%A4%E0%A7%87-%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A6%B8---%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1-%E0%A6%9C%E0%A6%BF%E0%A6%A8
পাহাড়ে বিপন্ন জনপদ,বিপ্লব রহমান,২৪০.০০ টাকা,১৮০.০০ টাকা,https://www.prothoma.com/product/4105/%E0%A6%AA%E0%A6%BE%E0%A6%B9%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%A8-%E0%A6%9C%E0%A6%A8%E0%A6%AA%E0%A6%A6
বন্যা ও বাংলাদেশ,জ্যোতির্ময় বসু,৩৫০.০০ টাকা,২৬২.৫০ টাকা,https://www.prothoma.com/product/4086/%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE-%E0%A6%93-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6
কোথায় যাচ্ছে বাংলাদেশ,আনু মুহাম্মদ,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/3654/%E0%A6%95%E0%A7%8B%E0%A6%A5%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%AF%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6
একাত্তরের যুদ্ধ যশোরে পূর্ব পাকিস্তান কমিউনস্ট পার্টি (এম-এল,নূর মোহাম্মদ,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/3573/%E0%A6%8F%E0%A6%95%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7-%E0%A6%AF%E0%A6%B6%E0%A7%8B%E0%A6%B0%E0%A7%87-%E0%A6%AA%E0%A7%82%E0%A6%B0%E0%A7%8D%E0%A6%AC-%E0%A6%AA%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8-%E0%A6%95%E0%A6%AE%E0%A6%BF%E0%A6%89%E0%A6%A8%E0%A6%B8%E0%A7%8D%E0%A6%9F-%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A6%BF-%28%E0%A6%8F%E0%A6%AE-%E0%A6%8F%E0%A6%B2
বিদায় গুলসারি,অরুণ সোম,৩৪৫.০০ টাকা,২৫৮.৭৫ টাকা,https://www.prothoma.com/product/3265/%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A6%BF
অরণ্যে যুদ্ধ,নেয়ামুল হক,২২০.০০ টাকা,১৬৫.০০ টাকা,https://www.prothoma.com/product/3224/%E0%A6%85%E0%A6%B0%E0%A6%A3%E0%A7%8D%E0%A6%AF%E0%A7%87-%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7
বাংলাদেশে প্রাক-প্রাথমিক শিক্ষা,সমীর রঞ্জন নাথ,৪৫০.০০ টাকা,৩৩৭.৫০ টাকা,https://www.prothoma.com/product/2941/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%95-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A5%E0%A6%AE%E0%A6%BF%E0%A6%95-%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE
বাংলা সাহিত্য ও বাঙালী মধ্যবিত্ত,সিরাজুল ইসলাম চৌধুরী,৬৫০.০০ টাকা,৪৮৭.৫০ টাকা,https://www.prothoma.com/product/2497/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF-%E0%A6%93-%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A7%80-%E0%A6%AE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%A4
মুক্তি সংগ্রামে আত্রাই,ওহিদুর রহমান,২২৫.০০ টাকা,১৬৮.৭৫ টাকা,https://www.prothoma.com/product/2357/%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A7%87-%E0%A6%86%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%87-1
আগুনঝরা সেই দিনগুলো,হায়দার আনোয়ার খান জুনো,৩৫০.০০ টাকা,২৬২.৫০ টাকা,https://www.prothoma.com/product/2125/%E0%A6%86%E0%A6%97%E0%A7%81%E0%A6%A8%E0%A6%9D%E0%A6%B0%E0%A6%BE-%E0%A6%B8%E0%A7%87%E0%A6%87-%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A7%8B
সম্মতি উৎপাদন : গণমাধ্যমের রাজনৈতিক অর্থনীতি,নোম চমস্কি,৫০০.০০ টাকা,৩৭৫.০০ টাকা,https://www.prothoma.com/product/2100/%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%A4%E0%A6%BF-%E0%A6%89%E0%A7%8E%E0%A6%AA%E0%A6%BE%E0%A6%A6%E0%A6%A8-:-%E0%A6%97%E0%A6%A3%E0%A6%AE%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%A8%E0%A7%88%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF
কালের কল্লোল,আহমেদ কামাল,৩৫০.০০ টাকা,২৬২.৫০ টাকা,https://www.prothoma.com/product/2098/%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A7%8B%E0%A6%B2
"জাতীয় সম্পদ, বহুজাতিক পুঁজি ও মালিকানার তর্ক",কল্লোল মোস্তফা,১২০.০০ টাকা,৯০.০০ টাকা,https://www.prothoma.com/product/2063/%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%A6-%E0%A6%AC%E0%A6%B9%E0%A7%81%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%AA%E0%A7%81%E0%A6%81%E0%A6%9C%E0%A6%BF-%E0%A6%93-%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95
জৈববিবর্তনবাদ (দেড়শ' বছরের দ্বন্দ্ব বিরোধ),মনিরুল ইসলাম,১২০.০০ টাকা,৯০.০০ টাকা,https://www.prothoma.com/product/2065/%E0%A6%9C%E0%A7%88%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%A8%E0%A6%AC%E0%A6%BE%E0%A6%A6-%28%E0%A6%A6%E0%A7%87%E0%A6%A1%E0%A6%BC%E0%A6%B6%27-%E0%A6%AC%E0%A6%9B%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AC-%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A7%8B%E0%A6%A7%29
বাংলাদেশের জল ও জ্বালানি,ম. ইনামুল হক,৪০০.০০ টাকা,৩০০.০০ টাকা,https://www.prothoma.com/product/2061/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%B2-%E0%A6%93-%E0%A6%9C%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%A8%E0%A6%BF
মুক্তি সংগ্রামে আত্রাই,ওহিদুর রহমান,২২৫.০০ টাকা,১৬৮.৭৫ টাকা,https://www.prothoma.com/product/2035/%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A7%87-%E0%A6%86%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%87
