Title,Author,Original Price,Discounted Price,URL
স্মরণ ভ্রমণ যাপন,পিয়াস মজিদ,১৬০.০০ টাকা,১২৮.০০ টাকা,https://www.prothoma.com/product/10190/%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A6%B0%E0%A6%A3-%E0%A6%AD%E0%A7%8D%E0%A6%B0%E0%A6%AE%E0%A6%A3-%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A6%A8
অপারেশন মুক্তাগাছা,আনিসুল হক,১৬০.০০ টাকা,১২৮.০০ টাকা,https://www.prothoma.com/product/9839/%E0%A6%85%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%B6%E0%A6%A8-%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%97%E0%A6%BE%E0%A6%9B%E0%A6%BE
গ্লিনা,মুহম্মদ জাফর ইকবাল,২৪০.০০ টাকা,১৯২.০০ টাকা,https://www.prothoma.com/product/9734/%E0%A6%97%E0%A7%8D%E0%A6%B2%E0%A6%BF%E0%A6%A8%E0%A6%BE
শর্ট-কাট ম্যাথ,গেরার্ড ডাব্লিউ. কেলি,১৫০.০০ টাকা,১২০.০০ টাকা,https://www.prothoma.com/product/9019/%E0%A6%B6%E0%A6%B0%E0%A7%8D%E0%A6%9F-%E0%A6%95%E0%A6%BE%E0%A6%9F-%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A5-1
একাত্তর এবং আমার বাবা,হুমায়ূন আহমেদ,৩২৫.০০ টাকা,২৬০.০০ টাকা,https://www.prothoma.com/product/8682/%E0%A6%8F%E0%A6%95%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0-%E0%A6%8F%E0%A6%AC%E0%A6%82-%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%AC%E0%A6%BE-1
একাত্তর এবং আমার বাবা,হুমায়ূন আহমেদ,৩২৫.০০ টাকা,২৬০.০০ টাকা,https://www.prothoma.com/product/8512/%E0%A6%8F%E0%A6%95%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0-%E0%A6%8F%E0%A6%AC%E0%A6%82-%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%AC%E0%A6%BE
দূরে দূরান্তরে : রাশিয়া ও জাপান ভ্রমণ,শামসুজ্জামান খান,১০০.০০ টাকা,৮০.০০ টাকা,https://www.prothoma.com/product/7875/%E0%A6%A6%E0%A7%82%E0%A6%B0%E0%A7%87-%E0%A6%A6%E0%A7%82%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%87-:-%E0%A6%B0%E0%A6%BE%E0%A6%B6%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE-%E0%A6%93-%E0%A6%9C%E0%A6%BE%E0%A6%AA%E0%A6%BE%E0%A6%A8-%E0%A6%AD%E0%A7%8D%E0%A6%B0%E0%A6%AE%E0%A6%A3
আয়নাঘর,হুমায়ূন আহমেদ,১৫০.০০ টাকা,১২০.০০ টাকা,https://www.prothoma.com/product/7184/%E0%A6%86%E0%A6%AF%E0%A6%BC%E0%A6%A8%E0%A6%BE%E0%A6%98%E0%A6%B0
শূন্য,হুমায়ূন আহমেদ,১০০.০০ টাকা,৮০.০০ টাকা,https://www.prothoma.com/product/7112/%E0%A6%B6%E0%A7%82%E0%A6%A8%E0%A7%8D%E0%A6%AF
পটুয়াখালীর সংক্ষিপ্ত পরিচয়,ফজলুর রহমান,৭৫.০০ টাকা,৬০.০০ টাকা,https://www.prothoma.com/product/5914/%E0%A6%AA%E0%A6%9F%E0%A7%81%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%96%E0%A6%BE%E0%A6%B2%E0%A7%80%E0%A6%B0-%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%AA%E0%A7%8D%E0%A6%A4-%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%9A%E0%A6%AF%E0%A6%BC-1
বাংলায় মুসলিম স্থাপত্য,বুলবন ওসমান,২৪০.০০ টাকা,১৯২.০০ টাকা,https://www.prothoma.com/product/5812/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%AE-%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%AF
জেন্ডার ও উন্নয়ন কোষ ২য় খণ্ড,সেলিনা হোসেন,"১,০০০.০০ টাকা",৮০০.০০ টাকা,https://www.prothoma.com/product/5623/%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BE%E0%A6%B0-%E0%A6%93-%E0%A6%89%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%AF%E0%A6%BC%E0%A6%A8-%E0%A6%95%E0%A7%8B%E0%A6%B7-%E0%A7%A8%E0%A6%AF%E0%A6%BC-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1-1
জেন্ডার ও উন্নয়ন কোষ ১ম খণ্ড,সেলিনা হোসেন,"১,০০০.০০ টাকা",৮০০.০০ টাকা,https://www.prothoma.com/product/5621/%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BE%E0%A6%B0-%E0%A6%93-%E0%A6%89%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%AF%E0%A6%BC%E0%A6%A8-%E0%A6%95%E0%A7%8B%E0%A6%B7-%E0%A7%A7%E0%A6%AE-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1-1
গবেষণাপত্র অনুসন্ধান ও রচনা,জগমোহন মুখোপাধ্যায়,২৩৮.০০ টাকা,১৯০.৪০ টাকা,https://www.prothoma.com/product/5051/%E0%A6%97%E0%A6%AC%E0%A7%87%E0%A6%B7%E0%A6%A3%E0%A6%BE%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%85%E0%A6%A8%E0%A7%81%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%BE%E0%A6%A8-%E0%A6%93-%E0%A6%B0%E0%A6%9A%E0%A6%A8%E0%A6%BE-1
