Title,Author,Original Price,Discounted Price,URL,Image
চেয়েছি জোছনার প্লাবন,সাব্বির বিশ্বাস,১৩৫.০০ টাকা,১০১.২৫ টাকা,https://www.prothoma.com/product/10134/%E0%A6%9A%E0%A7%87%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%9B%E0%A6%BF-%E0%A6%9C%E0%A7%8B%E0%A6%9B%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%AC%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022573aaf74b_1612863290.jpg
গুগলে তথ্য খোঁজার ১০১টি কৌশল,সাব্বির বিশ্বাস,১৫০.০০ টাকা,১১২.৫০ টাকা,https://www.prothoma.com/product/10131/%E0%A6%97%E0%A7%81%E0%A6%97%E0%A6%B2%E0%A7%87-%E0%A6%A4%E0%A6%A5%E0%A7%8D%E0%A6%AF-%E0%A6%96%E0%A7%8B%E0%A6%81%E0%A6%9C%E0%A6%BE%E0%A6%B0-%E0%A7%A7%E0%A7%A6%E0%A7%A7%E0%A6%9F%E0%A6%BF-%E0%A6%95%E0%A7%8C%E0%A6%B6%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/02/6022573920e5b_1612863289.jpg
ময়াল,মুনির হাসান,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/10096/%E0%A6%AE%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/02/6022566c67a2d_1612863084.jpg
নানা কাজের মুক্ত সফটওয়্যার,নুরুন্নবী চৌধুরী হাছিব,১০০.০০ টাকা,৭৫.০০ টাকা,https://www.prothoma.com/product/9955/%E0%A6%A8%E0%A6%BE%E0%A6%A8%E0%A6%BE-%E0%A6%95%E0%A6%BE%E0%A6%9C%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4-%E0%A6%B8%E0%A6%AB%E0%A6%9F%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/602255b231d7a_1612862898.jpg
কম্পিউটার এবং ইন্টারনেট টিপস,মো. আমিনুর রহমান,১৩৫.০০ টাকা,১০১.২৫ টাকা,https://www.prothoma.com/product/9956/%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0-%E0%A6%8F%E0%A6%AC%E0%A6%82-%E0%A6%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A6%A8%E0%A7%87%E0%A6%9F-%E0%A6%9F%E0%A6%BF%E0%A6%AA%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/02/602255b2ae980_1612862898.jpg
নেভার গিভ আপ,নিয়াজ আহমেদ,২২০.০০ টাকা,১৬৫.০০ টাকা,https://www.prothoma.com/product/9953/%E0%A6%A8%E0%A7%87%E0%A6%AD%E0%A6%BE%E0%A6%B0-%E0%A6%97%E0%A6%BF%E0%A6%AD-%E0%A6%86%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/02/602255b126a74_1612862897.jpg
ল্যান্ড ইয়োর ড্রিম জব,নিয়াজ আহমেদ,২৬০.০০ টাকা,১৯৫.০০ টাকা,https://www.prothoma.com/product/9954/%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1-%E0%A6%87%E0%A6%AF%E0%A6%BC%E0%A7%8B%E0%A6%B0-%E0%A6%A1%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AE-%E0%A6%9C%E0%A6%AC,https://image.prothoma.com/productThumbs/2021/02/602255b19c168_1612862897.jpg
লিডারশিপ,নিয়াজ আহমেদ,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/9951/%E0%A6%B2%E0%A6%BF%E0%A6%A1%E0%A6%BE%E0%A6%B0%E0%A6%B6%E0%A6%BF%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/02/602255b00a3f7_1612862896.jpg
ডোনাল্ড ট্রাম্প,নিয়াজ আহমেদ,২৭০.০০ টাকা,২০২.৫০ টাকা,https://www.prothoma.com/product/9952/%E0%A6%A1%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B2%E0%A7%8D%E0%A6%A1-%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/02/602255b08281f_1612862896.jpg
হতে চাইলে সফল ফ্রিল্যান্সার,পার্থ সারথি কর,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/9949/%E0%A6%B9%E0%A6%A4%E0%A7%87-%E0%A6%9A%E0%A6%BE%E0%A6%87%E0%A6%B2%E0%A7%87-%E0%A6%B8%E0%A6%AB%E0%A6%B2-%E0%A6%AB%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%B8%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/602255af0aee5_1612862895.jpg
Programming in Scratch,বিজয় জব্বার,২৭০.০০ টাকা,২০২.৫০ টাকা,https://www.prothoma.com/product/9950/programming-in-scratch,https://image.prothoma.com/productThumbs/2021/02/602255af823b8_1612862895.jpg
আউটসোর্সিং ৪: অভিজ্ঞদের অভিজ্ঞতা থেকে,মো. আমিনুর রহমান,১৩৫.০০ টাকা,১০১.২৫ টাকা,https://www.prothoma.com/product/9947/%E0%A6%86%E0%A6%89%E0%A6%9F%E0%A6%B8%E0%A7%8B%E0%A6%B0%E0%A7%8D%E0%A6%B8%E0%A6%BF%E0%A6%82-%E0%A7%AA:-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%A4%E0%A6%BE-%E0%A6%A5%E0%A7%87%E0%A6%95%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/602255adda06e_1612862893.jpg
নবীনদের জন্য জুমলা ভিজ্যুয়াল গাইড,পার্থ সারথি কর,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/9948/%E0%A6%A8%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%9C%E0%A7%81%E0%A6%AE%E0%A6%B2%E0%A6%BE-%E0%A6%AD%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B2-%E0%A6%97%E0%A6%BE%E0%A6%87%E0%A6%A1,https://image.prothoma.com/productThumbs/2021/02/602255ae6dcea_1612862894.jpg
