Title,Author,Original Price,Discounted Price,URL,Image
নাম নিয়ে নানা কথা,দিলীপ দেবনাথ,১২০.০০ টাকা,৯০.০০ টাকা,https://www.prothoma.com/product/8462/%E0%A6%A8%E0%A6%BE%E0%A6%AE-%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87-%E0%A6%A8%E0%A6%BE%E0%A6%A8%E0%A6%BE-%E0%A6%95%E0%A6%A5%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602250e1cc0f7_1612861665.jpg
জিতু আর টিইইইইইই,মেহেদী হক,৬০.০০ টাকা,৪৫.০০ টাকা,https://www.prothoma.com/product/7177/%E0%A6%9C%E0%A6%BF%E0%A6%A4%E0%A7%81-%E0%A6%86%E0%A6%B0-%E0%A6%9F%E0%A6%BF%E0%A6%87%E0%A6%87%E0%A6%87%E0%A6%87%E0%A6%87%E0%A6%87,https://image.prothoma.com/productThumbs/2021/02/60224acf1d420_1612860111.jpg
দুষ্প্রাপ্য বাংলা সাহিত্য,অর্ণব শাহা,৫৭০.০০ টাকা,৪২৭.৫০ টাকা,https://www.prothoma.com/product/6767/%E0%A6%A6%E0%A7%81%E0%A6%B7%E0%A7%8D%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%AF-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF,https://image.prothoma.com/productThumbs/2021/02/60224a0cc7f48_1612859916.jpg
পল্লীবাংলার ইতিহাস - ডব্লিউ হান্টার,ডব্লিউ. হান্টার,৪০০.০০ টাকা,৩০০.০০ টাকা,https://www.prothoma.com/product/5930/%E0%A6%AA%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A7%80%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8---%E0%A6%A1%E0%A6%AC%E0%A7%8D%E0%A6%B2%E0%A6%BF%E0%A6%89-%E0%A6%B9%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/60224800e806a_1612859392.jpg
জাপান প্রবাস,সুব্রত কুমার দাস,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/5724/%E0%A6%9C%E0%A6%BE%E0%A6%AA%E0%A6%BE%E0%A6%A8-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%BE%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/02/602246c8d8893_1612859080.jpg
লোকপ্রশাসনকোষ,কবির মোঃ আশরাফ আলম,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/5582/%E0%A6%B2%E0%A7%8B%E0%A6%95%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B6%E0%A6%BE%E0%A6%B8%E0%A6%A8%E0%A6%95%E0%A7%8B%E0%A6%B7,https://image.prothoma.com/productThumbs/2021/02/602246902f42e_1612859024.jpg
প্রথম বাংলাদেশ কোষ ১,Khandakar Mahmudul Hassan,৭৫০.০০ টাকা,৫৬২.৫০ টাকা,https://www.prothoma.com/product/5535/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A5%E0%A6%AE-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6-%E0%A6%95%E0%A7%8B%E0%A6%B7-%E0%A7%A7,https://image.prothoma.com/productThumbs/2021/03/605329f312398_1616062963.jpg
চলচ্চিত্রকলার রূপ-রূপান্তর,সাজেদুর আউয়াল,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/4785/%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%B0%E0%A7%82%E0%A6%AA-%E0%A6%B0%E0%A7%82%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0-1,https://image.prothoma.com/productThumbs/2021/02/6022437ebe29e_1612858238.jpg
গাছপালা তরুলতা,বিপ্রদাশ বড়ুয়া,২২৫.০০ টাকা,১৬৮.৭৫ টাকা,https://www.prothoma.com/product/4427/%E0%A6%97%E0%A6%BE%E0%A6%9B%E0%A6%AA%E0%A6%BE%E0%A6%B2%E0%A6%BE-%E0%A6%A4%E0%A6%B0%E0%A7%81%E0%A6%B2%E0%A6%A4%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602243158c546_1612858133.jpg
চলচ্চিত্রকলার রূপ-রূপান্তর,সাজেদুর আউয়াল,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/4383/%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%B0%E0%A7%82%E0%A6%AA-%E0%A6%B0%E0%A7%82%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/6022430abe8a8_1612858122.jpg
