Title,Author,Original Price,Discounted Price,URL,Image
ভারতের কমিউনিস্ট আন্দোলন ইতিহাসের রূপরেখা,Harkishan Sing Surajit,২৬৬.০০ টাকা,২৫২.৭০ টাকা,https://www.prothoma.com/product/9753/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%AE%E0%A6%BF%E0%A6%89%E0%A6%A8%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%9F-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%B0%E0%A7%82%E0%A6%AA%E0%A6%B0%E0%A7%87%E0%A6%96%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602254882fe90_1612862600.jpg
সাজন - শুভময় মন্ডল,Subhamaya Mandal,৮৬.০০ টাকা,৮১.৭০ টাকা,https://www.prothoma.com/product/8490/%E0%A6%B8%E0%A6%BE%E0%A6%9C%E0%A6%A8---%E0%A6%B6%E0%A7%81%E0%A6%AD%E0%A6%AE%E0%A6%AF%E0%A6%BC-%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/02/602250e956502_1612861673.jpg
জেল নোটবুক ও অন্যান্য রচনা,ভগৎ সিং,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/8322/%E0%A6%9C%E0%A7%87%E0%A6%B2-%E0%A6%A8%E0%A7%8B%E0%A6%9F%E0%A6%AC%E0%A7%81%E0%A6%95-%E0%A6%93-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%B0%E0%A6%9A%E0%A6%A8%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602250663c725_1612861542.jpg
জনসংখ্যা : ভবনা-দুর্ভাবনা,হরিলাল নাথ,১৫২.০০ টাকা,১৪৪.৪০ টাকা,https://www.prothoma.com/product/8321/%E0%A6%9C%E0%A6%A8%E0%A6%B8%E0%A6%82%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE-:-%E0%A6%AD%E0%A6%AC%E0%A6%A8%E0%A6%BE-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A6%A8%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60225065b3c0c_1612861541.jpg
ফরাসী বিপ্লব (১৭৮৬-১৭৯৫),শুভাশিস ঘোষ,৮৬.০০ টাকা,৮১.৭০ টাকা,https://www.prothoma.com/product/8299/%E0%A6%AB%E0%A6%B0%E0%A6%BE%E0%A6%B8%E0%A7%80-%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%AC-%28%E0%A7%A7%E0%A7%AD%E0%A7%AE%E0%A7%AC-%E0%A7%A7%E0%A7%AD%E0%A7%AF%E0%A7%AB%29,https://image.prothoma.com/productThumbs/2021/02/60225059d674e_1612861529.jpg
উর্বর আগুন ফ্রান্সের ফ্যাসিবিরোধী সাহিত্য প্রবাহ,Subhamaya Mandal,১৬০.০০ টাকা,১৫২.০০ টাকা,https://www.prothoma.com/product/7951/%E0%A6%89%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%B0-%E0%A6%86%E0%A6%97%E0%A7%81%E0%A6%A8-%E0%A6%AB%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%AB%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A6%BF%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A7%8B%E0%A6%A7%E0%A7%80-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%BE%E0%A6%B9,https://image.prothoma.com/productThumbs/2021/02/60224f9e8c781_1612861342.jpg
বিকল্প নবজাগরণ,Jayantanuja Bandyopadhyaya,৮৬.০০ টাকা,৮১.৭০ টাকা,https://www.prothoma.com/product/7807/%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%B2%E0%A7%8D%E0%A6%AA-%E0%A6%A8%E0%A6%AC%E0%A6%9C%E0%A6%BE%E0%A6%97%E0%A6%B0%E0%A6%A3,https://image.prothoma.com/productThumbs/2021/02/60224f63e3f61_1612861283.jpg
নারী অতীত বর্তমান ভবিষ্যতে,August Bebel,১৪২.০০ টাকা,১৩৪.৯০ টাকা,https://www.prothoma.com/product/7515/%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%80-%E0%A6%85%E0%A6%A4%E0%A7%80%E0%A6%A4-%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%AE%E0%A6%BE%E0%A6%A8-%E0%A6%AD%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%AF%E0%A6%A4%E0%A7%87-1,https://image.prothoma.com/productThumbs/2021/03/605327d9e3bbe_1616062425.jpg
সংস্কৃতির অন্য বৃত্ত,Bishnu Bera,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/7456/%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%AC%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%A4,https://image.prothoma.com/productThumbs/2021/02/60224eadb73b2_1612861101.jpg
রুশদেশের উপকথা,কাঞ্চন মুখোপাধ্যায়,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/7409/%E0%A6%B0%E0%A7%81%E0%A6%B6%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%89%E0%A6%AA%E0%A6%95%E0%A6%A5%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60224ea23190b_1612861090.jpg
