Title,Author,Original Price,Discounted Price,URL,Image
বাংলার ছড়া,ভবতারন দত্ত,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/8529/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%9B%E0%A6%A1%E0%A6%BC%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602250f3555e5_1612861683.jpg
সংবাদ-সাময়িকপত্রে ভারত ছাড়ো আন্দোলন,Bijit Kumar Dutta,৯৫০.০০ টাকা,৯০২.৫০ টাকা,https://www.prothoma.com/product/8525/%E0%A6%B8%E0%A6%82%E0%A6%AC%E0%A6%BE%E0%A6%A6-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%AF%E0%A6%BC%E0%A6%BF%E0%A6%95%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87-%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4-%E0%A6%9B%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A7%8B-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/602250f255b72_1612861682.jpg
রচনাসমগ্র ৬ - মানিক বন্দ্যোপাধ্যায়,মানিক বন্দ্যোপাধ্যায়,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/8408/%E0%A6%B0%E0%A6%9A%E0%A6%A8%E0%A6%BE%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A7%AC---%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%95-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC,https://image.prothoma.com/productThumbs/2021/02/602250d427427_1612861652.jpg
কাজী নজরুল ইসলাম জন্মশতবর্ষ স্মারক গ্রন্থ,কাজী নজরুল ইসলাম,"১,৫২০.০০ টাকা","১,৪৪৪.০০ টাকা",https://www.prothoma.com/product/8280/%E0%A6%95%E0%A6%BE%E0%A6%9C%E0%A7%80-%E0%A6%A8%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B2-%E0%A6%87%E0%A6%B8%E0%A6%B2%E0%A6%BE%E0%A6%AE-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AE%E0%A6%B6%E0%A6%A4%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%B7-%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A6%95-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A7%8D%E0%A6%A5,https://image.prothoma.com/productThumbs/2021/02/6022504d6bc6e_1612861517.jpg
মুক্তির সংগ্রামে ভারত,Chinmohan Sehanabish,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/8254/%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A7%87-%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4,https://image.prothoma.com/productThumbs/2021/02/6022503f0d832_1612861503.jpg
মধু বাতা ঋতায়তে,অর্ধেন্দু বন্দ্যোপাধ্যায়,২৫০.০০ টাকা,২৩৭.৫০ টাকা,https://www.prothoma.com/product/8211/%E0%A6%AE%E0%A6%A7%E0%A7%81-%E0%A6%AC%E0%A6%BE%E0%A6%A4%E0%A6%BE-%E0%A6%8B%E0%A6%A4%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A4%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/6022502920d08_1612861481.jpg
প্রবন্ধ সংগ্রহ - অজিত দত্ত,অজিত দত্ত,১১৪.০০ টাকা,১০৮.৩০ টাকা,https://www.prothoma.com/product/7953/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%B9---%E0%A6%85%E0%A6%9C%E0%A6%BF%E0%A6%A4-%E0%A6%A6%E0%A6%A4%E0%A7%8D%E0%A6%A4,https://image.prothoma.com/productThumbs/2021/02/60224f9f9ba0d_1612861343.jpg
বিষ্ণু দে স্বভাবে প্রতিবাদে,অরুণ সেন,৪৭৫.০০ টাকা,৪৫১.২৫ টাকা,https://www.prothoma.com/product/7840/%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A3%E0%A7%81-%E0%A6%A6%E0%A7%87-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%A6%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/60224f6c081ed_1612861292.jpg
বাংলায় ভারত ছাড়ো আন্দোলন,অমলেন্দু দে,২৪৭.০০ টাকা,২৩৪.৬৫ টাকা,https://www.prothoma.com/product/7842/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4-%E0%A6%9B%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A7%8B-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/60224f6c77ef1_1612861292.jpg
প্রতিষ্ঠা বার্ষিকী ভাষণ সংকলন,সনৎকুমার চট্টোপাধ্যায়,২৫০.০০ টাকা,২৩৭.৫০ টাকা,https://www.prothoma.com/product/7731/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A0%E0%A6%BE-%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%95%E0%A7%80-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%A3-%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A6%B2%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/60224f51dbe71_1612861265.jpg
সারস্বত,অরুন কুমার বসু,৪৫০.০০ টাকা,৪২৭.৫০ টাকা,https://www.prothoma.com/product/7467/%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%A4-1,https://image.prothoma.com/productThumbs/2021/02/60224eb055ae9_1612861104.jpg
ব্যক্তি ও স্রষ্টা,Pramathanath Bishi,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/7133/%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%B8%E0%A7%8D%E0%A6%B0%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BE-1,https://image.prothoma.com/productThumbs/2021/02/60224ab88a66e_1612860088.jpg
বাংলা ধ্বনিপ্রতীক : স্বরূপ ও অভিধান,Bidyutbaran Chowdhury,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/6474/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%A7%E0%A7%8D%E0%A6%AC%E0%A6%A8%E0%A6%BF%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A7%80%E0%A6%95-:-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%B0%E0%A7%82%E0%A6%AA-%E0%A6%93-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%A7%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022496d3ee81_1612859757.jpg
ব্যক্তি ও স্রষ্টা,Pramathanath Bishi,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/6312/%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%B8%E0%A7%8D%E0%A6%B0%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022492c461cf_1612859692.jpg
জীবনানন্দ দাশ - প্রভাতকুমার দাস,Prabhatkumar Das,৬৬৫.০০ টাকা,৬৩১.৭৫ টাকা,https://www.prothoma.com/product/6281/%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6-%E0%A6%A6%E0%A6%BE%E0%A6%B6---%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AD%E0%A6%BE%E0%A6%A4%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%A6%E0%A6%BE%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/02/60224924a14d0_1612859684.jpg
দ্বিজেন্দ্রগীতি সমগ্র,সুধীর চক্রবর্তী,৩৪২.০০ টাকা,৩২৪.৯০ টাকা,https://www.prothoma.com/product/6180/%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%97%E0%A7%80%E0%A6%A4%E0%A6%BF-%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/602248fe2bef2_1612859646.jpg
রচনাসমগ্র ৫ - মানিক বন্দ্যোপাধ্যায়,মানিক বন্দ্যোপাধ্যায়,৩৪২.০০ টাকা,৩২৪.৯০ টাকা,https://www.prothoma.com/product/6123/%E0%A6%B0%E0%A6%9A%E0%A6%A8%E0%A6%BE%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A7%AB---%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%95-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC,https://image.prothoma.com/productThumbs/2021/02/602248efecb9e_1612859631.jpg
Bengali Language Handbook,Punya Sloka Ray,১৩৩.০০ টাকা,১২৬.৩৫ টাকা,https://www.prothoma.com/product/5728/bengali-language-handbook,https://image.prothoma.com/productThumbs/2021/02/602246c9d1dc0_1612859081.jpg
সংবাদ-সাময়িকপত্রে উনিশ শতকের বাঙালিসমাজ ১,Swapan Basu,৮৫৫.০০ টাকা,৮১২.২৫ টাকা,https://www.prothoma.com/product/5697/%E0%A6%B8%E0%A6%82%E0%A6%AC%E0%A6%BE%E0%A6%A6-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%AF%E0%A6%BC%E0%A6%BF%E0%A6%95%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87-%E0%A6%89%E0%A6%A8%E0%A6%BF%E0%A6%B6-%E0%A6%B6%E0%A6%A4%E0%A6%95%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C-%E0%A7%A7,https://image.prothoma.com/productThumbs/2021/02/602246c23dc24_1612859074.jpg
বাঙালীর ভাষা,সুকুমার সেন,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/5676/%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A7%80%E0%A6%B0-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602246bcc5dc8_1612859068.jpg
বাংলা প্রাইমার সংগ্রহ (১৮১৬-১৮৫৫),আশিস খাস্তগীর,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/5564/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%B9-%28%E0%A7%A7%E0%A7%AE%E0%A7%A7%E0%A7%AC-%E0%A7%A7%E0%A7%AE%E0%A7%AB%E0%A7%AB%29,https://image.prothoma.com/productThumbs/2021/02/6022468b9f1bb_1612859019.jpg
বাঙালির গান,দুর্গাদাস লাহিড়ী,"১,৩৩০.০০ টাকা","১,২৬৩.৫০ টাকা",https://www.prothoma.com/product/5465/%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%B0-%E0%A6%97%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022467435d48_1612858996.jpg
শ্রদ্ধালেখমালা : সুকুমার সেন শতবর্ষ স্মারক সংককলন,পবিত্র সরকার,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/4909/%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BE%E0%A6%B2%E0%A7%87%E0%A6%96%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%BE-:-%E0%A6%B8%E0%A7%81%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A7%87%E0%A6%A8-%E0%A6%B6%E0%A6%A4%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%B7-%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A6%95-%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A6%95%E0%A6%B2%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/602243b211f48_1612858290.jpg
সারস্বত,অরুন কুমার বসু,৪৫০.০০ টাকা,৪২৭.৫০ টাকা,https://www.prothoma.com/product/4551/%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%A4,https://image.prothoma.com/productThumbs/2021/02/6022433cdcdfe_1612858172.jpg
