Title,Author,Original Price,Discounted Price,URL,Image
হিমু অমনিবাস : হুমায়ূন আহমেদ,হুমায়ূন আহমেদ,৬০০.০০ টাকা,৪৫০.০০ টাকা,https://www.prothoma.com/product/8438/%E0%A6%B9%E0%A6%BF%E0%A6%AE%E0%A7%81-%E0%A6%85%E0%A6%AE%E0%A6%A8%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%B8-:-%E0%A6%B9%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%82%E0%A6%A8-%E0%A6%86%E0%A6%B9%E0%A6%AE%E0%A7%87%E0%A6%A6,https://image.prothoma.com/productThumbs/2021/02/602250dc3430d_1612861660.jpg
বৃক্ষ বাঁচলে মানুষ বাঁচবে,হারুন-আর-রশিদ,৪৫০.০০ টাকা,৩৩৭.৫০ টাকা,https://www.prothoma.com/product/8201/%E0%A6%AC%E0%A7%83%E0%A6%95%E0%A7%8D%E0%A6%B7-%E0%A6%AC%E0%A6%BE%E0%A6%81%E0%A6%9A%E0%A6%B2%E0%A7%87-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%B7-%E0%A6%AC%E0%A6%BE%E0%A6%81%E0%A6%9A%E0%A6%AC%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/6022502456e8d_1612861476.jpg
হালুম - সাকিব আল হাসান,সাকিব আল হাসান,২৫০.০০ টাকা,১৮৭.৫০ টাকা,https://www.prothoma.com/product/7273/%E0%A6%B9%E0%A6%BE%E0%A6%B2%E0%A7%81%E0%A6%AE---%E0%A6%B8%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%AC-%E0%A6%86%E0%A6%B2-%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/60224af1607dc_1612860145.jpg
একজন হিমু কয়েকটি ঝিঁ ঝিঁ পোকা,হুমায়ূন আহমেদ,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/7213/%E0%A6%8F%E0%A6%95%E0%A6%9C%E0%A6%A8-%E0%A6%B9%E0%A6%BF%E0%A6%AE%E0%A7%81-%E0%A6%95%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%95%E0%A6%9F%E0%A6%BF-%E0%A6%9D%E0%A6%BF%E0%A6%81-%E0%A6%9D%E0%A6%BF%E0%A6%81-%E0%A6%AA%E0%A7%8B%E0%A6%95%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60224ad87352b_1612860120.jpg
হিমঘরে ঘুম ও অন্যান্য,মুহম্মদ জাফর ইকবাল,১৫০.০০ টাকা,১১২.৫০ টাকা,https://www.prothoma.com/product/7114/%E0%A6%B9%E0%A6%BF%E0%A6%AE%E0%A6%98%E0%A6%B0%E0%A7%87-%E0%A6%98%E0%A7%81%E0%A6%AE-%E0%A6%93-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%AF,https://image.prothoma.com/productThumbs/2021/02/60224ab3bd54e_1612860083.jpg
ভালোবাসা ডট কম,আনিসুল হক,১৩৫.০০ টাকা,১০১.২৫ টাকা,https://www.prothoma.com/product/7073/%E0%A6%AD%E0%A6%BE%E0%A6%B2%E0%A7%8B%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%BE-%E0%A6%A1%E0%A6%9F-%E0%A6%95%E0%A6%AE,https://image.prothoma.com/productThumbs/2021/02/60224aa92945f_1612860073.jpg
জিম্মি : আনিসুল হক,আনিসুল হক,৭৫.০০ টাকা,৫৬.২৫ টাকা,https://www.prothoma.com/product/7075/%E0%A6%9C%E0%A6%BF%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%BF-:-%E0%A6%86%E0%A6%A8%E0%A6%BF%E0%A6%B8%E0%A7%81%E0%A6%B2-%E0%A6%B9%E0%A6%95,https://image.prothoma.com/productThumbs/2021/02/60224aa9909e5_1612860073.jpg
সদ্য লেখা গদ্য কার্টুন,আনিসুল হক,১৫০.০০ টাকা,১১২.৫০ টাকা,https://www.prothoma.com/product/7047/%E0%A6%B8%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%B2%E0%A7%87%E0%A6%96%E0%A6%BE-%E0%A6%97%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/60224a9ea159c_1612860062.jpg
বাংলা সাহিত্যের কথা (প্রথম খণ্ড-প্রাচীন যুগ),ড. মুহম্মদ শহীদুল্লাহ,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/4741/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%A5%E0%A6%BE-%28%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A5%E0%A6%AE-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%9A%E0%A7%80%E0%A6%A8-%E0%A6%AF%E0%A7%81%E0%A6%97%29,https://image.prothoma.com/productThumbs/2021/02/602243752da2b_1612858229.jpg
নিপীড়িত নিসর্গ ও লাঞ্ছিত বাংলাদেশ,বিপ্রদাশ বড়ুয়া,২৫০.০০ টাকা,১৮৭.৫০ টাকা,https://www.prothoma.com/product/4417/%E0%A6%A8%E0%A6%BF%E0%A6%AA%E0%A7%80%E0%A6%A1%E0%A6%BC%E0%A6%BF%E0%A6%A4-%E0%A6%A8%E0%A6%BF%E0%A6%B8%E0%A6%B0%E0%A7%8D%E0%A6%97-%E0%A6%93-%E0%A6%B2%E0%A6%BE%E0%A6%9E%E0%A7%8D%E0%A6%9B%E0%A6%BF%E0%A6%A4-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6,https://image.prothoma.com/productThumbs/2021/02/602243130c8d7_1612858131.jpg
