Title,Author,Original Price,Discounted Price,URL,Image
স্লোনেস,আনিসুল হক,২৬০.০০ টাকা,১৯৫.০০ টাকা,https://www.prothoma.com/product/10283/%E0%A6%B8%E0%A7%8D%E0%A6%B2%E0%A7%8B%E0%A6%A8%E0%A7%87%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/03/604f2ee503638_1615802085.jpg
পিএইচডির গল্প,আসিফ নজরুল,২৫০.০০ টাকা,১৮৭.৫০ টাকা,https://www.prothoma.com/product/10282/%E0%A6%AA%E0%A6%BF%E0%A6%8F%E0%A6%87%E0%A6%9A%E0%A6%A1%E0%A6%BF%E0%A6%B0-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/03/604f2e5107d40_1615801937.jpg
লাল সন্ত্রাস: সিরাজ সিকদার ও সর্বহারা রাজনীতি,মহিউদ্দিন আহমদ,৮০০.০০ টাকা,৬০০.০০ টাকা,https://www.prothoma.com/product/10280/%E0%A6%B2%E0%A6%BE%E0%A6%B2-%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%B8:-%E0%A6%B8%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A6%9C-%E0%A6%B8%E0%A6%BF%E0%A6%95%E0%A6%A6%E0%A6%BE%E0%A6%B0-%E0%A6%93-%E0%A6%B8%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A6%BE-%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/03/604f2847c710e_1615800391.jpg
ছোট ছোট গল্প,হরিশংকর জলদাস,১৫০.০০ টাকা,১১২.৫০ টাকা,https://www.prothoma.com/product/10019/%E0%A6%9B%E0%A7%8B%E0%A6%9F-%E0%A6%9B%E0%A7%8B%E0%A6%9F-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/02/6022563f6f8a4_1612863039.jpg
নেভারহোয়্যার,নিল গেইম্যান,৩২০.০০ টাকা,২৪০.০০ টাকা,https://www.prothoma.com/product/10005/%E0%A6%A8%E0%A7%87%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%B9%E0%A7%8B%E0%A6%AF%E0%A6%BC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/60225637d9377_1612863031.jpg
ল্যাবিরিন্থ,কেট মস,৫৫০.০০ টাকা,৪১২.৫০ টাকা,https://www.prothoma.com/product/10001/%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A5,https://image.prothoma.com/productThumbs/2021/02/602256358e54a_1612863029.jpg
চেজ,জেমস প্যাটারসন,১২০.০০ টাকা,৯০.০০ টাকা,https://www.prothoma.com/product/9987/%E0%A6%9A%E0%A7%87%E0%A6%9C,https://image.prothoma.com/productThumbs/2021/02/602255c32fcf8_1612862915.jpg
দ্য ব্রিদিং মেথড,স্টিফেন কিং,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/9986/%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%A6%E0%A6%BF%E0%A6%82-%E0%A6%AE%E0%A7%87%E0%A6%A5%E0%A6%A1,https://image.prothoma.com/productThumbs/2021/02/602255c2a0566_1612862914.jpg
স্যালভেশন অফ আ সেইন্ট,কিয়েগো হিগাশিনো,৩২০.০০ টাকা,২৪০.০০ টাকা,https://www.prothoma.com/product/9977/%E0%A6%B8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%AD%E0%A7%87%E0%A6%B6%E0%A6%A8-%E0%A6%85%E0%A6%AB-%E0%A6%86-%E0%A6%B8%E0%A7%87%E0%A6%87%E0%A6%A8%E0%A7%8D%E0%A6%9F,https://image.prothoma.com/productThumbs/2021/02/602255bdf18ee_1612862909.jpg
বেলা-অবেলা,মহিউদ্দিন আহমদ,৭০০.০০ টাকা,৫২৫.০০ টাকা,https://www.prothoma.com/product/9765/%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%BE-%E0%A6%85%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022548ba7a48_1612862603.jpg
টিকিটাকা,ওয়াসি আহমেদ,২৪০.০০ টাকা,১৮০.০০ টাকা,https://www.prothoma.com/product/9520/%E0%A6%9F%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A6%9F%E0%A6%BE%E0%A6%95%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60225430710b6_1612862512.jpg
পাখিসব,সাগুফতা শারমীন তানিয়া,২৬৭.০০ টাকা,২০০.২৫ টাকা,https://www.prothoma.com/product/9333/%E0%A6%AA%E0%A6%BE%E0%A6%96%E0%A6%BF%E0%A6%B8%E0%A6%AC,https://image.prothoma.com/productThumbs/2021/03/6053290fb4535_1616062735.jpg
ইতিহাসের যাত্রী,মহিউদ্দিন আহমদ,২৬৭.০০ টাকা,২০০.২৫ টাকা,https://www.prothoma.com/product/9255/%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%80,https://image.prothoma.com/productThumbs/2021/03/604a0c5e00243_1615465565.jpg
দ্য জাগুয়ার স্মাইল,আলম খোরশেদ,২৫০.০০ টাকা,১৮৭.৫০ টাকা,https://www.prothoma.com/product/9124/%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%9C%E0%A6%BE%E0%A6%97%E0%A7%81%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A6%BE%E0%A6%87%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/02/6022539fb90ea_1612862367.jpg
