Title,Author,Original Price,Discounted Price,URL,Image
ছোটোদের ছড়া কবিতা - শঙ্খ ঘোষ,শঙ্খ ঘোষ,১৯০.০০ টাকা,১৪২.৫০ টাকা,https://www.prothoma.com/product/9721/%E0%A6%9B%E0%A7%8B%E0%A6%9F%E0%A7%8B%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%9B%E0%A6%A1%E0%A6%BC%E0%A6%BE-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE---%E0%A6%B6%E0%A6%99%E0%A7%8D%E0%A6%96-%E0%A6%98%E0%A7%8B%E0%A6%B7,https://image.prothoma.com/productThumbs/2021/02/6022547f2121d_1612862591.jpg
সহজ পাঠ (১-২),রবীন্দ্রনাথ ঠাকুর,২৭৬.০০ টাকা,২০৭.০০ টাকা,https://www.prothoma.com/product/9723/%E0%A6%B8%E0%A6%B9%E0%A6%9C-%E0%A6%AA%E0%A6%BE%E0%A6%A0-%28%E0%A7%A7-%E0%A7%A8%29,https://image.prothoma.com/productThumbs/2021/02/6022547fb45d8_1612862591.jpg
ছোটোদের ছড়া কবিতা - নীরেন্দ্রনাথ চক্রবর্তী,নীরেন্দ্রনাথ চক্রবর্তী,১৯০.০০ টাকা,১৪২.৫০ টাকা,https://www.prothoma.com/product/9717/%E0%A6%9B%E0%A7%8B%E0%A6%9F%E0%A7%8B%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%9B%E0%A6%A1%E0%A6%BC%E0%A6%BE-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE---%E0%A6%A8%E0%A7%80%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5-%E0%A6%9A%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A7%80,https://image.prothoma.com/productThumbs/2021/02/6022547e0ccf3_1612862590.jpg
ছোটোদের বত্রিশ পুতুল,নরেশচন্দ্র জানা,১৬২.০০ টাকা,১২১.৫০ টাকা,https://www.prothoma.com/product/9719/%E0%A6%9B%E0%A7%8B%E0%A6%9F%E0%A7%8B%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%B6-%E0%A6%AA%E0%A7%81%E0%A6%A4%E0%A7%81%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/02/6022547e92e3c_1612862590.jpg
নতুন ছড়া,নীরেন্দ্রনাথ চক্রবর্তী,১১৪.০০ টাকা,৮৫.৫০ টাকা,https://www.prothoma.com/product/9713/%E0%A6%A8%E0%A6%A4%E0%A7%81%E0%A6%A8-%E0%A6%9B%E0%A6%A1%E0%A6%BC%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022547d0bd9a_1612862589.jpg
নেফ্রিখেফের কবলে,রাজেশ বসু,১৫২.০০ টাকা,১১৪.০০ টাকা,https://www.prothoma.com/product/9715/%E0%A6%A8%E0%A7%87%E0%A6%AB%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%96%E0%A7%87%E0%A6%AB%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%AC%E0%A6%B2%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/6022547d87862_1612862589.jpg
সুর-সোহাগি,সংখা ঘোষ,৬৬.০০ টাকা,৪৯.৫০ টাকা,https://www.prothoma.com/product/9712/%E0%A6%B8%E0%A7%81%E0%A6%B0-%E0%A6%B8%E0%A7%8B%E0%A6%B9%E0%A6%BE%E0%A6%97%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/6022547c5bfc6_1612862588.jpg
কিশোর গল্প - বিভূতিভূষণ বন্দ্যোপাধ্যায়,বিভূতিভূষণ বন্দ্যোপাধ্যায়,২৩৮.০০ টাকা,১৭৮.৫০ টাকা,https://www.prothoma.com/product/9707/%E0%A6%95%E0%A6%BF%E0%A6%B6%E0%A7%8B%E0%A6%B0-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA---%E0%A6%AC%E0%A6%BF%E0%A6%AD%E0%A7%82%E0%A6%A4%E0%A6%BF%E0%A6%AD%E0%A7%82%E0%A6%B7%E0%A6%A3-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC,https://image.prothoma.com/productThumbs/2021/02/6022547b23fdf_1612862587.jpg
উল্কাপাতের দ্বীপে,রাজেশ বসু,২০৯.০০ টাকা,১৫৬.৭৫ টাকা,https://www.prothoma.com/product/9709/%E0%A6%89%E0%A6%B2%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A7%80%E0%A6%AA%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/6022547bac43b_1612862587.jpg
ব্যাকরণের আনন্দ পাঠ (১-২),নরেশচন্দ্র জানা,৪১৮.০০ টাকা,৩১৩.৫০ টাকা,https://www.prothoma.com/product/9705/%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%95%E0%A6%B0%E0%A6%A3%E0%A7%87%E0%A6%B0-%E0%A6%86%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6-%E0%A6%AA%E0%A6%BE%E0%A6%A0-%28%E0%A7%A7-%E0%A7%A8%29,https://image.prothoma.com/productThumbs/2021/03/605334c0b6492_1616065728.jpg
