Title,Author,Original Price,Discounted Price,URL,Image
আমি সিরাজুল আলম খান,শামসুদ্দিন পেয়ারা,৪০০.০০ টাকা,৩০০.০০ টাকা,https://www.prothoma.com/product/9999/%E0%A6%86%E0%A6%AE%E0%A6%BF-%E0%A6%B8%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A7%81%E0%A6%B2-%E0%A6%86%E0%A6%B2%E0%A6%AE-%E0%A6%96%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/602255c9dbdcc_1612862921.jpg
মেয়ের কথা মায়ের কথা মেয়েদের কথা,হাসনা বেগম,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/8126/%E0%A6%AE%E0%A7%87%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%A5%E0%A6%BE-%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%A5%E0%A6%BE-%E0%A6%AE%E0%A7%87%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%A5%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022500a85a30_1612861450.jpg
কার্নিস ছুঁয়ে পড়া,রেজাউর রহমান,১৫০.০০ টাকা,১১২.৫০ টাকা,https://www.prothoma.com/product/7058/%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A8%E0%A6%BF%E0%A6%B8-%E0%A6%9B%E0%A7%81%E0%A6%81%E0%A6%AF%E0%A6%BC%E0%A7%87-%E0%A6%AA%E0%A6%A1%E0%A6%BC%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60224aa4617fc_1612860068.jpg
ইতিহাসের দায়মুক্তি,রেজাউল করিম,৪৫০.০০ টাকা,৩৩৭.৫০ টাকা,https://www.prothoma.com/product/5923/%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/602247fd3ba47_1612859389.jpg
কূটনীতিবিদ্যা - হ্যারল্ড নিকোলসন,আরশাদ আজিজ,২২৫.০০ টাকা,১৬৮.৭৫ টাকা,https://www.prothoma.com/product/5708/%E0%A6%95%E0%A7%82%E0%A6%9F%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE---%E0%A6%B9%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0%E0%A6%B2%E0%A7%8D%E0%A6%A1-%E0%A6%A8%E0%A6%BF%E0%A6%95%E0%A7%8B%E0%A6%B2%E0%A6%B8%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/602246c4daab3_1612859076.jpg
মতবাদ কোষ (১-২),মুনীর তৌসিফ,৮০০.০০ টাকা,৬০০.০০ টাকা,https://www.prothoma.com/product/5669/%E0%A6%AE%E0%A6%A4%E0%A6%AC%E0%A6%BE%E0%A6%A6-%E0%A6%95%E0%A7%8B%E0%A6%B7-%28%E0%A7%A7-%E0%A7%A8%29,https://image.prothoma.com/productThumbs/2021/02/602246bb4a39c_1612859067.jpg
ফিরে দেখা : রবীন্দ্রনাথ,সনৎকুমার সাহা,৩৭৫.০০ টাকা,২৮১.২৫ টাকা,https://www.prothoma.com/product/5298/%E0%A6%AB%E0%A6%BF%E0%A6%B0%E0%A7%87-%E0%A6%A6%E0%A7%87%E0%A6%96%E0%A6%BE-:-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5,https://image.prothoma.com/productThumbs/2021/02/602244a9be159_1612858537.jpg
সুরের চারণ আব্বাসউদ্দিন,আবুল আহসান চৌধুরী,৭৬০.০০ টাকা,৫৭০.০০ টাকা,https://www.prothoma.com/product/4632/%E0%A6%B8%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%9A%E0%A6%BE%E0%A6%B0%E0%A6%A3-%E0%A6%86%E0%A6%AC%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%A6%E0%A6%BF%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022434eb1c9e_1612858190.jpg
যেমন দেখেছি ওয়ান ইলেভেন,আহমেদ মুসা,৩০০.০০ টাকা,২২৫.০০ টাকা,https://www.prothoma.com/product/3661/%E0%A6%AF%E0%A7%87%E0%A6%AE%E0%A6%A8-%E0%A6%A6%E0%A7%87%E0%A6%96%E0%A7%87%E0%A6%9B%E0%A6%BF-%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%A8-%E0%A6%87%E0%A6%B2%E0%A7%87%E0%A6%AD%E0%A7%87%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/602241a233ee1_1612857762.jpg
মুক্তিযুদ্ধের দলিল লন্ডভন্ড এবং অতঃপর,আবু সাঈদ,৩৯৫.০০ টাকা,২৯৬.২৫ টাকা,https://www.prothoma.com/product/3621/%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A6%B2%E0%A6%BF%E0%A6%B2-%E0%A6%B2%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%AD%E0%A6%A8%E0%A7%8D%E0%A6%A1-%E0%A6%8F%E0%A6%AC%E0%A6%82-%E0%A6%85%E0%A6%A4%E0%A6%83%E0%A6%AA%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/6022418f8f4c5_1612857743.jpg
