Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আনন্দবাজর পত্রিকা (শারদীয়া ১৪২৬),Anirban Chattobardhyay,220.00,209.00,https://www.prothoma.com/product/6840/%E0%A6%86%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%B0-%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A6%BE-%28%E0%A6%B6%E0%A6%BE%E0%A6%B0%E0%A6%A6%E0%A7%80%E0%A6%AF%E0%A6%BC%E0%A6%BE-%E0%A7%A7%E0%A7%AA%E0%A7%A8%E0%A7%AC%29,https://image.prothoma.com/productThumbs/2021/02/60224a35de8fe_1612859957.jpg, , , , , , , , , , , 
দেশ (১৭ আগস্ট ২০১৯),Sumon Sengupta,65.00,61.75,https://www.prothoma.com/product/6842/%E0%A6%A6%E0%A7%87%E0%A6%B6-%28%E0%A7%A7%E0%A7%AD-%E0%A6%86%E0%A6%97%E0%A6%B8%E0%A7%8D%E0%A6%9F-%E0%A7%A8%E0%A7%A6%E0%A7%A7%E0%A7%AF%29,https://image.prothoma.com/productThumbs/2021/02/60224a3644ca8_1612859958.jpg, , , , , , , , , , , 
বইয়ের দেশ (জুলাই-সেপ্টেম্বর ২০১৯),Sumon Sengupta,60.00,57.00,https://www.prothoma.com/product/6836/%E0%A6%AC%E0%A6%87%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A7%87%E0%A6%B6-%28%E0%A6%9C%E0%A7%81%E0%A6%B2%E0%A6%BE%E0%A6%87-%E0%A6%B8%E0%A7%87%E0%A6%AA%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%AE%E0%A7%8D%E0%A6%AC%E0%A6%B0-%E0%A7%A8%E0%A7%A6%E0%A7%A7%E0%A7%AF%29,https://image.prothoma.com/productThumbs/2021/02/60224a34f0e17_1612859956.jpg, , , , , , , , , , , 
পত্রিকা (শারদীয়া ১৪২৬),Anirban Chattobardhyay,180.00,171.00,https://www.prothoma.com/product/6839/%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A6%BE-%28%E0%A6%B6%E0%A6%BE%E0%A6%B0%E0%A6%A6%E0%A7%80%E0%A6%AF%E0%A6%BC%E0%A6%BE-%E0%A7%A7%E0%A7%AA%E0%A7%A8%E0%A7%AC%29,https://image.prothoma.com/productThumbs/2021/02/60224a356ca9d_1612859957.jpg, , , , , , , , , , , 
আনন্দমেলা পূজাবার্ষিকী ১৪২৬,পৌলোমী সেনগুপ্ত,300.00,285.00,https://www.prothoma.com/product/6833/%E0%A6%86%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%AE%E0%A7%87%E0%A6%B2%E0%A6%BE-%E0%A6%AA%E0%A7%82%E0%A6%9C%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%95%E0%A7%80-%E0%A7%A7%E0%A7%AA%E0%A7%A8%E0%A7%AC,https://image.prothoma.com/productThumbs/2021/02/60224a3411279_1612859956.jpg, , , , , , , , , , , 
দেশ (২ আগষ্ট ২০১৯),Sumon Sengupta,65.00,61.75,https://www.prothoma.com/product/6834/%E0%A6%A6%E0%A7%87%E0%A6%B6-%28%E0%A7%A8-%E0%A6%86%E0%A6%97%E0%A6%B7%E0%A7%8D%E0%A6%9F-%E0%A7%A8%E0%A7%A6%E0%A7%A7%E0%A7%AF%29,https://image.prothoma.com/productThumbs/2021/02/60224a3477d2a_1612859956.jpg, , , , , , , , , , , 
দেশ (শারদীয়া ১৪২৫),পৌলোমী সেনগুপ্ত,280.00,266.00,https://www.prothoma.com/product/6717/%E0%A6%A6%E0%A7%87%E0%A6%B6-%28%E0%A6%B6%E0%A6%BE%E0%A6%B0%E0%A6%A6%E0%A7%80%E0%A6%AF%E0%A6%BC%E0%A6%BE-%E0%A7%A7%E0%A7%AA%E0%A7%A8%E0%A7%AB%29,https://image.prothoma.com/productThumbs/2021/02/60224a005b3ec_1612859904.jpg, , , , , , , , , , , 
দেশ (২ এপ্রিল ২০১৭),হর্ষ দত্ত,65.00,61.75,https://www.prothoma.com/product/6526/%E0%A6%A6%E0%A7%87%E0%A6%B6-%28%E0%A7%A8-%E0%A6%8F%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%B2-%E0%A7%A8%E0%A7%A6%E0%A7%A7%E0%A7%AD%29,https://image.prothoma.com/productThumbs/2021/02/6022497b2b9a4_1612859771.jpg, , , , , , , , , , , 
সানন্দা (বোধন ২০১৬),পৌলোমী সেনগুপ্ত,160.00,152.00,https://www.prothoma.com/product/6491/%E0%A6%B8%E0%A6%BE%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BE-%28%E0%A6%AC%E0%A7%8B%E0%A6%A7%E0%A6%A8-%E0%A7%A8%E0%A7%A6%E0%A7%A7%E0%A7%AC%29,https://image.prothoma.com/productThumbs/2021/02/60224971bd281_1612859761.jpg, , , , , , , , , , , 
দেশ (শারদীয় ১৪২৩),হর্ষ দত্ত,220.00,209.00,https://www.prothoma.com/product/6493/%E0%A6%A6%E0%A7%87%E0%A6%B6-%28%E0%A6%B6%E0%A6%BE%E0%A6%B0%E0%A6%A6%E0%A7%80%E0%A6%AF%E0%A6%BC-%E0%A7%A7%E0%A7%AA%E0%A7%A8%E0%A7%A9%29,https://image.prothoma.com/productThumbs/2021/02/602249724ddbb_1612859762.jpg, , , , , , , , , , , 
