Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আখ্যান পঞ্চাশ,মধুময় পাল,"1,330.00","1,263.50",https://www.prothoma.com/product/10365/%E0%A6%86%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8-%E0%A6%AA%E0%A6%9E%E0%A7%8D%E0%A6%9A%E0%A6%BE%E0%A6%B6,https://image.prothoma.com/productThumbs/2021/03/6051c5487d0c1_1615971656.jpg, , , , , , , , , , , 
আওরঙ্গজেব দ্য ম্যান আন্ড দ্য মিথ,অড্রি ট্রুসকে,428.00,406.60,https://www.prothoma.com/product/10344/%E0%A6%86%E0%A6%93%E0%A6%B0%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%9C%E0%A7%87%E0%A6%AC-%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A1-%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%AE%E0%A6%BF%E0%A6%A5,https://image.prothoma.com/productThumbs/2021/03/60519d52cc1d4_1615961426.jpg, , , , , , , , , , , 
বাংলাদেশে/র চলচ্চিত্র,Bidhan Rebeiro,475.00,451.25,https://www.prothoma.com/product/9128/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0-1,https://image.prothoma.com/productThumbs/2021/03/6053327213527_1616065138.jpg, , , , , , , , , , , 
লালনের সাধনসঙ্গিনী,সোমব্রত সরকার,855.00,812.25,https://www.prothoma.com/product/8029/%E0%A6%B2%E0%A6%BE%E0%A6%B2%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%A7%E0%A6%A8%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BF%E0%A6%A8%E0%A7%80,https://image.prothoma.com/productThumbs/2021/02/60224ff23c37c_1612861426.jpg, , , , , , , , , , , 
জাপানে গণিকা সংস্কৃতি,Probir Bikash Sarkar,142.00,134.90,https://www.prothoma.com/product/8025/%E0%A6%9C%E0%A6%BE%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%87-%E0%A6%97%E0%A6%A3%E0%A6%BF%E0%A6%95%E0%A6%BE-%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/60224ff0eb8c6_1612861424.jpg, , , , , , , , , , , 
আওরঙ্গজেব দ্য ম্যান অ্যান্ড দ্য মিথ,অড্রি ট্রুসকে,428.00,406.60,https://www.prothoma.com/product/8027/%E0%A6%86%E0%A6%93%E0%A6%B0%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%9C%E0%A7%87%E0%A6%AC-%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8-%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1-%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%AE%E0%A6%BF%E0%A6%A5,https://image.prothoma.com/productThumbs/2021/02/60224ff19974a_1612861425.jpg, , , , , , , , , , , 
হাস্যরসিক রবীন্দ্রনাথ,Tapash Roy,665.00,631.75,https://www.prothoma.com/product/8023/%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%AF%E0%A6%B0%E0%A6%B8%E0%A6%BF%E0%A6%95-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5,https://image.prothoma.com/productThumbs/2021/02/60224ff08291a_1612861424.jpg, , , , , , , , , , , 
ওরা ক্লাস করে,বিনায়ক বন্দ্যোপাধ্যায়,228.00,216.60,https://www.prothoma.com/product/7311/%E0%A6%93%E0%A6%B0%E0%A6%BE-%E0%A6%95%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B8-%E0%A6%95%E0%A6%B0%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/60224e846d7bd_1612861060.jpg, , , , , , , , , , , 
Star Eid A midsummer (2018),Mahfuz Anam,150.00,142.50,https://www.prothoma.com/product/7266/star-eid-a-midsummer-%282018%29,https://image.prothoma.com/productThumbs/2021/02/60224aedbced2_1612860141.jpg, , , , , , , , , , , 
লিওনার্দো লালন লাকাঁ,বিধান রিবেরু,475.00,451.25,https://www.prothoma.com/product/6415/%E0%A6%B2%E0%A6%BF%E0%A6%93%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A7%8B-%E0%A6%B2%E0%A6%BE%E0%A6%B2%E0%A6%A8-%E0%A6%B2%E0%A6%BE%E0%A6%95%E0%A6%BE%E0%A6%81,https://image.prothoma.com/productThumbs/2021/02/60224954d51d7_1612859732.jpg, , , , , , , , , , , 
দেহতত্ত্বের গোপন কড়চা,সোমব্রত সরকার,855.00,812.25,https://www.prothoma.com/product/6237/%E0%A6%A6%E0%A7%87%E0%A6%B9%E0%A6%A4%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC%E0%A7%87%E0%A6%B0-%E0%A6%97%E0%A7%8B%E0%A6%AA%E0%A6%A8-%E0%A6%95%E0%A6%A1%E0%A6%BC%E0%A6%9A%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60224919a6cb8_1612859673.jpg, , , , , , , , , , , 
