Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
হিন্দু মুসলিম সম্পর্ক,মিলন দত্ত,"1,140.00","1,083.00",https://www.prothoma.com/product/9356/%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81-%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%AE-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%95-1,https://image.prothoma.com/productThumbs/2021/02/602253edde5f3_1612862445.jpg, , , , , , , , , , , 
তিন তালাক ও কিছু প্রশ্ন,জাহাঙ্গীর হোসেন,38.00,36.10,https://www.prothoma.com/product/9185/%E0%A6%A4%E0%A6%BF%E0%A6%A8-%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%95-%E0%A6%93-%E0%A6%95%E0%A6%BF%E0%A6%9B%E0%A7%81-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B6%E0%A7%8D%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/602253ae633b6_1612862382.jpg, , , , , , , , , , , 
সাম্প্রদায়িক সংস্কৃতি ও বিপন্ন সময়,Asok Chattopadhyay,304.00,288.80,https://www.prothoma.com/product/9132/%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%BF%E0%A6%95-%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%A8-%E0%A6%B8%E0%A6%AE%E0%A6%AF%E0%A6%BC,https://image.prothoma.com/productThumbs/2021/02/602253a19e492_1612862369.jpg, , , , , , , , , , , 
হিন্দু মুসলিম সম্পর্ক,মিলন দত্ত,"1,140.00","1,083.00",https://www.prothoma.com/product/7371/%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81-%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%AE-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%95,https://image.prothoma.com/productThumbs/2021/02/60224e982078e_1612861080.jpg, , , , , , , , , , , 
কুরসিনামা,জাকির তালুকদার,285.00,270.75,https://www.prothoma.com/product/6646/%E0%A6%95%E0%A7%81%E0%A6%B0%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A6%BE%E0%A6%AE%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602249ef12043_1612859887.jpg, , , , , , , , , , , 
পদ্য নিয়ে গদ্য,দীপক রায়,285.00,270.75,https://www.prothoma.com/product/6641/%E0%A6%AA%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87-%E0%A6%97%E0%A6%A6%E0%A7%8D%E0%A6%AF,https://image.prothoma.com/productThumbs/2021/02/602249edb84da_1612859885.jpg, , , , , , , , , , , 
স্ল্যাং : সাম্প্রতিক কবিতায়,Anirban Manna,285.00,270.75,https://www.prothoma.com/product/6636/%E0%A6%B8%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%82-:-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%AF%E0%A6%BC,https://image.prothoma.com/productThumbs/2021/02/602249eca2339_1612859884.jpg, , , , , , , , , , , 
বঙ্গকবিতাবিদ্যা,পাবলো শাহি,570.00,541.50,https://www.prothoma.com/product/6021/%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602248d627d22_1612859606.jpg, , , , , , , , , , , 
অনির্বাণ সেই অগ্নিশিখা,বুলবুল আহমেদ,950.00,902.50,https://www.prothoma.com/product/6023/%E0%A6%85%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A3-%E0%A6%B8%E0%A7%87%E0%A6%87-%E0%A6%85%E0%A6%97%E0%A7%8D%E0%A6%A8%E0%A6%BF%E0%A6%B6%E0%A6%BF%E0%A6%96%E0%A6%BE-1,https://image.prothoma.com/productThumbs/2021/02/602248d6af8f2_1612859606.jpg, , , , , , , , , , , 
অনির্বাণ সেই অগ্নিশিখা,বুলবুল আহমেদ,950.00,902.50,https://www.prothoma.com/product/5620/%E0%A6%85%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A3-%E0%A6%B8%E0%A7%87%E0%A6%87-%E0%A6%85%E0%A6%97%E0%A7%8D%E0%A6%A8%E0%A6%BF%E0%A6%B6%E0%A6%BF%E0%A6%96%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602246af24118_1612859055.jpg, , , , , , , , , , , 
