Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
প্রসঙ্গ : বাক্‌শিল্প,Karunasindhu Das,285.00,270.75,https://www.prothoma.com/product/9825/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97-:-%E0%A6%AC%E0%A6%BE%E0%A6%95%E0%A7%8D%E2%80%8C%E0%A6%B6%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/02/6022549cdfbdd_1612862620.jpg, , , , , , , , , , , 
বঙ্কিম উপন্যাস সমীক্ষা,অমিত্রসূদন ভট্টাচার্য,760.00,722.00,https://www.prothoma.com/product/9822/%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%95%E0%A6%BF%E0%A6%AE-%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8-%E0%A6%B8%E0%A6%AE%E0%A7%80%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022549bc8920_1612862619.jpg, , , , , , , , , , , 
রবীন্দ্রোত্তর কবিতা : ভাবে ও রূপে,ধ্রুব কুমার মুখোপাধ্যায়,380.00,361.00,https://www.prothoma.com/product/9775/%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A7%8B%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-:-%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87-%E0%A6%93-%E0%A6%B0%E0%A7%82%E0%A6%AA%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/6022548e9743d_1612862606.jpg, , , , , , , , , , , 
বাংলা কবিতার নবজন্ম,Sureschandra Maitra,380.00,361.00,https://www.prothoma.com/product/9144/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%A8%E0%A6%AC%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AE,https://image.prothoma.com/productThumbs/2021/02/602253a47ddf7_1612862372.jpg, , , , , , , , , , , 
বাংলা নাটকের বিবর্তন,Sureschandra Maitra,475.00,451.25,https://www.prothoma.com/product/9052/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%A8%E0%A6%BE%E0%A6%9F%E0%A6%95%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/602252f55a957_1612862197.jpg, , , , , , , , , , , 
তৃপ্তি মিত্র শিল্পে ও জীবনে,দেবাশিস রায়চৌধুরী,285.00,270.75,https://www.prothoma.com/product/7413/%E0%A6%A4%E0%A7%83%E0%A6%AA%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%AE%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%B6%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%AA%E0%A7%87-%E0%A6%93-%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/60224ea324a3c_1612861091.jpg, , , , , , , , , , , 
কবিমানস ও কবিতা,ধ্রুব কুমার মুখোপাধ্যায়,532.00,505.40,https://www.prothoma.com/product/6411/%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%B8-%E0%A6%93-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60224952b7147_1612859730.jpg, , , , , , , , , , , 
পুরোনো বাংলা সাহিত্য চিন্তা ও চর্চা,Dr. Jaita Dutta,380.00,361.00,https://www.prothoma.com/product/6294/%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A7%8B-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF-%E0%A6%9A%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BE-%E0%A6%93-%E0%A6%9A%E0%A6%B0%E0%A7%8D%E0%A6%9A%E0%A6%BE-1,https://image.prothoma.com/productThumbs/2021/02/602249278f76b_1612859687.jpg, , , , , , , , , , , 
বিষয় যৌনতা কিছু নির্বাচিত প্রসঙ্গ,Sanjib Ghosh,114.00,108.30,https://www.prothoma.com/product/6287/%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A6%AF%E0%A6%BC-%E0%A6%AF%E0%A7%8C%E0%A6%A8%E0%A6%A4%E0%A6%BE-%E0%A6%95%E0%A6%BF%E0%A6%9B%E0%A7%81-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%9A%E0%A6%BF%E0%A6%A4-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97,https://image.prothoma.com/productThumbs/2021/02/6022492621015_1612859686.jpg, , , , , , , , , , , 
সাহিত্যের রূপ রীতি ও অন্যান্য প্রসঙ্গ,কুন্তল চট্টোপাধ্যায়,380.00,361.00,https://www.prothoma.com/product/6283/%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%B0%E0%A7%82%E0%A6%AA-%E0%A6%B0%E0%A7%80%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97,https://image.prothoma.com/productThumbs/2021/02/602249252a787_1612859685.jpg, , , , , , , , , , , 
বাংলা ছন্দ বিকাশ রূপ ও রীতি,ধ্রুব কুমার মুখোপাধ্যায়,228.00,216.60,https://www.prothoma.com/product/6282/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%9B%E0%A6%A8%E0%A7%8D%E0%A6%A6-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B6-%E0%A6%B0%E0%A7%82%E0%A6%AA-%E0%A6%93-%E0%A6%B0%E0%A7%80%E0%A6%A4%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/60224924ab44a_1612859684.jpg, , , , , , , , , , , 
সুবর্ণলতা : নারীপরিচিতির খোঁজে,বেলা দাস,304.00,288.80,https://www.prothoma.com/product/5270/%E0%A6%B8%E0%A7%81%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A3%E0%A6%B2%E0%A6%A4%E0%A6%BE-:-%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%80%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%96%E0%A7%8B%E0%A6%81%E0%A6%9C%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/6022449e0fdca_1612858526.jpg, , , , , , , , , , , 
ইংরাজী সাহিত্যের ইতিহাস,কুন্তল চট্টোপাধ্যায়,342.00,324.90,https://www.prothoma.com/product/5136/%E0%A6%87%E0%A6%82%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A7%80-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/02/6022447ad3c61_1612858490.jpg, , , , , , , , , , , 
সংস্কৃত সাহিত্য পরিক্রমা,Karuna Sindhu Das,152.00,144.40,https://www.prothoma.com/product/5043/%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%83%E0%A6%A4-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF-%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AE%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602243d362117_1612858323.jpg, , , , , , , , , , , 
পাশ্চাত্য সাহিত্যতত্ত্ব ও সাহিত্যভাবনা,নভেন্দু সেন,570.00,541.50,https://www.prothoma.com/product/4697/%E0%A6%AA%E0%A6%BE%E0%A6%B6%E0%A7%8D%E0%A6%9A%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%AF-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%A4%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC-%E0%A6%93-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A6%A8%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022435e1ca92_1612858206.jpg, , , , , , , , , , , 
কাব্যজিজ্ঞাসার রূপরেখা,Karuna Sindhu Das,114.00,108.30,https://www.prothoma.com/product/4621/%E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%9C%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%B8%E0%A6%BE%E0%A6%B0-%E0%A6%B0%E0%A7%82%E0%A6%AA%E0%A6%B0%E0%A7%87%E0%A6%96%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022434c2b60a_1612858188.jpg, , , , , , , , , , , 
পুরোনো বাংলা সাহিত্য চিন্তা ও চর্চা,Dr. Jaita Dutta,380.00,361.00,https://www.prothoma.com/product/4608/%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A7%8B-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF-%E0%A6%9A%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BE-%E0%A6%93-%E0%A6%9A%E0%A6%B0%E0%A7%8D%E0%A6%9A%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602243493f432_1612858185.jpg, , , , , , , , , , , 
মৃত্যুর পরেও যেন হেঁটে যেতে পারি,Home,285.00,270.75,https://www.prothoma.com/product/3234/%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%B0-%E0%A6%AA%E0%A6%B0%E0%A7%87%E0%A6%93-%E0%A6%AF%E0%A7%87%E0%A6%A8-%E0%A6%B9%E0%A7%87%E0%A6%81%E0%A6%9F%E0%A7%87-%E0%A6%AF%E0%A7%87%E0%A6%A4%E0%A7%87-%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/602240d4a3c02_1612857556.jpg, , , , , , , , , , , 
