Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
চলচ্চিত্রের নেপথ্য কথা,K. G. Das,285.00,270.75,https://www.prothoma.com/product/9599/%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%A8%E0%A7%87%E0%A6%AA%E0%A6%A5%E0%A7%8D%E0%A6%AF-%E0%A6%95%E0%A6%A5%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602254467ac73_1612862534.jpg, , , , , , , , , , , 
বাংলা সাহিত্যের বিকাশের ধারা (১-২),শ্রীকুমার বন্দ্যোপাধ্যায়,902.00,856.90,https://www.prothoma.com/product/9567/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%A7%E0%A6%BE%E0%A6%B0%E0%A6%BE-%28%E0%A7%A7-%E0%A7%A8%29,https://image.prothoma.com/productThumbs/2021/02/6022543da8390_1612862525.jpg, , , , , , , , , , , 
সাহিত্যের স্বরূপ,Sasibhusan Dasgupta,95.00,90.25,https://www.prothoma.com/product/8336/%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%B0%E0%A7%82%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/02/6022506d36f12_1612861549.jpg, , , , , , , , , , , 
বাংলার বাউল ও বাউল গান,উপেন্দ্রনাথ ভট্টাচার্য,"2,280.00","2,166.00",https://www.prothoma.com/product/8334/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%89%E0%A6%B2-%E0%A6%93-%E0%A6%AC%E0%A6%BE%E0%A6%89%E0%A6%B2-%E0%A6%97%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022506c112f5_1612861548.jpg, , , , , , , , , , , 
ইংরাজী সাহিত্যের ইতিহাস,শ্রীকুমার বন্দ্যোপাধ্যায়,380.00,361.00,https://www.prothoma.com/product/8335/%E0%A6%87%E0%A6%82%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A7%80-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8-2,https://image.prothoma.com/productThumbs/2021/02/6022506c94012_1612861548.jpg, , , , , , , , , , , 
পালামৌ,সঞ্জীব চট্টোপাধ্যায়,190.00,180.50,https://www.prothoma.com/product/8333/%E0%A6%AA%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%AE%E0%A7%8C,https://image.prothoma.com/productThumbs/2021/02/6022506b7c0b6_1612861547.jpg, , , , , , , , , , , 
In Mortal Hands : A Cautionary History of the Nuclear Age,Uma Iyengar,"1,700.00","1,615.00",https://www.prothoma.com/product/8151/in-mortal-hands-:-a-cautionary-history-of-the-nuclear-age,https://image.prothoma.com/productThumbs/2021/02/60225010df812_1612861456.jpg, , , , , , , , , , , 
For The Record,Anjali Arondekar,750.00,712.50,https://www.prothoma.com/product/7692/for-the-record,https://image.prothoma.com/productThumbs/2021/02/60224f041be77_1612861188.jpg, , , , , , , , , , , 
The Writings of Rajni Kothari,Ashis Nandy,"1,890.00","1,795.50",https://www.prothoma.com/product/7693/the-writings-of-rajni-kothari,https://image.prothoma.com/productThumbs/2021/02/60224f047feae_1612861188.jpg, , , , , , , , , , , 
Coping with Natural Hazards: Indian Context,K S Valdiya,790.00,750.50,https://www.prothoma.com/product/7690/coping-with-natural-hazards:-indian-context,https://image.prothoma.com/productThumbs/2021/02/60224f033356e_1612861187.jpg, , , , , , , , , , , 
ভারত স্বাধীন হল,সুভাষ মুখোপাধ্যায়,712.00,676.40,https://www.prothoma.com/product/6590/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A7%E0%A7%80%E0%A6%A8-%E0%A6%B9%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/02/6022499066703_1612859792.jpg, , , , , , , , , , , 
Charisma and Commitment in South Asian History,Roger D. Long,"1,092.00","1,037.40",https://www.prothoma.com/product/5992/charisma-and-commitment-in-south-asian-history,https://image.prothoma.com/productThumbs/2021/02/60224824b4ecb_1612859428.jpg, , , , , , , , , , , 
Everyday Life in a Prison,Mahuya Bandyopadhyay,"1,606.00","1,525.70",https://www.prothoma.com/product/5987/everyday-life-in-a-prison,https://image.prothoma.com/productThumbs/2021/02/6022482267f4b_1612859426.jpg, , , , , , , , , , , 
Post-reform Development in Asia,Amiya Kumar Bagchi,"1,390.00","1,320.50",https://www.prothoma.com/product/5984/post-reform-development-in-asia,https://image.prothoma.com/productThumbs/2021/02/60224820e4483_1612859424.jpg, , , , , , , , , , , 
মধ্যযুগের ভারতের ইতিহাস (সুলতানী আমল),অনিরুদ্ধ রায়,513.00,487.35,https://www.prothoma.com/product/5947/%E0%A6%AE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%AF%E0%A7%81%E0%A6%97%E0%A7%87%E0%A6%B0-%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8-%28%E0%A6%B8%E0%A7%81%E0%A6%B2%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A7%80-%E0%A6%86%E0%A6%AE%E0%A6%B2%29-1,https://image.prothoma.com/productThumbs/2021/02/6022480b3a048_1612859403.jpg, , , , , , , , , , , 
