Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আপনারে আমি খুঁজিয়া বেড়াই,হুমায়ূন আহমেদ,400.00,320.00,https://www.prothoma.com/product/10222/%E0%A6%86%E0%A6%AA%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%87-%E0%A6%86%E0%A6%AE%E0%A6%BF-%E0%A6%96%E0%A7%81%E0%A6%81%E0%A6%9C%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE-%E0%A6%AC%E0%A7%87%E0%A6%A1%E0%A6%BC%E0%A6%BE%E0%A6%87,https://image.prothoma.com/productThumbs/2021/02/6022577a29a82_1612863354.jpg, , , , , , , , , , , 
রহস্যময় ব্ল্যাক হোল,মুহম্মদ জাফর ইকবাল,200.00,160.00,https://www.prothoma.com/product/9660/%E0%A6%B0%E0%A6%B9%E0%A6%B8%E0%A7%8D%E0%A6%AF%E0%A6%AE%E0%A6%AF%E0%A6%BC-%E0%A6%AC%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%95-%E0%A6%B9%E0%A7%8B%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/02/60225456c2f87_1612862550.jpg, , , , , , , , , , , 
ঘুরে দাঁড়ানো,মনজুর এইচ,225.00,180.00,https://www.prothoma.com/product/9657/%E0%A6%98%E0%A7%81%E0%A6%B0%E0%A7%87-%E0%A6%A6%E0%A6%BE%E0%A6%81%E0%A6%A1%E0%A6%BC%E0%A6%BE%E0%A6%A8%E0%A7%8B,https://image.prothoma.com/productThumbs/2021/02/60225456254b3_1612862550.jpg, , , , , , , , , , , 
আপন ভুবন,সুপ্রিয় কুমার চক্রবর্ত্তী ,150.00,120.00,https://www.prothoma.com/product/9655/%E0%A6%86%E0%A6%AA%E0%A6%A8-%E0%A6%AD%E0%A7%81%E0%A6%AC%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/602254558959f_1612862549.jpg, , , , , , , , , , , 
দেশের বাইরে দেশ,মুহম্মদ জাফর ইকবাল,150.00,120.00,https://www.prothoma.com/product/9243/%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%87%E0%A6%B0%E0%A7%87-%E0%A6%A6%E0%A7%87%E0%A6%B6,https://image.prothoma.com/productThumbs/2021/02/602253bbbce20_1612862395.jpg, , , , , , , , , , , 
মুর্শিদকুলী খান ও তাঁর যুগ,আবদুল করিম,370.00,296.00,https://www.prothoma.com/product/8776/%E0%A6%AE%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%BF%E0%A6%A6%E0%A6%95%E0%A7%81%E0%A6%B2%E0%A7%80-%E0%A6%96%E0%A6%BE%E0%A6%A8-%E0%A6%93-%E0%A6%A4%E0%A6%BE%E0%A6%81%E0%A6%B0-%E0%A6%AF%E0%A7%81%E0%A6%97,https://image.prothoma.com/productThumbs/2021/02/6022516941da9_1612861801.jpg, , , , , , , , , , , 
জনম জনম,হুমায়ূন আহমেদ,180.00,144.00,https://www.prothoma.com/product/8615/%E0%A6%9C%E0%A6%A8%E0%A6%AE-%E0%A6%9C%E0%A6%A8%E0%A6%AE,https://image.prothoma.com/productThumbs/2021/02/60225115c4f23_1612861717.jpg, , , , , , , , , , , 
মৃন্ময়ীর মন ভালো নেই,হুমায়ূন আহমেদ,160.00,128.00,https://www.prothoma.com/product/7574/%E0%A6%AE%E0%A7%83%E0%A6%A8%E0%A7%8D%E0%A6%AE%E0%A6%AF%E0%A6%BC%E0%A7%80%E0%A6%B0-%E0%A6%AE%E0%A6%A8-%E0%A6%AD%E0%A6%BE%E0%A6%B2%E0%A7%8B-%E0%A6%A8%E0%A7%87%E0%A6%87,https://image.prothoma.com/productThumbs/2021/02/60224ee529e80_1612861157.jpg, , , , , , , , , , , 
হুমায়ূন আহমেদের স্বনির্বাচিত উপন্যাস,হুমায়ূন আহমেদ,800.00,640.00,https://www.prothoma.com/product/7572/%E0%A6%B9%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%82%E0%A6%A8-%E0%A6%86%E0%A6%B9%E0%A6%AE%E0%A7%87%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%9A%E0%A6%BF%E0%A6%A4-%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/02/60224ee4b1182_1612861156.jpg, , , , , , , , , , , 
সমুদ্র বিলাস,হুমায়ূন আহমেদ,120.00,96.00,https://www.prothoma.com/product/7188/%E0%A6%B8%E0%A6%AE%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%B2%E0%A6%BE%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/02/60224ad22fc65_1612860114.jpg, , , , , , , , , , , 
এই আমি - হুমায়ূন আহমেদ,হুমায়ূন আহমেদ,150.00,120.00,https://www.prothoma.com/product/7077/%E0%A6%8F%E0%A6%87-%E0%A6%86%E0%A6%AE%E0%A6%BF---%E0%A6%B9%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%82%E0%A6%A8-%E0%A6%86%E0%A6%B9%E0%A6%AE%E0%A7%87%E0%A6%A6,https://image.prothoma.com/productThumbs/2021/02/60224aaa09895_1612860074.jpg, , , , , , , , , , , 
স্মৃতিপটে নজরুল - মোবাশ্বের আলী,মোবাশ্বের আলী,150.00,120.00,https://www.prothoma.com/product/5188/%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A6%BF%E0%A6%AA%E0%A6%9F%E0%A7%87-%E0%A6%A8%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B2---%E0%A6%AE%E0%A7%8B%E0%A6%AC%E0%A6%BE%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A7%87%E0%A6%B0-%E0%A6%86%E0%A6%B2%E0%A7%80,https://image.prothoma.com/productThumbs/2021/02/60224488829c0_1612858504.jpg, , , , , , , , , , , 
বিস্মৃত চিন্তানায়ক ও অন্যান্য প্রসঙ্গ,মোরশেদ শফিউল হাসান,200.00,160.00,https://www.prothoma.com/product/5073/%E0%A6%AC%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A7%83%E0%A6%A4-%E0%A6%9A%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%95-%E0%A6%93-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97,https://image.prothoma.com/productThumbs/2021/03/6053345dc0b38_1616065629.jpg, , , , , , , , , , , 
আমার ছেলেবেলা,নির্মলেন্দু গুণ,150.00,120.00,https://www.prothoma.com/product/4900/%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%9B%E0%A7%87%E0%A6%B2%E0%A7%87%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%BE-1,https://image.prothoma.com/productThumbs/2021/02/6022439da07c9_1612858269.jpg, , , , , , , , , , , 
পড়শি যদি আমায় ছুঁতো,আনিসুল হক,135.00,108.00,https://www.prothoma.com/product/3879/%E0%A6%AA%E0%A6%A1%E0%A6%BC%E0%A6%B6%E0%A6%BF-%E0%A6%AF%E0%A6%A6%E0%A6%BF-%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%9B%E0%A7%81%E0%A6%81%E0%A6%A4%E0%A7%8B,https://image.prothoma.com/productThumbs/2021/02/602241edd221a_1612857837.jpg, , , , , , , , , , , 
বাংলাদেশের গেরিলাযুদ্ধ,মেজর রফিকুল ইসলাম পিএসসি,200.00,160.00,https://www.prothoma.com/product/3666/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%97%E0%A7%87%E0%A6%B0%E0%A6%BF%E0%A6%B2%E0%A6%BE%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7,https://image.prothoma.com/productThumbs/2021/02/602241a458878_1612857764.jpg, , , , , , , , , , , 
একটুখানি বিজ্ঞান,মুহম্মদ জাফর ইকবাল,350.00,280.00,https://www.prothoma.com/product/3599/%E0%A6%8F%E0%A6%95%E0%A6%9F%E0%A7%81%E0%A6%96%E0%A6%BE%E0%A6%A8%E0%A6%BF-%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/60224145d0a47_1612857669.jpg, , , , , , , , , , , 
আরো একটুখানি বিজ্ঞান,মুহম্মদ জাফর ইকবাল,350.00,280.00,https://www.prothoma.com/product/3600/%E0%A6%86%E0%A6%B0%E0%A7%8B-%E0%A6%8F%E0%A6%95%E0%A6%9F%E0%A7%81%E0%A6%96%E0%A6%BE%E0%A6%A8%E0%A6%BF-%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022414655692_1612857670.jpg, , , , , , , , , , , 
বাংলাদেশের মুক্তিযুদ্ধে ইন্দিরা গান্ধীর ভূমিকা,তপন কুমার দে,150.00,120.00,https://www.prothoma.com/product/3536/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A7%87-%E0%A6%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BF%E0%A6%B0%E0%A6%BE-%E0%A6%97%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%80%E0%A6%B0-%E0%A6%AD%E0%A7%82%E0%A6%AE%E0%A6%BF%E0%A6%95%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602241316a606_1612857649.jpg, , , , , , , , , , , 
মুক্তিযুদ্ধ সমগ্র - হুমায়ূন আহমেদ,হুমায়ূন আহমেদ,"1,000.00",800.00,https://www.prothoma.com/product/2825/%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7-%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0---%E0%A6%B9%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%82%E0%A6%A8-%E0%A6%86%E0%A6%B9%E0%A6%AE%E0%A7%87%E0%A6%A6,https://image.prothoma.com/productThumbs/2021/02/60224051b9f9e_1612857425.jpg, , , , , , , , , , , 
ভূত ভূতং ভূতৌ,হুমায়ূন আহমেদ,120.00,96.00,https://www.prothoma.com/product/1744/%E0%A6%AD%E0%A7%82%E0%A6%A4-%E0%A6%AD%E0%A7%82%E0%A6%A4%E0%A6%82-%E0%A6%AD%E0%A7%82%E0%A6%A4%E0%A7%8C,https://image.prothoma.com/productThumbs/2021/02/60223e520a2cf_1612856914.jpg, , , , , , , , , , , 
কোথাও কেউ নেই,হুমায়ূন আহমেদ,300.00,240.00,https://www.prothoma.com/product/1734/%E0%A6%95%E0%A7%8B%E0%A6%A5%E0%A6%BE%E0%A6%93-%E0%A6%95%E0%A7%87%E0%A6%89-%E0%A6%A8%E0%A7%87%E0%A6%87,https://image.prothoma.com/productThumbs/2021/02/60223e4db8ca4_1612856909.jpg, , , , , , , , , , , 
বাদল দিনের দ্বিতীয় কদম ফুল,হুমায়ূন আহমেদ,160.00,128.00,https://www.prothoma.com/product/1729/%E0%A6%AC%E0%A6%BE%E0%A6%A6%E0%A6%B2-%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC-%E0%A6%95%E0%A6%A6%E0%A6%AE-%E0%A6%AB%E0%A7%81%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/02/60223e4b8c1b1_1612856907.jpg, , , , , , , , , , , 
আমার প্রিয় ভৌতিক গল্প,হুমায়ূন আহমেদ,300.00,240.00,https://www.prothoma.com/product/1727/%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AF%E0%A6%BC-%E0%A6%AD%E0%A7%8C%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/02/60223e4ab54c3_1612856906.jpg, , , , , , , , , , , 
আঙুল কাটা জগলু,হুমায়ূন আহমেদ,160.00,128.00,https://www.prothoma.com/product/1723/%E0%A6%86%E0%A6%99%E0%A7%81%E0%A6%B2-%E0%A6%95%E0%A6%BE%E0%A6%9F%E0%A6%BE-%E0%A6%9C%E0%A6%97%E0%A6%B2%E0%A7%81,https://image.prothoma.com/productThumbs/2021/02/60223e49137f2_1612856905.jpg, , , , , , , , , , , 
আমার ছেলেবেলা - হুমায়ূন আহমেদ,হুমায়ূন আহমেদ,150.00,120.00,https://www.prothoma.com/product/1721/%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%9B%E0%A7%87%E0%A6%B2%E0%A7%87%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%BE---%E0%A6%B9%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%82%E0%A6%A8-%E0%A6%86%E0%A6%B9%E0%A6%AE%E0%A7%87%E0%A6%A6,https://image.prothoma.com/productThumbs/2021/02/60223e482bfd7_1612856904.jpg, , , , , , , , , , , 
মীরার গ্রামের বাড়ী,হুমায়ূন আহমেদ,130.00,104.00,https://www.prothoma.com/product/1722/%E0%A6%AE%E0%A7%80%E0%A6%B0%E0%A6%BE%E0%A6%B0-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A7%80,https://image.prothoma.com/productThumbs/2021/02/60223e488d40e_1612856904.jpg, , , , , , , , , , , 
সকল কাঁটা ধন্য করে,হুমায়ূন আহমেদ,130.00,104.00,https://www.prothoma.com/product/1719/%E0%A6%B8%E0%A6%95%E0%A6%B2-%E0%A6%95%E0%A6%BE%E0%A6%81%E0%A6%9F%E0%A6%BE-%E0%A6%A7%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%95%E0%A6%B0%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/60223e4746b2b_1612856903.jpg, , , , , , , , , , , 
কিশোর সমগ্র - হুমায়ূন আহমেদ,হুমায়ূন আহমেদ,400.00,320.00,https://www.prothoma.com/product/1720/%E0%A6%95%E0%A6%BF%E0%A6%B6%E0%A7%8B%E0%A6%B0-%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0---%E0%A6%B9%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%82%E0%A6%A8-%E0%A6%86%E0%A6%B9%E0%A6%AE%E0%A7%87%E0%A6%A6,https://image.prothoma.com/productThumbs/2021/02/60223e47ac6be_1612856903.jpg, , , , , , , , , , , 
অনন্ত নক্ষত্র বীথি,হুমায়ূন আহমেদ,120.00,96.00,https://www.prothoma.com/product/1707/%E0%A6%85%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A4-%E0%A6%A8%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%AC%E0%A7%80%E0%A6%A5%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/60223e41bc02e_1612856897.jpg, , , , , , , , , , , 
