Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
সকল গৃহ হারালো যার,তসলিমা নাসরিন,475.00,451.25,https://www.prothoma.com/product/9324/%E0%A6%B8%E0%A6%95%E0%A6%B2-%E0%A6%97%E0%A7%83%E0%A6%B9-%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%B2%E0%A7%8B-%E0%A6%AF%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/602253e56ded8_1612862437.jpg, , , , , , , , , , , 
ভাবনাগুলো,তসলিমা নাসরিন,475.00,451.25,https://www.prothoma.com/product/9305/%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A7%8B,https://image.prothoma.com/productThumbs/2021/03/60534bf75c779_1616071671.jpg, , , , , , , , , , , 
এভাবেই এগোয় ও অন্যান্য,জয়ন্ত জোয়ারদার,570.00,541.50,https://www.prothoma.com/product/9175/%E0%A6%8F%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87%E0%A6%87-%E0%A6%8F%E0%A6%97%E0%A7%8B%E0%A6%AF%E0%A6%BC-%E0%A6%93-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%AF,https://image.prothoma.com/productThumbs/2021/02/602253ac13e14_1612862380.jpg, , , , , , , , , , , 
দিখণ্ডিত আত্মজীবনী ৩য় খণ্ড,তসলিমা নাসরিন,475.00,451.25,https://www.prothoma.com/product/8665/%E0%A6%A6%E0%A6%BF%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1%E0%A6%BF%E0%A6%A4-%E0%A6%86%E0%A6%A4%E0%A7%8D%E0%A6%AE%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8%E0%A7%80-%E0%A7%A9%E0%A6%AF%E0%A6%BC-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1,https://image.prothoma.com/productThumbs/2021/03/6052e8a51678f_1616046245.jpg, , , , , , , , , , , 
নির্বাসন - আত্মজীবনী সপ্তম খণ্ড,তসলিমা নাসরিন,342.00,324.90,https://www.prothoma.com/product/8651/%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%A8---%E0%A6%86%E0%A6%A4%E0%A7%8D%E0%A6%AE%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8%E0%A7%80-%E0%A6%B8%E0%A6%AA%E0%A7%8D%E0%A6%A4%E0%A6%AE-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1,https://image.prothoma.com/productThumbs/2021/03/60532811395ce_1616062481.jpg, , , , , , , , , , , 
গর্ভঘাতী গুজরাত,Soma Marik,152.00,144.40,https://www.prothoma.com/product/7510/%E0%A6%97%E0%A6%B0%E0%A7%8D%E0%A6%AD%E0%A6%98%E0%A6%BE%E0%A6%A4%E0%A7%80-%E0%A6%97%E0%A7%81%E0%A6%9C%E0%A6%B0%E0%A6%BE%E0%A6%A4,https://image.prothoma.com/productThumbs/2021/02/60224ed4367e8_1612861140.jpg, , , , , , , , , , , 
নকশালবাড়ি: একটি মূল্যায়ন,সুনীতি কুমার ঘোষ,665.00,631.75,https://www.prothoma.com/product/6285/%E0%A6%A8%E0%A6%95%E0%A6%B6%E0%A6%BE%E0%A6%B2%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BF:-%E0%A6%8F%E0%A6%95%E0%A6%9F%E0%A6%BF-%E0%A6%AE%E0%A7%82%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/60224925a0b85_1612859685.jpg, , , , , , , , , , , 
আন্তর্জাতিক মতাদর্শ গত মহাবিতর্ক ৪ খণ্ড,শিবানী মুখার্জী,57.00,54.15,https://www.prothoma.com/product/3712/%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%AE%E0%A6%A4%E0%A6%BE%E0%A6%A6%E0%A6%B0%E0%A7%8D%E0%A6%B6-%E0%A6%97%E0%A6%A4-%E0%A6%AE%E0%A6%B9%E0%A6%BE%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95-%E0%A7%AA-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1,https://image.prothoma.com/productThumbs/2021/02/602241b8147db_1612857784.jpg, , , , , , , , , , , 
আন্তর্জাতিক মতাদর্শ গত মহাবিতর্ক ২ খণ্ড,শিবানী মুখার্জী,114.00,108.30,https://www.prothoma.com/product/3710/%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%AE%E0%A6%A4%E0%A6%BE%E0%A6%A6%E0%A6%B0%E0%A7%8D%E0%A6%B6-%E0%A6%97%E0%A6%A4-%E0%A6%AE%E0%A6%B9%E0%A6%BE%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95-%E0%A7%A8-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1,https://image.prothoma.com/productThumbs/2021/02/602241b7192c6_1612857783.jpg, , , , , , , , , , , 
আন্তর্জাতিক মতাদর্শ গত মহাবিতর্ক ৩ খণ্ড,শিবানী মুখার্জী,66.00,62.70,https://www.prothoma.com/product/3711/%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%AE%E0%A6%A4%E0%A6%BE%E0%A6%A6%E0%A6%B0%E0%A7%8D%E0%A6%B6-%E0%A6%97%E0%A6%A4-%E0%A6%AE%E0%A6%B9%E0%A6%BE%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95-%E0%A7%A9-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1,https://image.prothoma.com/productThumbs/2021/02/602241b793250_1612857783.jpg, , , , , , , , , , , 
