Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
শরৎচন্দ্রের জীবনী ও সাহিত্যবিচার,ডঃ অজিতকুমার ঘোষ,228.00,216.60,https://www.prothoma.com/product/10388/%E0%A6%B6%E0%A6%B0%E0%A7%8E%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8%E0%A7%80-%E0%A6%93-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%BF%E0%A6%9A%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/03/6051ebaacba8a_1615981482.jpg, , , , , , , , , , , 
প্রবন্ধ সংকলন -বুদ্ধদেব বসু,বুদ্ধদেব বসু,760.00,722.00,https://www.prothoma.com/product/10384/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7-%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A6%B2%E0%A6%A8--%E0%A6%AC%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%A6%E0%A7%87%E0%A6%AC-%E0%A6%AC%E0%A6%B8%E0%A7%81,https://image.prothoma.com/productThumbs/2021/03/6051d4b3ee745_1615975603.jpg, , , , , , , , , , , 
খরার প্রতিবেদন,দেবেশ রায়,47.50,45.12,https://www.prothoma.com/product/10361/%E0%A6%96%E0%A6%B0%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%AC%E0%A7%87%E0%A6%A6%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/03/6051b19b66c5e_1615966619.jpg, , , , , , , , , , , 
বৈকুন্ঠের উইল,শরৎচন্দ্র চট্টোপাধ্যায়,76.00,72.20,https://www.prothoma.com/product/10332/%E0%A6%AC%E0%A7%88%E0%A6%95%E0%A7%81%E0%A6%A8%E0%A7%8D%E0%A6%A0%E0%A7%87%E0%A6%B0-%E0%A6%89%E0%A6%87%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/03/6050a5018a08c_1615897857.jpg, , , , , , , , , , , 
শ্রেষ্ঠগল্প - ভগীরথ মিশ্র,ভগীরথ মিশ্র,380.00,361.00,https://www.prothoma.com/product/10319/%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%A0%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA---%E0%A6%AD%E0%A6%97%E0%A7%80%E0%A6%B0%E0%A6%A5-%E0%A6%AE%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/03/60508a97767eb_1615891095.jpg, , , , , , , , , , , 
শ্রেষ্ঠ গল্প,সৈয়দ মুস্তাফা সিরাজ,380.00,361.00,https://www.prothoma.com/product/10318/%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%A0-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/03/6050899d0f343_1615890845.jpg, , , , , , , , , , , 
শরৎচন্দ্র -পুনর্বিচার,অরুণকুমার মুখোপাধ্যায়,285.00,270.75,https://www.prothoma.com/product/10317/%E0%A6%B6%E0%A6%B0%E0%A7%8E%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0--%E0%A6%AA%E0%A7%81%E0%A6%A8%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%9A%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/03/60508867c771d_1615890535.jpg, , , , , , , , , , , 
ভারতের সাধনা-ও-সুফি মতবাদ,সলিল ভট্টাচার্য,475.00,451.25,https://www.prothoma.com/product/10315/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%A7%E0%A6%A8%E0%A6%BE-%E0%A6%93-%E0%A6%B8%E0%A7%81%E0%A6%AB%E0%A6%BF-%E0%A6%AE%E0%A6%A4%E0%A6%AC%E0%A6%BE%E0%A6%A6,https://image.prothoma.com/productThumbs/2021/03/605084112077a_1615889425.jpg, , , , , , , , , , , 
ভারত ইতিহাসে স্মরণীয় নারী,চিন্ময় চৌধুরী,304.00,288.80,https://www.prothoma.com/product/10314/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A7%87-%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A6%B0%E0%A6%A3%E0%A7%80%E0%A6%AF%E0%A6%BC-%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%80,https://image.prothoma.com/productThumbs/2021/03/605082b89657b_1615889080.jpg, , , , , , , , , , , 
প্রকীর্ণ বিষ্ণু দে,সুজিৎ ঘোষ,380.00,361.00,https://www.prothoma.com/product/10312/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%A3-%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A3%E0%A7%81-%E0%A6%A6%E0%A7%87,https://image.prothoma.com/productThumbs/2021/03/60508052aef16_1615888466.jpg, , , , , , , , , , , 
