Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বঙ্গবন্ধু মুক্তিযুদ্ধ বাংলাদেশ,হাসিবুল আলম প্রধান,400.00,320.00,https://www.prothoma.com/product/8858/%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%81-%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6,https://image.prothoma.com/productThumbs/2021/02/6022517f70dd1_1612861823.jpg, , , , , , , , , , , 
বাংলাদেশের চলচ্চিত্রের ইতিকথা,অনুপম হায়াৎ,650.00,520.00,https://www.prothoma.com/product/8822/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%95%E0%A6%A5%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60225176054b1_1612861814.jpg, , , , , , , , , , , 
বিশ্বসেরা গ্রীক ও রোমান ট্র্যাজিক নাটক,বদরে আলম খান,400.00,320.00,https://www.prothoma.com/product/8689/%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%B8%E0%A7%87%E0%A6%B0%E0%A6%BE-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%95-%E0%A6%93-%E0%A6%B0%E0%A7%8B%E0%A6%AE%E0%A6%BE%E0%A6%A8-%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%95-%E0%A6%A8%E0%A6%BE%E0%A6%9F%E0%A6%95,https://image.prothoma.com/productThumbs/2021/02/60225139bbe20_1612861753.jpg, , , , , , , , , , , 
গ্রীক সভ্যতা,সৈয়দ আমীরুল ইসলাম,135.00,108.00,https://www.prothoma.com/product/5826/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%95-%E0%A6%B8%E0%A6%AD%E0%A7%8D%E0%A6%AF%E0%A6%A4%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602247198406d_1612859161.jpg, , , , , , , , , , , 
বেঁচে থাকি বাংলা ভাষায়,আয়েশা বেগম,170.00,136.00,https://www.prothoma.com/product/5737/%E0%A6%AC%E0%A7%87%E0%A6%81%E0%A6%9A%E0%A7%87-%E0%A6%A5%E0%A6%BE%E0%A6%95%E0%A6%BF-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE%E0%A6%AF%E0%A6%BC,https://image.prothoma.com/productThumbs/2021/02/602246cc4329d_1612859084.jpg, , , , , , , , , , , 
আইনের ভাব ও অভাব,ড. এস. এম. মাসুম বিল্লাহ,350.00,280.00,https://www.prothoma.com/product/5567/%E0%A6%86%E0%A6%87%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AD%E0%A6%BE%E0%A6%AC-%E0%A6%93-%E0%A6%85%E0%A6%AD%E0%A6%BE%E0%A6%AC-1,https://image.prothoma.com/productThumbs/2021/02/6022468c5328f_1612859020.jpg, , , , , , , , , , , 
১০ রকম ১০০ চলচ্চিত্র,মুম রহমান,400.00,320.00,https://www.prothoma.com/product/5561/%E0%A7%A7%E0%A7%A6-%E0%A6%B0%E0%A6%95%E0%A6%AE-%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/6022468ab6291_1612859018.jpg, , , , , , , , , , , 
আইনের ভাব ও অভাব,ড. এস. এম. মাসুম বিল্লাহ,350.00,280.00,https://www.prothoma.com/product/4396/%E0%A6%86%E0%A6%87%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AD%E0%A6%BE%E0%A6%AC-%E0%A6%93-%E0%A6%85%E0%A6%AD%E0%A6%BE%E0%A6%AC,https://image.prothoma.com/productThumbs/2021/02/6022430dcc509_1612858125.jpg, , , , , , , , , , , 
ফোটোগ্রাফি - মোহাম্মদ হুমায়ূন কবীর,মোহাম্মদ হুমায়ুন কবীর,180.00,144.00,https://www.prothoma.com/product/4374/%E0%A6%AB%E0%A7%8B%E0%A6%9F%E0%A7%8B%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AB%E0%A6%BF---%E0%A6%AE%E0%A7%8B%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%A6-%E0%A6%B9%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%82%E0%A6%A8-%E0%A6%95%E0%A6%AC%E0%A7%80%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/6022430859eef_1612858120.jpg, , , , , , , , , , , 
সমাজ রাষ্ট্র মানবাধিকার,ড. মিজানুর রহমান,275.00,220.00,https://www.prothoma.com/product/3648/%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C-%E0%A6%B0%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC%E0%A6%BE%E0%A6%A7%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/6022419c1346a_1612857756.jpg, , , , , , , , , , , 
