Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মুঠোফোনের কাব্য,নির্মলেন্দু গুণ,80.00,64.00,https://www.prothoma.com/product/10207/%E0%A6%AE%E0%A7%81%E0%A6%A0%E0%A7%8B%E0%A6%AB%E0%A7%8B%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%AF,https://image.prothoma.com/productThumbs/2021/02/6022577263dd8_1612863346.jpg, , , , , , , , , , , 
আড্ডা দেওয়া নিষেধ,নিয়াজ মেহেদী,200.00,160.00,https://www.prothoma.com/product/10163/%E0%A6%86%E0%A6%A1%E0%A7%8D%E0%A6%A1%E0%A6%BE-%E0%A6%A6%E0%A7%87%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE-%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A7%87%E0%A6%A7,https://image.prothoma.com/productThumbs/2021/02/6022574b5c2d5_1612863307.jpg, , , , , , , , , , , 
পরানের অতল গহিনে,সেলিম জাহান,270.00,216.00,https://www.prothoma.com/product/9335/%E0%A6%AA%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%85%E0%A6%A4%E0%A6%B2-%E0%A6%97%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%87,https://image.prothoma.com/productThumbs/2021/03/60532882d12ed_1616062594.jpg, , , , , , , , , , , 
নীল অপরাজিতা,হুমায়ূন আহমেদ,160.00,128.00,https://www.prothoma.com/product/8989/%E0%A6%A8%E0%A7%80%E0%A6%B2-%E0%A6%85%E0%A6%AA%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%A4%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602252e418528_1612862180.jpg, , , , , , , , , , , 
উপন্যাসসমগ্র ১ - মুহাম্মদ জাফর ইকবাল,মুহম্মদ জাফর ইকবাল,400.00,320.00,https://www.prothoma.com/product/8626/%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A7%A7---%E0%A6%AE%E0%A7%81%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%A6-%E0%A6%9C%E0%A6%BE%E0%A6%AB%E0%A6%B0-%E0%A6%87%E0%A6%95%E0%A6%AC%E0%A6%BE%E0%A6%B2,https://image.prothoma.com/productThumbs/2021/02/6022511b05340_1612861723.jpg, , , , , , , , , , , 
রোকেয়া : কালে ও কালোত্তরে,মোরশেদ শফিউল হাসান,80.00,64.00,https://www.prothoma.com/product/8128/%E0%A6%B0%E0%A7%8B%E0%A6%95%E0%A7%87%E0%A6%AF%E0%A6%BC%E0%A6%BE-:-%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%87-%E0%A6%93-%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%8B%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/6022500b0d2a4_1612861451.jpg, , , , , , , , , , , 
নারীর ক্ষমতায়ন : রাজনীতি ও আন্দোলন,সেলিনা হোসেন,350.00,280.00,https://www.prothoma.com/product/8124/%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%80%E0%A6%B0-%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%AE%E0%A6%A4%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A8-:-%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022500a124a9_1612861450.jpg, , , , , , , , , , , 
আবু ইব্রাহীমের মৃত্যু,শহীদুল জহির,100.00,80.00,https://www.prothoma.com/product/7601/%E0%A6%86%E0%A6%AC%E0%A7%81-%E0%A6%87%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%B9%E0%A7%80%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81,https://image.prothoma.com/productThumbs/2021/02/60224eeb8e17a_1612861163.jpg, , , , , , , , , , , 
ডলু নদীর হাওয়া ও অন্যান্য গল্প,শহীদুল জহির,200.00,160.00,https://www.prothoma.com/product/7586/%E0%A6%A1%E0%A6%B2%E0%A7%81-%E0%A6%A8%E0%A6%A6%E0%A7%80%E0%A6%B0-%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE-%E0%A6%93-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/02/60224ee7f3aa3_1612861159.jpg, , , , , , , , , , , 
গল্পসমগ্র ১ - শাহীন আখতার,শাহীন আখতার,350.00,280.00,https://www.prothoma.com/product/7584/%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A7%A7---%E0%A6%B6%E0%A6%BE%E0%A6%B9%E0%A7%80%E0%A6%A8-%E0%A6%86%E0%A6%96%E0%A6%A4%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/60224ee77df0b_1612861159.jpg, , , , , , , , , , , 
