title,author,original_price,discounted_price,url,image,summary,title_in_specification,author_in_specification,translator_in_specification,editor_in_specification,publisher_in_specification,isbn_in_specification,edition_in_specification,number_of_pages_in_specification,country_in_specification,language_in_specification
শিকড়,ড. মুহাম্মদ ইব্রাহিম,500.00,400.00,https://www.prothoma.com/product/11776/%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A6%A1%E0%A6%BC,https://image.prothoma.com/placeholderImages/book-placeholder.jpg, , , , , , , , , , , 
মানুষ মানুষের জন্য এবং অন্যান্য,মুহম্মদ জাফর ইকবাল,275.00,220.00,https://www.prothoma.com/product/11327/%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%B7-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%B7%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%8F%E0%A6%AC%E0%A6%82-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%AF,https://image.prothoma.com/productThumbs/2021/04/607bce8f2aff2_1618726543.jpg, , , , , , , , , , , 
বুখারী শরীফ ১ম-১০ খণ্ড,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র),"3,780.00","3,515.40",https://www.prothoma.com/product/11255/%E0%A6%AC%E0%A7%81%E0%A6%96%E0%A6%BE%E0%A6%B0%E0%A7%80-%E0%A6%B6%E0%A6%B0%E0%A7%80%E0%A6%AB-%E0%A7%A7%E0%A6%AE--%E0%A7%A7%E0%A7%A6-%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1,https://image.prothoma.com/productThumbs/2021/04/6082f3c026754_1619194816.jpeg, , , , , , , , , , , 
উঠোন পেরিয়ে দুই পা,হুমায়ূন আহমেদ,400.00,320.00,https://www.prothoma.com/product/10221/%E0%A6%89%E0%A6%A0%E0%A7%8B%E0%A6%A8-%E0%A6%AA%E0%A7%87%E0%A6%B0%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87-%E0%A6%A6%E0%A7%81%E0%A6%87-%E0%A6%AA%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60225779b24f2_1612863353.jpg, , , , , , , , , , , 
নিষিদ্ধ লোবান,সৈয়দ শামসুল হক,150.00,120.00,https://www.prothoma.com/product/9979/%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%A7-%E0%A6%B2%E0%A7%8B%E0%A6%AC%E0%A6%BE%E0%A6%A8-1,https://image.prothoma.com/productThumbs/2021/02/602255bf02328_1612862911.jpg, , , , , , , , , , , 
বঙ্গবন্ধুর জীবন,মুনতাসীর মামুন,400.00,320.00,https://www.prothoma.com/product/9980/%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%81%E0%A6%B0-%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/602255bf75386_1612862911.jpg, , , , , , , , , , , 
কবিতায় বঙ্গবন্ধু,হাসানআল আব্দুল্লাহ,200.00,160.00,https://www.prothoma.com/product/9978/%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%81-1,https://image.prothoma.com/productThumbs/2021/02/602255be823a1_1612862910.jpg, , , , , , , , , , , 
হোয়াইট হাউজ কেলেঙ্কারি,সৌমেন সাহা,200.00,160.00,https://www.prothoma.com/product/9510/%E0%A6%B9%E0%A7%8B%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%87%E0%A6%9F-%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%9C-%E0%A6%95%E0%A7%87%E0%A6%B2%E0%A7%87%E0%A6%99%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/6022542e0d86f_1612862510.jpg, , , , , , , , , , , 
উদাস হাওয়া,ইবরাহীম ওবায়েদ,175.00,140.00,https://www.prothoma.com/product/9506/%E0%A6%89%E0%A6%A6%E0%A6%BE%E0%A6%B8-%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022542d04f3a_1612862509.jpg, , , , , , , , , , , 
ভূতের জন্মদিন,শাহআলম সাজু,150.00,120.00,https://www.prothoma.com/product/9508/%E0%A6%AD%E0%A7%82%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AE%E0%A6%A6%E0%A6%BF%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/6022542d879f5_1612862509.jpg, , , , , , , , , , , 
