title,author,original_price,discounted_price,url,image,summary,title_in_specification,author_in_specification,translator_in_specification,editor_in_specification,publisher_in_specification,isbn_in_specification,edition_in_specification,number_of_pages_in_specification,country_in_specification,language_in_specification
এক পৃথিবী বইয়ের বাড়ি,পিয়াস মজিদ,225.00,213.75,https://www.prothoma.com/product/10191/%E0%A6%8F%E0%A6%95-%E0%A6%AA%E0%A7%83%E0%A6%A5%E0%A6%BF%E0%A6%AC%E0%A7%80-%E0%A6%AC%E0%A6%87%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/6022575b26cb6_1612863323.jpg, , , , , , , , , , , 
সোশ্যাল ইভলিউশন - গর্ডন চাইল্ড,অসিত চৌধুরী,475.00,451.25,https://www.prothoma.com/product/8152/%E0%A6%B8%E0%A7%8B%E0%A6%B6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2-%E0%A6%87%E0%A6%AD%E0%A6%B2%E0%A6%BF%E0%A6%89%E0%A6%B6%E0%A6%A8---%E0%A6%97%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A6%A8-%E0%A6%9A%E0%A6%BE%E0%A6%87%E0%A6%B2%E0%A7%8D%E0%A6%A1,https://image.prothoma.com/productThumbs/2021/02/60225010ea4b6_1612861456.jpg, , , , , , , , , , , 
স্বপ্ন বিশ্লেষণ ২,সিগমুন্ড ফ্রয়েড,418.00,397.10,https://www.prothoma.com/product/8154/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AA%E0%A7%8D%E0%A6%A8-%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%B2%E0%A7%87%E0%A6%B7%E0%A6%A3-%E0%A7%A8,https://image.prothoma.com/productThumbs/2021/02/6022501166eec_1612861457.jpg, , , , , , , , , , , 
ম্যান মেক্‌স হিমসেলফ,গর্ডন চিল্ড,570.00,541.50,https://www.prothoma.com/product/8150/%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8-%E0%A6%AE%E0%A7%87%E0%A6%95%E0%A7%8D%E2%80%8C%E0%A6%B8-%E0%A6%B9%E0%A6%BF%E0%A6%AE%E0%A6%B8%E0%A7%87%E0%A6%B2%E0%A6%AB,https://image.prothoma.com/productThumbs/2021/02/602250105f1eb_1612861456.jpg, , , , , , , , , , , 
বাইসাইকেল থিভস্‌,লুইজি বার্ত্তোলিনি,114.00,108.30,https://www.prothoma.com/product/8146/%E0%A6%AC%E0%A6%BE%E0%A6%87%E0%A6%B8%E0%A6%BE%E0%A6%87%E0%A6%95%E0%A7%87%E0%A6%B2-%E0%A6%A5%E0%A6%BF%E0%A6%AD%E0%A6%B8%E0%A7%8D%E2%80%8C,https://image.prothoma.com/productThumbs/2021/02/6022500f5bd7d_1612861455.jpg, , , , , , , , , , , 
স্বপ্ন যুদ্ধ স্বাধীনতা,Howard Fast,228.00,216.60,https://www.prothoma.com/product/7849/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AA%E0%A7%8D%E0%A6%A8-%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A7%E0%A7%80%E0%A6%A8%E0%A6%A4%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/60224f6e4c336_1612861294.jpg, , , , , , , , , , , 
হিন্দু সভ্যতার নৃতাত্ত্বিক ভাষ্য,অতুল সুর,76.00,72.20,https://www.prothoma.com/product/6201/%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81-%E0%A6%B8%E0%A6%AD%E0%A7%8D%E0%A6%AF%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%A8%E0%A7%83%E0%A6%A4%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%95-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%AF-1,https://image.prothoma.com/productThumbs/2021/02/6022490ee8d98_1612859662.jpg, , , , , , , , , , , 
হিন্দু সভ্যতার নৃতাত্ত্বিক ভাষ্য,অতুল সুর,76.00,72.20,https://www.prothoma.com/product/4926/%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81-%E0%A6%B8%E0%A6%AD%E0%A7%8D%E0%A6%AF%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%A8%E0%A7%83%E0%A6%A4%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%95-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%AF,https://image.prothoma.com/productThumbs/2021/02/602243b61c887_1612858294.jpg, , , , , , , , , , , 
হিন্দী সাহিত্যের ইতিহাস,রামবহাল তেওয়ারি,570.00,541.50,https://www.prothoma.com/product/4665/%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%80-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/02/60224355b0a7a_1612858197.jpg, , , , , , , , , , , 
সম্পত্তির বিবর্তন,পাল লাফার্গ,190.00,180.50,https://www.prothoma.com/product/3961/%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/02/60224237011b3_1612857911.jpg, , , , , , , , , , , 
এনসিয়েন্ট সোসাইটি (প্রথম পর্ব),লুইস হেনরি মর্গান,200.00,190.00,https://www.prothoma.com/product/3529/%E0%A6%8F%E0%A6%A8%E0%A6%B8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F-%E0%A6%B8%E0%A7%8B%E0%A6%B8%E0%A6%BE%E0%A6%87%E0%A6%9F%E0%A6%BF-%28%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A5%E0%A6%AE-%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AC%29,https://image.prothoma.com/productThumbs/2021/02/6022412fd6fdf_1612857647.jpg, , , , , , , , , , , 
