Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে লেবানন ভাষা,প্রফেসর মাহীনূর সুলতানা,TK. 180,TK. 67,https://rokomari.com//book/146665/30-dine-shikhun-adhunik-poddhotite-lebanon-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/92b1e6529ed4_146665.jpg,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে লেবানন ভাষা,প্রফেসর মাহীনূর সুলতানা, , ,অরবিট বুক হাউজ, ,"1st Published,2014",156,বাংলাদেশ,বাংলা
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে জাপানী ভাষা,প্রফেসর মাহীনূর সুলতানা,TK. 180,TK. 67,https://rokomari.com//book/82408/30-dine-shikhun-adhunik-poddhotite-japani-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2d5b9f61fcf4_82408.jpg,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে জাপানী ভাষা,প্রফেসর মাহীনূর সুলতানা, , ,অরবিট বুক হাউজ, ,"1st Published,2014",160,বাংলাদেশ,বাংলা
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে হিন্দি ভাষা ,প্রফেসর মাহীনূর সুলতানা,TK. 180,TK. 67,https://rokomari.com//book/82417/30-dine-shikhun-adhunik-poddhotite-hindi-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_82417.gif,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে হিন্দি ভাষা,প্রফেসর মাহীনূর সুলতানা, , ,অরবিট বুক হাউজ, ,"1st Published,2014",160,বাংলাদেশ,বাংলা
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে মালয়েশিয়ান ভাষা ,প্রফেসর মাহীনূর সুলতানা,TK. 150,TK. 60,https://rokomari.com//book/82416/30-dine-shikhun-adhunik-poddhotite-malaysian-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3d6d58dbe434_82416.jpg,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে মালয়েশিয়ান ভাষা,প্রফেসর মাহীনূর সুলতানা, , ,অরবিট বুক হাউজ, ,"1st Published,2014",160,বাংলাদেশ,বাংলা
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে চায়না ভাষা,প্রফেসর মাহীনূর সুলতানা,TK. 250,TK. 80,https://rokomari.com//book/82404/30-dine-shikhun-adhunik-poddhotite-chaina-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_82404.gif,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে চায়না ভাষা,প্রফেসর মাহীনূর সুলতানা, , ,Orbit Book House, ,"1st Published,2014",160,Bangladesh,Bangla & English
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে কোরিয়ান ভাষা  - কোরিয়ান ভাষা,প্রফেসর মাহীনূর সুলতানা,TK. 180,TK. 67,https://rokomari.com//book/82418/30-dine-shikhun-adhunik-poddhotite-korean-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_82418.GIF,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে কোরিয়ান ভাষা  - কোরিয়ান ভাষা,প্রফেসর মাহীনূর সুলতানা, , ,অরবিট বুক হাউজ, ,"1st Published,2014",160,বাংলাদেশ,বাংলা
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে আরবি ভাষা,প্রফেসর মাহীনূর সুলতানা,TK. 180,TK. 67,https://rokomari.com//book/97142/30-dine-shikhun-adhunik-poddhotite-aribic-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/559053da41a4_97142.jpg,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে আরবি ভাষা,প্রফেসর মাহীনূর সুলতানা, , ,অরবিট বুক হাউজ, ,"1st Published,2014",156,বাংলাদেশ,বাংলা
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে রাশিয়ান ভাষা,প্রফেসর মাহীনূর সুলতানা,TK. 180,TK. 67,https://rokomari.com//book/88341/30-dine-shikhun-adhunik-poddhotite-rusia-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140906_88341.gif,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে রাশিয়ান ভাষা,প্রফেসর মাহীনূর সুলতানা, , ,অরবিট বুক হাউজ, ,"1st Published,2014",160,বাংলাদেশ,বাংলা
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে ফার্সী ভাষা,ইমতিয়াজ হোসেন রানা,TK. 180,TK. 67,https://rokomari.com//book/98434/30-dine-shikhun-adhunik-poddhotite-farsi-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ee1eb9403b34_98434.jpg,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে ফার্সী ভাষা,ইমতিয়াজ হোসেন রানা, , ,অরবিট বুক হাউজ, ,"1st Published,2015",160,বাংলাদেশ,বাংলা
৩০ দিনে শিখুন আধুনিক পদ্ধতিতে ইংরেজি ভাষা,অরবিট বুক হাউজ,TK. 180,TK. 67,https://rokomari.com//book/146662/30-dine-shikhun-adhunik-poddhotite-english-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/372e79c16904_146662.jpg,"",৩০ দিনে শিখুন আধুনিক পদ্ধতিতে ইংরেজি ভাষা, , ,অরবিট বুক হাউজ,অরবিট বুক হাউজ, ,"1st Published,2014",157,বাংলাদেশ,বাংলা
