Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কাকাবাবু সমগ্র-১,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 650,TK. 553,https://rokomari.com//book/197827/kakababu-somogro-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a540344f9_197827.jpg,"",কাকাবাবু সমগ্র-১,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,অর্ঘ্য প্রকাশ,9877015000384,"1st Published,2020",486,বাংলাদেশ,বাংলা
কাকাবাবু সমগ্র-২,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 650,TK. 553,https://rokomari.com//book/197831/kakababu-somogro-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/96575a253_197831.jpg,"",কাকাবাবু সমগ্র-২,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,অর্ঘ্য প্রকাশ,9877015000391,"1st Published,2020",511,বাংলাদেশ,বাংলা
কাকাবাবু সমগ্র-৩,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 520,TK. 442,https://rokomari.com//book/197832/kakababu-somogro-3,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/26ec432d8_197832.jpg,"",কাকাবাবু সমগ্র-৩,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,অর্ঘ্য প্রকাশ,9877015000407,"1st Published,2020",416,বাংলাদেশ,বাংলা
কাকাবাবু সমগ্র-৬,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 560,TK. 476,https://rokomari.com//book/197839/kakababu-somogro-6,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/899fe88e3_197839.jpg,"",কাকাবাবু সমগ্র-৬,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,অর্ঘ্য প্রকাশ,9877015000438,"1st Published,2020",432,বাংলাদেশ,বাংলা
কাকাবাবু সমগ্র-৫,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 560,TK. 476,https://rokomari.com//book/197837/kakababu-somogro-5,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8b49a1a29_197837.jpg,"",কাকাবাবু সমগ্র-৫,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,অর্ঘ্য প্রকাশ,9877015000421,"1st Published,2020",440,বাংলাদেশ,বাংলা
কাকাবাবু সমগ্র-৪,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 560,TK. 476,https://rokomari.com//book/197834/kakababu-somogro-4,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/575085ac3_197834.jpg,"",কাকাবাবু সমগ্র-৪,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,অর্ঘ্য প্রকাশ,9877015000414,"1st Published,2020",440,বাংলাদেশ,বাংলা
আলাল ও দুলাল,কাদের মাহমুদ,TK. 50,TK. 45,https://rokomari.com//book/25249/alal-o-dulal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_25249.gif,"",আলাল ও দুলাল,কাদের মাহমুদ, , ,অর্ঘ্য প্রকাশ,9847015000165,"1st,2011",16,বাংলাদেশ,বাংলা
ক্যামেরা অকপট,কাদের মাহমুদ,TK. 50,TK. 45,https://rokomari.com//book/25253/camera-okpot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_25253.gif,"",ক্যামেরা অকপট,কাদের মাহমুদ, , ,অর্ঘ্য প্রকাশ,9847015000170,"1st,2011",16,বাংলাদেশ,বাংলা
ব্যাঙের নেতা,কাদের মাহমুদ,TK. 50,TK. 45,https://rokomari.com//book/25252/banger-nata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_25252.gif,"",ব্যাঙের নেতা,কাদের মাহমুদ, , ,অর্ঘ্য প্রকাশ,9847015000189,"1st,2011",16,বাংলাদেশ,বাংলা
ডানপিঠে শওকত,আবদুল গাফফার চৌধুরী ,TK. 80,TK. 72,https://rokomari.com//book/25189/danpite-showkat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_25189.gif,"",ডানপিঠে শওকত,আবদুল গাফফার চৌধুরী, , ,অর্ঘ্য প্রকাশ,98479601X,"3rd,2014",63,বাংলাদেশ,বাংলা
ক্ষুদে মানুষের দেশ,ড. আবদুল মতিন,TK. 100,TK. 90,https://rokomari.com//book/25205/khude-manuser-desh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_25205.gif,"",ক্ষুদে মানুষের দেশ,"ড. আবদুল মতিন,জোনাথন সুইফট",ড. আবদুল মতিন, ,অর্ঘ্য প্রকাশ,9847015000040,"1st,2008",78,বাংলাদেশ,বাংলা
