Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Pahari Masters: Court Painters of Northern India,বি.এন. গোস্বামী,"TK. 4,500","",https://rokomari.com//book/174183/pahari-masters--court-painters-of-northern-india,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7e0ef7dee_174183.jpg,"",Pahari Masters: Court Painters of Northern India,"B. N. Goswami,Eberhard Fischer", , ,OUP India,9788189738464,"1st Edition,2010",391,India,English
Introductory Nuclear Physics,ই. গাদিওলি আরবা,"TK. 12,350","",https://rokomari.com//book/174184/introductory-nuclear-physics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eaff5fef7_174184.jpg,"",Introductory Nuclear Physics,"E. Gadioli Erba,P. E. Hodgson,E. Gadioli", , ,OUP India,9780198518976,"1st Edition,1997",738,India,English
Rethinking Public Institutions in India,প্রাতাপ ভানু মেহতা,"TK. 1,791","",https://rokomari.com//book/155632/rethinking-public-institutions-in-india,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9c0a7a5b4_155632.jpg,"",Rethinking Public Institutions in India,"Pratap Bhanu Mehta,Devesh Kapur", ,Milan Vaishnav,OUP India,9780199474370,"1st Edition,2017",548,India,English
Information Technology Law,ইয়ান লয়েড,"TK. 7,713","",https://rokomari.com//book/166424/information-technology-law,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ff96415fd_166424.jpg,"",Information Technology Law,Ian Lloyd, , ,OUP India,9780198787556,"8th Edition,2017",584,India,English
India Revisited: Conversations on Continuity and Change,রামিন জাহানবিগলো,"TK. 5,376","",https://rokomari.com//book/166480/india-revisited--conversations-on-continuity-and-change,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4905a32f8_166480.jpg,"",India Revisited: Conversations on Continuity and Change,Ramin Jahanbegloo, , ,OUP India,9780195689440,"1st Edition,2007", ,India,English
Appraising Sustainable Development: Water Management and Environmental Challenges,সিসিলিয়া টরটাজাদা,"TK. 20,925","",https://rokomari.com//book/166174/appraising-sustainable-development--water-management-and-environmental-challenges,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Appraising Sustainable Development: Water Management and Environmental Challenges,"Cecilia Tortajada,Asit K Biswas", , ,OUP India,9780195668919,"1st edition,2005",244,India,English
Zohra,জীনাত ফাতেহাল্লে,TK. 630,"",https://rokomari.com//book/155119/zohra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/545739ed0_155119.jpg,"",Zohra,Zeenuth Futehally, ,Rummana Denby,OUP India,9780195667165,"1st Edition,2004",264,India,English
Rethinking Early Medieval India: A Reader,উপিন্দের সিংহ,TK. 738,"",https://rokomari.com//book/117522/rethinking-early-medieval-india--a-reader,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ad9e472cbff4_117522.jpg,"",Rethinking Early Medieval India: A Reader,Upinder Singh, , ,OUP India,9780198086062,"2nd edition,2012",368,India,English
Programming in C,রিমা থারেজা,TK. 954,"",https://rokomari.com//book/123787/programming-in-c,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a50b5140504_123787.jpg,"",Programming in C,Reema Thareja, , ,OUP India,9780199456147,"2nd Edition,2016",468,India,English
"Resisting Regimes: Myth, Memory and the Shaping of a Muslim Identity",শাইল মায়ারাম,TK. 531,"",https://rokomari.com//book/155112/resisting-regimes--myth--memory-and-the-shaping-of-a-muslim-identity,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/65cb328b4_155112.jpg,"","Resisting Regimes: Myth,Memory and the Shaping of a Muslim Identity",Shail Mayaram, , ,OUP India,9780195653014,"1st Edition,2000",298,India,English
"Hinduism in Public and Private: Reform, Hindutva, Gender and Sampraday",অ্যান্টোনি কপলি,"TK. 1,071","",https://rokomari.com//book/155113/hinduism-in-public-and-private--reform--hindutva--gender-and-sampraday,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e1f0b4dcf_155113.jpg,"","Hinduism in Public and Private: Reform,Hindutva,Gender and Sampraday", , ,Antony Copley,OUP India,9780195663938,"1st Edition,2003",303,India,English
Numerical Methods: For Engineering and Science,রাজেশ শ্রীবাস্তব,TK. 765,"",https://rokomari.com//book/124884/numerical-methods--for-engineering-and-science,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a051db194b24_124884.jpg,"",Numerical Methods: For Engineering and Science,"Rajesh Srivastava,Saumyen Guha", , ,OUP India,9780195693485,"1st Edition,2010",608,India,English
