Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বীবশ্রেষ্ঠ মতিউর রহমান,বাদল চৌধুরী,TK. 50,TK. 45,https://rokomari.com//book/176861/birshrestho-matiur-rahman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d30404206_176861.jpg,"",বীবশ্রেষ্ঠ মতিউর রহমান,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570152,"1st Published,2018",10,বাংলাদেশ,বাংলা
মৎস্যকন্যার মুক্তার গহনা,রোমেন রায়হান,TK. 100,TK. 90,https://rokomari.com//book/176854/motshokonnar-muktar-gohona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/39964acf6_176854.jpg,"",মৎস্যকন্যার মুক্তার গহনা,রোমেন রায়হান, , ,পদক্ষেপ,9789845570053,"1st Published,2018",16,বাংলাদেশ,বাংলা
ভাষা সংগ্রামী রাষ্ট্রনায়ক বঙ্গবন্ধু শেখ মুজিবুর রহমান,বাদল চৌধুরী,TK. 75,TK. 68,https://rokomari.com//book/176871/vasha-songrami-rashtronayok-bangabandhu-sheikh-mujibur-rahman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/93bd91c03_176871.jpg,"",ভাষা সংগ্রামী রাষ্ট্রনায়ক বঙ্গবন্ধু শেখ মুজিবুর রহমান,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570091,"1st Published,2018",16,বাংলাদেশ,বাংলা
গল্পে গল্পে শিশুদের নৈতিক শিক্ষা,ড. চঞ্চল সৈকত,TK. 150,TK. 132,https://rokomari.com//book/212433/golpe-golpe-shishuder-noyitik-shikkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/35f4e1cfe_212433.jpg,"",গল্পে গল্পে শিশুদের নৈতিক শিক্ষা,ড. চঞ্চল সৈকত, , ,পদক্ষেপ,9789845570671,"1st Published,2021",48,বাংলাদেশ,বাংলা
চিত্রশিল্পী পাবলো পিকাসো,আসাদ চৌধুরী,TK. 100,TK. 90,https://rokomari.com//book/176143/chitroshilpi-pablo-picasso--tumader-priyo-series-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1f516c7b3_176143.jpg,"",চিত্রশিল্পী পাবলো পিকাসো,আসাদ চৌধুরী, , ,পদক্ষেপ,9789845570039,"1st Published,2018",10,বাংলাদেশ,বাংলা
চিত্রশিল্পী অবনীন্দ্রনাথ ঠাকুর,আসাদ চৌধুরী,TK. 100,TK. 90,https://rokomari.com//book/190854/chitroshilpi-abanindranath-tagore,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8161c1f8e_190854.jpg,"",চিত্রশিল্পী অবনীন্দ্রনাথ ঠাকুর,আসাদ চৌধুরী, , ,পদক্ষেপ,9789845570275,"1st Published,2019",16,বাংলাদেশ,বাংলা
চিত্রশিল্পী রাফায়েল সেনজিও দ্য আরবিনো,আসাদ চৌধুরী,TK. 100,TK. 90,https://rokomari.com//book/176144/chitroshilpi-raffaello-sanzio-da-urbino--tumader-priyo-series-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9f3f562b3_176144.jpg,"",চিত্রশিল্পী রাফায়েল সেনজিও দ্য আরবিনো,আসাদ চৌধুরী, , ,পদক্ষেপ,9789845570022,"1st Published,2018",10,বাংলাদেশ,বাংলা
বীরশ্রেষ্ঠ মোহাম্মদ রুহুল আমিন,বাদল চৌধুরী,TK. 35,TK. 32,https://rokomari.com//book/176864/birshrestho-mohammod-ruhul--amin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fe0da68d5_176864.jpg,"",বীরশ্রেষ্ঠ মোহাম্মদ রুহুল আমিন,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570138,"1st Published,2018",8,বাংলাদেশ,বাংলা
বীরশ্রেষ্ঠ মোহাম্মদ মোস্তফা কামাল,বাদল চৌধুরী,TK. 35,TK. 32,https://rokomari.com//book/176859/birshrestho-mohammad-mostofa-kamal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f0a830ef0_176859.jpg,"",বীরশ্রেষ্ঠ মোহাম্মদ মোস্তফা কামাল,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570176,"1st Published,2018",8,বাংলাদেশ,বাংলা
ভাষা সংগ্রামী রাষ্ট্রনায়ক সৈয়দ নজরুল ইসলাম,বাদল চৌধুরী,TK. 35,TK. 32,https://rokomari.com//book/176867/vasha-songrami-rashtronayok-syed-nazrul-islam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/68db7a413_176867.jpg,"",ভাষা সংগ্রামী রাষ্ট্রনায়ক সৈয়দ নজরুল ইসলাম,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570107,"1st Published,2018",8,বাংলাদেশ,বাংলা
ভাষা সংগ্রামী রাষ্ট্রনায়ক তাজউদ্দীন আহমদ,বাদল চৌধুরী,TK. 35,TK. 32,https://rokomari.com//book/176865/vasha-songrami-rashtronayok-tajuddin-ahmad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c47ef21bc_176865.jpg,"",ভাষা সংগ্রামী রাষ্ট্রনায়ক তাজউদ্দীন আহমদ,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570121,"1st Published,2018",8,বাংলাদেশ,বাংলা
বীরশ্রেষ্ঠ মুনশী আব্দুর রউফ,বাদল চৌধুরী,TK. 50,TK. 45,https://rokomari.com//book/176858/birshrestho-munshi-abdur-rouf,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d21f1bac7_176858.jpg,"",বীরশ্রেষ্ঠ মুনশী আব্দুর রউফ,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570169,"1st Published,2018",12,বাংলাদেশ,বাংলা
তারা ঝরা ছেলেটি ,আলী ইমাম,TK. 100,TK. 90,https://rokomari.com//book/176145/tara-jhora-cheleti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e31d1dc71_176145.jpg,"",তারা ঝরা ছেলেটি, ,আলী ইমাম, ,পদক্ষেপ,9789845570084,"1st Published,2018",24,বাংলাদেশ,বাংলা
বীরশ্রেষ্ঠ হামিদুর রহমান,বাদল চৌধুরী,TK. 35,TK. 32,https://rokomari.com//book/176856/birshrestho-hamidur-rahman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/208a6a5d3_176856.jpg,"",বীরশ্রেষ্ঠ হামিদুর রহমান,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570190,"1st Published,2018",8,বাংলাদেশ,বাংলা
বীরশ্রেষ্ঠ মহিউদ্দিন জাহাঙ্গীর,বাদল চৌধুরী,TK. 50,TK. 45,https://rokomari.com//book/176855/birshrestho-mohiuddin-jahangir,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9f5efed51_176855.jpg,"",বীরশ্রেষ্ঠ মহিউদ্দিন জাহাঙ্গীর,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570183,"1st Published,2018",12,বাংলাদেশ,বাংলা
ওয়াইমাতা,দীপু মাহমুদ,TK. 240,TK. 204,https://rokomari.com//book/203688/waimata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a7548ce9_203688.jpg,"""ওয়াইমাতা"" বইয়ের ফ্ল্যাপের লেখা:
কেউ একজন বলল, গিটো, তুমি রেগে আছ। তােমার মস্তিষ্কে নিউরনের রিডিং। অস্থির গিটো, তুমি রেগে আছ কেন?। গিটো ভ্যাবাচেকা খেয়ে গেছে। ঘরে কেউ নেই। কে কথা বলছে সে বুঝতে পারছে।
আমার নাম ওয়াইমতা, সেই কেউ একজন আবার বলল, আমি তােমার বন্ধু। বন্ধু হচ্ছে দুজনের ভাবনার তরঙ্গ মিলে যাওয়া। তােমার ভাবনার সাথে আমার ভাবনার তরঙ্গ মিলিয়ে নিয়েছি। গিটো দারুণ অবাক হয়েছে। ভাঙা খেলনার ভেতর ঘাসফড়িংয়ের মতাে। দেখতে একজন দাঁড়িয়ে আছে। তার গায়ের রং সবুজ। বুক আর পিঠ নতুন কলাপাতার মতাে হালকা সবুজ আর শরীরের দুপাশ গাঢ় সবুজ। মাথায় লম্বা দুটো শুড়। চকচকে কালাে গােল দুই চোখ। দুপায়ে ভর দিয়ে মানুষের মতাে দাঁড়িয়ে আছে।",ওয়াইমাতা,দীপু মাহমুদ, , ,পদক্ষেপ,9789845570510,"1st Published,2020",95,বাংলাদেশ,বাংলা
বীরশ্রেষ্ঠ নূর মোহাম্মদ শেখ,বাদল চৌধুরী,TK. 50,TK. 45,https://rokomari.com//book/176862/birshrestho-noor-mohammad-sheikh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/39d59c00e_176862.jpg,"",বীরশ্রেষ্ঠ নূর মোহাম্মদ শেখ,বাদল চৌধুরী, , ,পদক্ষেপ,9789845570145,"1st Published,2018",12,বাংলাদেশ,বাংলা
তুতুলের ইচ্ছে জানালা,ইরানী বিশ্বাস,TK. 75,TK. 68,https://rokomari.com//book/190845/tutuler-ecche-janala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3d6588db6_190845.jpg,"",তুতুলের ইচ্ছে জানালা,ইরানী বিশ্বাস, , ,পদক্ষেপ,9789845570305,"1st Published,2019",8,বাংলাদেশ,বাংলা
চিত্রশিল্পী জয়নুল আবেদীন,আসাদ চৌধুরী,TK. 100,TK. 90,https://rokomari.com//book/190853/chitroshilpi-zainul-abedin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3bce8d723_190853.jpg,"",চিত্রশিল্পী জয়নুল আবেদীন,আসাদ চৌধুরী, , ,পদক্ষেপ,9789845570268,"1st Published,2019",16,বাংলাদেশ,বাংলা
