Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ভূত বাড়ি,ইমদাদুল হক মিলন,TK. 135,TK. 119,https://rokomari.com//book/128638/vut-bari,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3e1bead982f4_128638.jpg,"",ভূত বাড়ি,ইমদাদুল হক মিলন, , ,পাঞ্জেরী পাবলিকেশন্স,9789849206163,"1st Published,2017",24,বাংলাদেশ,বাংলা
বানিয়াশান্তার মেয়ে ,স্বকৃত নোমান,TK. 300,TK. 255,https://rokomari.com//book/194229/baniyashantar-meye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c6902ea37_194229.jpg,"",বানিয়াশান্তার মেয়ে,স্বকৃত নোমান, , ,পাঞ্জেরী পাবলিকেশন্স,9789849435259,"1st Published,2020",160,বাংলাদেশ,বাংলা
চলতি পথে অ্যাডভেঞ্চার,পলাশ মাহবুব,TK. 150,TK. 132,https://rokomari.com//book/194936/colto-pothe-adventure,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/019c5fe89_194936.jpg,"",চলতি পথে অ্যাডভেঞ্চার,পলাশ মাহবুব, , ,পাঞ্জেরী পাবলিকেশন্স,9789846344110,"1st Published,2020",63,বাংলাদেশ,বাংলা
অপারেশন রেবেল স্টর্ম,সোনালী সেন,TK. 150,TK. 132,https://rokomari.com//book/190243/operation-revel-storm,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/01aeb443e_190243.gif,"""অপারেশন রেবেল স্টর্ম"" বইয়ের ফ্ল্যাপের লেখা:
খুনের পর খুন। সিরিয়াল কিলিং। কখনাে দেশি ধর্মযাজক, বিদেশী ধর্ম যাজক, ব্লগার, হিন্দু পুরােহিত, আবার মসজিদের ইমাম। সব খুনের গতিপ্রকৃতি এবং ধরন একই। এসব ঘটনায় মানুষ উদ্বিগ্ন। দিশেহারা আইনশৃঙ্খলা বাহিনী। রাজধানীর অভিজাত এলাকার একটি আন্তর্জাতিক মানের রেস্তোরাঁ হলি বেকারিতে নৃশংস জঙ্গি হামলা হামলা চালালে জাতি কিংকর্তব্যবিমূঢ় হয়ে পড়ে। এই বিপর্যয়ে আইনশৃঙ্খলা বাহিনীর একদল দক্ষ, প্রশিক্ষিত তরুণ কর্মকর্তা জঙ্গিদের বিরুদ্ধে অভিযানে নামে। এক টানটান রুদ্ধশ্বাস অভিযান। শেষে তারা জাতির সামনে উন্মােচিত করে চাঞ্চল্যকর সব তথ্য। অপারেশন রেবেল স্টর্ম এক নিঃসঙ্গ বিদেশিনীর জঙ্গিবাদে জড়িয়ে পড়ার গল্প। পাশাপাশি এই কাহিনীতে সুসংগঠিত উগ্র সাম্প্রদায়িক অপশক্তির বিরুদ্ধে সত্যের পথে চলা অবিচল সাধারণ সংগ্রামী মানুষের জয়গাথা প্রতিফলিত হয়েছে। উপন্যাসটি পড়তে পড়তে পাঠকের মনে মােটা দাগে যে প্রশ্নটি জাগতে পারে তা হলাে এ ঘটনা কি সাম্প্রতিককালে ঘটে যাওয়া হলি আর্টিজানের ঘটনা! জানতে হলে পড়তে হবে অপারেশন রেবেল স্টর্ম।",অপারেশন রেবেল স্টর্ম,সোনালী সেন, , ,পাঞ্জেরী পাবলিকেশন্স,9789846342505,"1st Published,2019",79,বাংলাদেশ,বাংলা
অচিরকাল ,সিদ্ধার্থ হক,TK. 950,TK. 808,https://rokomari.com//book/196395/oichirkal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dbaf7ede1_196395.jpg,"""অচিরকাল"" বইয়ের ফ্ল্যাপ থেকে নেওয়া
অচিরকাল- মানুষের জীবনের দৈনন্দিন, দার্শনিক ও কসমিক ভয়াবহতার ঘটনা প্রবাহের এক নিটোল ক্যানভাস। উপন্যাসের প্রথম অধ্যায় কিংবা অংশের নাম সংশয়। পুরাে উপন্যাসটির নামও তা হতে পারত। শেষ পর্যন্ত পথ পরিষ্কার হয় না। প্রথম দুটি লাইন- ‘ট্রেন চলে যাবার পর ক্ষুদ্র স্টেশনটি আরও ক্ষুদ্র হয়ে পড়ে। স্টেশনটির নিঃসঙ্গতা এখন সম্পূর্ণতা পেয়েছে।’ এক অমােঘ ইশারা - এই দুটি লাইনের মধ্যেই পুরাে উপন্যাসের বীজ লুকিয়ে আছে। উপন্যাসের শেষ দুটি লাইন, ‘আর কতক্ষণ। সে বসে থাকবে জানা নাই। হয়ত একটু পরে এও এখান থেকে উঠে চলে যাবে অন্য কোথাও।' এর মধ্যেও সেই অনিশ্চয়তা। উপন্যাসের চরিত্রগুলােও বড়াে অদ্ভুত। টুকু, যে এই উপন্যাসের প্রােটাগনিস্ট তার নাম কখনও টুকু, কখনও ট, কখনও তার বস। তার নাম বিকৃত করে বলে, ‘টুকু! এটা আবার কোনাে নাম হলাে, ঠিক আছে, আমি তােমাকে আজ অংশটুকু ডাকব।' টুকুর বেতন কখনও বাড়ে, কখনও কমে যায় । স্পৃহা নামের যে মেয়েটিকে সে ভালােবাসে, সে এই তার কাছে আসে, এই সে দুরে সরে যায়। টুকুর পিতা একটা দালানের মধ্যে ঢুকে আর বের হতে পারে না। চিরতরে হারিয়ে যায়। টুকুর সৎ বড়াে ভাই রাস্তার ওপর ছালা বিছিয়ে ধ্যান করে, সে এক দরবেশ। ছােটো সৎ ভাই একটা ক্লাবে জুতা পালিশ করে এবং আড়ালে এক ভাড়াটে খুনি সে। এরকম আরও কত কিছু আছে। পাঠক, এই উপন্যাস আপনাকে পরিচিত কিন্তু পরিচিত নয় এরকম এক জগতে টেনে নিয়ে যাবে।",অচিরকাল,সিদ্ধার্থ হক, , ,পাঞ্জেরী পাবলিকেশন্স,9789849435570,"1st Published,2020",528,বাংলাদেশ,বাংলা
Return Of Akhlak,মঈনুল আহসান সাবের,TK. 210,TK. 179,https://rokomari.com//book/190232/return-of-akhlak,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/85ef219bf_190232.gif,"The name of this piece could be something like The story of an Ordinary Human instead of Return of Akhlak. The main character of this story is Akhlak, an ordinary pupil.. We only see them, may be assume something about them too but we don't know their story. What's the story? That story also is uncolored, indifferent, an illusion and disillusion, satisfactory and unsatisfactory and so on. Apart from this there is nothing new or beyond imagination. After an altercation with Jesmine, his wife,. In this time while his surrounding was becoming beautiful, he thought how to pacify the situation with his wife, right that moment mugger attacked him. Whether he is able to return or not, which is not fixed, it becomes more than a story in terms of profound meaning of life.",Return Of Akhlak,Moinul Ahosan Saber,"Mohammod Nurul Huda,Arifa Rahman", ,Panjeree Publications,9789846342826,"1st Published,2019",112,Bangladesh,English
তেনালি রামের মজার গল্প ,তানভীর আহমেদ সিডনী ,TK. 180,TK. 158,https://rokomari.com//book/14554/tenali-ramer-mojar-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/95190b889_14554.jpg,"",তেনালি রামের মজার গল্প, , ,তানভীর আহমেদ সিডনী,পাঞ্জেরী পাবলিকেশন্স,9847003800739,"4th Edition,2018",132,বাংলাদেশ,বাংলা
Life and Times of the Father of the Nation Bangabandhu Shikh Mujibur Rahman,মোনায়েম সরকার,"TK. 1,500","TK. 1,275",https://rokomari.com//book/194005/life-and-times-of-the-father-of-the-nation-bangabandhu-shikh-mujibur-rahman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5769a4251_194005.jpg,"",Life and Times of the Father of the Nation Bangabandhu Shikh Mujibur Rahman,Monaem Sarker, , ,Panjeree Publications,9789846342994,"1st Published,2020",580,Bangladesh,English
হাতছানি দেয় স্বপ্ন এসে ,কামাল হোসাইন,TK. 130,TK. 114,https://rokomari.com//book/194933/hatchani-dey-swopno-eshe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/36c963938_194933.jpg,"",হাতছানি দেয় স্বপ্ন এসে,কামাল হোসাইন, , ,পাঞ্জেরী পাবলিকেশন্স,9789846344134,"1st Published,2020",48,বাংলাদেশ,বাংলা
মা ও রোবট,ন. সিদ্দিকী,TK. 170,TK. 150,https://rokomari.com//book/190258/ma-o-robot--science-fiction-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eced13f08_190258.gif,"",মা ও রোবট,ন. সিদ্দিকী, , ,পাঞ্জেরী পাবলিকেশন্স,9789846342321,"1st Published,2019",88,বাংলাদেশ,বাংলা
র-এ রহস্য,দীপান্বিতা রায় ,TK. 140,TK. 123,https://rokomari.com//book/190255/ro-er-rohosyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ff4387836_190255.gif,"অদ্ভুত সব মানুষের গল্প বলতে জানেন দীপান্বিতা রায়। আমাদের চারপাশে ঘুরঘুর করতে থাকা, বেঁচে থাকা বিচিত্র সব মানুষজনকে তিনি খুব কাছ থেকে দেখেছেন। আর তার সেই দেখার তীক্ষম পর্যবেক্ষণ, বিশ্লেষণ আর ঘটনার টানটান জমাট উপস্থাপন এই বইয়ের গল্পগুলােকে দিয়েছে আলাদা ব্যঞ্জনা। র-এ রহস্য গল্পগ্রন্থে রাতের চৌকিদার, বামাপদবাবুর ছবি, মরা সাহেবের কোর্ট, নন্দবাবুর ডুপ্লিকেট, মােবাইলের মামদোবাজি, ভুতুড়ে বাড়ি, উনি কে?এই সাতটি দুর্দান্ত গল্পের সমাহার। এসব গল্পে পাঠক নিজেদের খুঁজে পাবেন, পাবেন ভিন্নরকম অভিজ্ঞতা। বইয়ের গল্পগুলাে পড়ামাত্রই পাঠকের চিন্তার রাজ্যে, ভাবনার রাজ্যে তুমুল আলােড়ন তুলবে- এমন ধারণা করা অযৌক্তিক হবে না। দীপান্বিতা রায়ের গল্পের কাহিনি, ভাষা, কাঠামাে  সর্বোপরি উপস্থাপন রীতি আর দশজন লেখকের চেয়ে স্বতন্ত্র। তার লেখার পরতে পরতে থাকা রহস্যের প্রলেপ আর নান্দনিক গতিশীলতা পাঠকের অন্তরে নতুন প্রশ্নের উদ্রেক করে।",র-এ রহস্য,দীপান্বিতা রায়, , ,পাঞ্জেরী পাবলিকেশন্স,9789846341492,"1st Published,2018",65,বাংলাদেশ,বাংলা
নাই নাই ভয় হবে হবে জয় ,আতিউর রহমান,TK. 540,TK. 459,https://rokomari.com//book/194001/nai-nai-voy-hobe-hobe-joy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a40300265_194001.jpg,"",নাই নাই ভয় হবে হবে জয়,আতিউর রহমান, , ,পাঞ্জেরী পাবলিকেশন্স,9789846342970,"1st Published,2020",288,বাংলাদেশ,বাংলা
শহরে দেবশিশু,হক ফারুক আহমেদ,TK. 120,TK. 106,https://rokomari.com//book/194226/shohore-debshishu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8a4d3c3f5_194226.jpg,"",শহরে দেবশিশু,হক ফারুক আহমেদ, , ,পাঞ্জেরী পাবলিকেশন্স,9789849435327,"1st Published,2020",64,বাংলাদেশ,বাংলা
উপন্যাস ত্রয়ী,ইমদাদুল হক মিলন,TK. 600,TK. 510,https://rokomari.com//book/190238/uponyas-throyee,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eeea563c0_190238.gif,"""উপন্যাস ত্রয়ী"" বইয়ের ফ্ল্যাপের লেখা:
ইমদাদুল হক মিলনের তিনটি বিখ্যাত উপন্যাস নিয়ে এই সংকলন। সুতােয় বাঁধা প্রজাপতি উপন্যাসটি মুক্তিযুদ্ধের এক বেদনাবিধূর আখ্যান। পাকিস্তানিরা কীভাবে ধ্বংস করে দিয়েছিল এক। মেয়ের জীবন সেই ঘটনা জেনে পাঠক ভাসবেন চোখের জলে। ‘ভূমিকা’ উপন্যাসটি এক নারীর বারবার বিয়ে করার পেছনের ঘটনা। সে কী শারীরিক চাহিদাকে প্রেম বলে ভুল করেছিল? সেই নারীর যুবক ছেলেটি খুঁজছে এই প্রশ্নের উত্তর। তারপর সেই ছেলের ভূমিকা কী? আর ‘রূপনগর’ নামের গ্রামটি নিজেই বলে যাচ্ছে তার গ্রামের ভেতর ঘটে যাওয়া বিভিন্ন ঘটনা। নেপাল নামের ভাসমান এক কিশােরের অসহায়ত্বের কাহিনি লেখা হয়েছে এই মানবিক উপন্যাসে।",উপন্যাস ত্রয়ী,ইমদাদুল হক মিলন, , ,পাঞ্জেরী পাবলিকেশন্স,9789846342567,"1st Published,2019",368,বাংলাদেশ,বাংলা
বজলু জানে লাশের পরিচয়,হাবিবুল্লাহ ফাহাদ,TK. 250,TK. 213,https://rokomari.com//book/194230/bojlu-jane-lasher-poricoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1a3069ad6_194230.jpg,"",বজলু জানে লাশের পরিচয়,হাবিবুল্লাহ ফাহাদ, , ,পাঞ্জেরী পাবলিকেশন্স,9789849435334,"1st Published,2020",136,বাংলাদেশ,বাংলা
