Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
অন্তরালে,ঊষা রায়,TK. 270,"",https://rokomari.com//book/201653/ontorale,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/513607420_201653.jpg,"",অন্তরালে,ঊষা রায়, , ,পাণ্ডুলিপি (ভারত), ,"1st Published,2013",208,ভারত,বাংলা
প্রাচীন মিশর রূপকথা ও রূপান্তর,তুষার ঘোষ,TK. 450,"",https://rokomari.com//book/145763/prachin-mishor-rupkotha-o-rupantor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/92982c3bb_145763.jpg,"",প্রাচীন মিশর রূপকথা ও রূপান্তর,তুষার ঘোষ, , ,পাণ্ডুলিপি (ভারত),9788192244945,"2nd Edition,2018",512,ভারত,বাংলা
প্রসঙ্গ : হোমিওপ্যাথি,পূর্ণেন্দুশেখর বিশ্বাস,TK. 360,"",https://rokomari.com//book/145749/prosongo---homeopathy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রসঙ্গ : হোমিওপ্যাথি,পূর্ণেন্দুশেখর বিশ্বাস, , ,পাণ্ডুলিপি (ভারত), ,2011, ,ভারত,বাংলা
রবীন্দ্রজীবনে বিচ্ছেদ শোক,পুলক চট্টোপাধ্যায়,TK. 180,"",https://rokomari.com//book/145754/robindrojibone-bicchhed-shok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/460421469_145754.jpg,"",রবীন্দ্রজীবনে বিচ্ছেদ শোক,পুলক চট্টোপাধ্যায়, , ,পাণ্ডুলিপি (ভারত), ,2011, ,ভারত,বাংলা
কাঙ্ক্ষিত মহাজীবন,সুবিমল সরকার,TK. 450,"",https://rokomari.com//book/201652/kangkkhito-mohajibon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3024fc64d_201652.jpg,"",কাঙ্ক্ষিত মহাজীবন,সুবিমল সরকার, , ,পাণ্ডুলিপি (ভারত),9789383895670,"1st Published,2019",240,ভারত,বাংলা
সবুজ বন অবুঝ মন,মহাদেব গুড়িয়া,TK. 180,"",https://rokomari.com//book/145744/sabuj-bon-abuj-mon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সবুজ বন অবুঝ মন,মহাদেব গুড়িয়া, , ,পাণ্ডুলিপি (ভারত), ,2010, ,ভারত,বাংলা
প্রসঙ্গঃ আশাপূর্ণা দেবী ও প্রথম প্রতিশ্রুতি,অরুণকুমার সাঁফুই,TK. 270,"",https://rokomari.com//book/145746/prosongo-ashapurna-debi-o-prothom-protishruti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রসঙ্গঃ আশাপূর্ণা দেবী ও প্রথম প্রতিশ্রুতি,অরুণকুমার সাঁফুই, , ,পাণ্ডুলিপি (ভারত), ,2011, ,ভারত,বাংলা
বিশ্বসেরা একশো এক গল্প,অলোককৃষ্ণ চক্রবর্তী,TK. 360,"",https://rokomari.com//book/145748/bishwosera-eksho-ek-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিশ্বসেরা একশো এক গল্প,অলোককৃষ্ণ চক্রবর্তী, , ,পাণ্ডুলিপি (ভারত), ,2011, ,ভারত,বাংলা
হাসি-রাজ ভানু-জহর,প্রদীপ চট্টোপাধ্যায়,TK. 180,"",https://rokomari.com//book/145751/hasi-raj-bhanu-johor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হাসি-রাজ ভানু-জহর,প্রদীপ চট্টোপাধ্যায়, , ,পাণ্ডুলিপি (ভারত), ,2011, ,ভারত,বাংলা
রবীন্দ্রনাথ জন্মদিনের অনুভবে,প্রফুল্লকুমার পান,TK. 180,"",https://rokomari.com//book/145752/robindronath-jonmodiner-anubhobe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রনাথ জন্মদিনের অনুভবে,প্রফুল্লকুমার পান, , ,পাণ্ডুলিপি (ভারত), ,2011, ,ভারত,বাংলা
প্রসঙ্গ : ম্যাক্সিম গোর্কি: একজন মানুষের জীবন কথা,সুবিমল সরকার,TK. 70,"",https://rokomari.com//book/145756/prosongo---maxim-gorki---ekjon-manusher-jibon-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রসঙ্গ : ম্যাক্সিম গোর্কি: একজন মানুষের জীবন কথা,সুবিমল সরকার, , ,পাণ্ডুলিপি (ভারত), ,2011, ,ভারত,বাংলা
রসিক রবীন্দ্রনাথ,পুলক বন্দোপাধ্যায়,TK. 180,"",https://rokomari.com//book/145757/rosik-robindronath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রসিক রবীন্দ্রনাথ,পুলক বন্দোপাধ্যায়, , ,পাণ্ডুলিপি (ভারত), ,2012, ,ভারত,বাংলা
জননী ভাবনা: আশাপূর্ণা দেবী ও মহাশ্বেতা দেবী,সঙ্গীতা সাহা,TK. 540,"",https://rokomari.com//book/145759/jononi-bhabona---ashapurna-debi-o-mohashweta-debi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জননী ভাবনা: আশাপূর্ণা দেবী ও মহাশ্বেতা দেবী,সঙ্গীতা সাহা, , ,পাণ্ডুলিপি (ভারত), ,2012, ,ভারত,বাংলা
রবীন্দ্রনাথ ও বিবেকানন্দের শিক্ষাদর্শন: প্রসঙ্গ সর্বাধুনিক শিক্ষাতত্ত্ব,অর্ধেন্দু সরকার,TK. 180,"",https://rokomari.com//book/145762/robindronath-o-bibekanander-shikkhadorshon---prosongo-sorbadhunik-shikkhatotwo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রনাথ ও বিবেকানন্দের শিক্ষাদর্শন: প্রসঙ্গ সর্বাধুনিক শিক্ষাতত্ত্ব,অর্ধেন্দু সরকার, , ,পাণ্ডুলিপি (ভারত), ,2012, ,ভারত,বাংলা
জননী ভাবনা: সতীনাথ ভাদুড়ী ও সন্তোষ কুমার ঘোষ,সঙ্গীতা সাহা,TK. 180,"",https://rokomari.com//book/145765/jononi-bhabona---sotijath-bhaduri-o-sonthosh-kumar-ghosh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জননী ভাবনা: সতীনাথ ভাদুড়ী ও সন্তোষ কুমার ঘোষ,সঙ্গীতা সাহা, , ,পাণ্ডুলিপি (ভারত), ,2013, ,ভারত,বাংলা
গায়ত্রীর কবি বিনয়,রতনকুমার বিশ্বাস,TK. 180,"",https://rokomari.com//book/145767/gayotrir-kobi-binoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গায়ত্রীর কবি বিনয়,রতনকুমার বিশ্বাস, , ,পাণ্ডুলিপি (ভারত), ,2013, ,ভারত,বাংলা
