Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
জবাইঘর,হাসান মাহবুব,TK. 320,TK. 272,https://rokomari.com//book/195363/jobaighor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d8ce25455_195363.png,"",জবাইঘর,হাসান মাহবুব, , ,পেন্ডুলাম পাবলিশার্স,9789849448921,"1st Published,2020",198,বাংলাদেশ,বাংলা
এখানে অন্ধকার একটা যোগসূত্র,অদ্বিত অদ্রি অনন্ত,TK. 155,TK. 136,https://rokomari.com//book/199994/ekhane-ondhokar-ekta-jogsutro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c1bb50e23_199994.jpg,"",এখানে অন্ধকার একটা যোগসূত্র,অদ্বিত অদ্রি অনন্ত, , ,পেন্ডুলাম পাবলিশার্স,9789845225589,"1st Published,2020",72,বাংলাদেশ,বাংলা
একদিন একটা কবিতার বই হবে,বখতিয়ার হোসেন,TK. 180,TK. 158,https://rokomari.com//book/195507/ekdin-ekta-kobitar-boi-hobe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/90af3745b_195507.jpg,"",একদিন একটা কবিতার বই হবে,বখতিয়ার হোসেন, , ,পেন্ডুলাম পাবলিশার্স,9789849449072,"1st Published,2020",96,বাংলাদেশ,বাংলা
আমরা হেঁটেছি যারা ,ইমতিয়ার শামীম,TK. 250,TK. 213,https://rokomari.com//book/198505/amra-hetechi-jara,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/32f8685d7_198505.jpg,"",আমরা হেঁটেছি যারা,ইমতিয়ার শামীম, , ,পেন্ডুলাম পাবলিশার্স,9789849449096,"2nd Published,2020",160,বাংলাদেশ,বাংলা
প্রেম অভিন্ন সংজ্ঞা ভিন্ন,শারমিন সুলতানা চৌধুরী,TK. 425,TK. 361,https://rokomari.com//book/195351/prem-ovinno-sanga-vinno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7f8734871_195351.jpg,"",প্রেম অভিন্ন সংজ্ঞা ভিন্ন,শারমিন সুলতানা চৌধুরী, , ,পেন্ডুলাম পাবলিশার্স,9789849449065,"1st Published,2020",344,বাংলাদেশ,বাংলা
ভবিষ্যতের সরকার,নোয়াম চমস্কি,TK. 320,TK. 272,https://rokomari.com//book/198504/vobishyoter-sorkar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f76b1ac15_198504.jpg,"",ভবিষ্যতের সরকার,নোয়াম চমস্কি, , ,পেন্ডুলাম পাবলিশার্স,9789849449072,"1st Published,2020",187,বাংলাদেশ,বাংলা
তালা ভাঙার পালা,জান্নাতুন নাঈম প্রীতি,TK. 180,TK. 158,https://rokomari.com//book/198681/tala-vangar-pala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7e52e36d7_198681.jpg,"",তালা ভাঙার পালা,জান্নাতুন নাঈম প্রীতি, , ,পেন্ডুলাম পাবলিশার্স,9789849448914,"1st Published,2020",94,বাংলাদেশ,বাংলা
দি আউটসাইডার,স্টিফেন কিং,TK. 600,TK. 510,https://rokomari.com//book/206134/the-outsider,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a59037d6_206134.jpg,"""দি আউটসাইডার"" বইয়ের ফ্ল্যাপে লিখা
নৃশংস যৌন-নিপীড়নের পর খুন করা হলাে বাচ্চা ছেলে, ফ্র্যাঙ্ক পিটারসনকে। হত্যার দায়ে মূল সন্দেহভাজনকে গ্রেফতার করতে সময় লাগল না। সবার সামনে, খেলার মাঠ থেকে গ্রেফতার করা হলাে কোচ টেরেন্স মেটল্যান্ডকে। ফ্লিন্ট সিটি পিডির গােয়েন্দা, রালফ অ্যান্ডারসনের মনে বিন্দুমাত্র সন্দেহ নেই। আসল লােকটিকেই গ্রেফতার করেছে সে। এদিকে টেরির দাবী, ঘটনার সময় সে ছিল ভিন্ন একটা শহরে! শুধু দাবীই নয়, প্রমাণ হিসেবে দেখাল স্থানীয় টিভি চ্যানেলে প্রদর্শিত ভিডিয়াে ফুটেজও! একজন মানুষ কি একই সময়ে দুই জায়গায় থাকতে পারে? 
আদালত-ভবনের সিঁড়িতে, গুলি করে মারা হলাে কোচ টেরিকে। বন্ধ হয়ে গেল কেস। দৃশ্যপটে আগমন হলাে ‘ফাইন্ডার্স কিপার্স’ প্রতিষ্ঠানের অনুসন্ধানকারী, হলি গিবনির। আর এসেই সে আবিষ্কার করে বসল কেসের মােড় ঘুরিয়ে দেয়া একাধিক প্রমাণ। 
টেরির হত্যাকান্ডের সঙ্গে কেন মিলে যাচ্ছে শত শত মাইল দূরে সংঘটিত আরেকটি হত্যাকান্ড? কেন গা শিউরে দেয়া এক লােক হুমকি দিচ্ছে টেরির মেয়ে গ্রেস, সহকর্মী জ্যাক আর রালফের স্ত্রী জেনিকে? লােকটি কি আমাদের দুনিয়ার মানুষ? নাকি এসেছে অন্য কোনাে জগৎ থেকে? 
লােকটি অথবা সত্তাটিকে...থামাতেই হবে…",দি আউটসাইডার,স্টিফেন কিং,মোঃ ফুয়াদ আল ফিদাহ, ,পেন্ডুলাম পাবলিশার্স,9789849484976,"1st Published,2020",456,বাংলাদেশ,বাংলা
হোয়াট আ বিউটিফুল ডেড বডি,জুয়েল মোস্তাফিজ,TK. 225,TK. 191,https://rokomari.com//book/197598/what-a-beautiful-dead-body,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/029daf0d5_197598.jpg,"",হোয়াট আ বিউটিফুল ডেড বডি,জুয়েল মোস্তাফিজ, , ,পেন্ডুলাম পাবলিশার্স,9789849448976,"1st Published,2020", ,বাংলাদেশ,বাংলা
বেড়ালতমা,হাসান মাহবুব,TK. 285,TK. 271,https://rokomari.com//book/212423/beraltoma,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1e1267340_212423.jpg,"",বেড়ালতমা,হাসান মাহবুব, , ,পেন্ডুলাম পাবলিশার্স,9789849524748,"1st Published,2021",164,বাংলাদেশ,বাংলা
