Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
My first encyclopedia,প্যারাগণ,TK. 695,"",https://rokomari.com//book/170702/my-first-encyclopedia,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/19648ce5e_170702.jpg,"",My first encyclopedia,Parragon, , ,Parragon Pub,9781472373045,1st Edition 2014,256,India,English
Just For Girls: A Book About Growing Up,সারাহ ডেলমিজ,TK. 711,"",https://rokomari.com//book/170982/just-for-girls--a-book-about-growing-up,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0833e4700_170982.jpg,"",Just For Girls: A Book About Growing Up,Sarah Delmege, , ,Parragon Pub,9781474824255,"1st Edition,2015",96,India,English
Introduction to Computers and Operating Systems,মো. গোলাম কিবরিয়া  ,TK. 200,"",https://rokomari.com//book/71177/introduction-to-computers-and-operating-systems,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Introduction to Computers and Operating Systems,Md. Gulam kibria, , ,Parragon Pub, , , ,Abroad,English
Judy Moody : Girl detective No 9,মেগান এমসিডোন্যাল্ড,"TK. 1,078","",https://rokomari.com//book/85837/judy-moody---girl-detective-no-9,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140810_85837.gif,Judy Moody is in a mood. A sleuthing Nancy Drew kind of mood. So what's a WBMS (world's best mystery solver) to do? Go find a mystery that's what! And she doesn't have to snoop for long: when Mr Chips a crime-dog-in-training goes missing. Was Mr Chips stolen by dirty dognappers? And why are chocolate chip cookies disappearing all over town?,Judy Moody : Girl detective No 9,Megan Mcdonald, , ,Parragon Pub,9781406327434,"1st Edition,2011",144,India,English
Encyclopedia of Family Health ,অনিতা কারউন-এনেই,"TK. 3,930","",https://rokomari.com//book/55746/encyclopedia-of-family-health,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150105_55746.gif,"",Encyclopedia of Family Health,Anita Kerwin-Nye, , ,Parragon Pub,9781405421843,"1st Edition,2003",512,India,English
Great Battles of WW2 (Military Pocket Guides),প্যারাগণ,TK. 630,"",https://rokomari.com//book/153848/great-battles-of-ww2--military-pocket-guides-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/48c4f4b60_153848.jpg,"",Great Battles of WW2 (Military Pocket Guides),Parragon, , ,Parragon Pub,9781445424569,"1st Edition,2014", ,India,English
Disney Frozen - Anna's Book of Secrets : Keep your Dreams and Secrets safetly Hidden Inside!,ডিজনি ফ্রজেন,TK. 711,"",https://rokomari.com//book/152822/disney-frozen---anna-s-book-of-secrets---keep-your-dreams-and-secrets-safetly-hidden-inside-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/aa428a1ae_152822.jpg,"",Disney Frozen - Anna's Book of Secrets : Keep your Dreams and Secrets safetly Hidden Inside!,Disney Frozen, , ,Parragon Pub,9781474803021,"1st Edition,2015",96,India,English
Disney Planes Magical Story ,প্যারাগণ,TK. 575,"",https://rokomari.com//book/99799/disney-planes-magical-story,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150524_99799.gif,"",Disney Planes Magical Story,Parragon, , ,Parragon Pub,9781445496887,"1st Edition,2013",32,Abroad,English
Barbie Book of Secrets ,প্যারাগন বুকস  ,TK. 805,"",https://rokomari.com//book/99881/barbie-book-of-secrets,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150524_99881.gif,"Summary of the Book

With this fabulous book of secrets, girls will have the most amazing time maintaining a journal. You can store whatever you want in a secret stylish place, from all the details of your special dates, pictures of your best friends to your wish list and all their future aspirations. Moreover, kids will be able to customize and decorate the colorful pages of this Barbie-themed record book. This special and unique journal comes with a lock and key so that all your secrets can be safely locked away and returned to whenever you want to.",Barbie Book of Secrets,Paragon Books, , ,Parragon Pub,9781445453682,"New Edition,2015",96,India,English
Herbs for Healthy Living ,প্যারাগণ,"TK. 2,289","",https://rokomari.com//book/99937/herbs-for-healthy-living,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150513_99937.gif,"",Herbs for Healthy Living,Parragon, , ,Parragon Pub,9781405495493,"1st Edition,2007",320,Abroad,English
World History ,প্যারাগণ,TK. 679,"",https://rokomari.com//book/101095/world-history,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150725_101095.gif,"World History

Take a journey through time and find out about the first humans, Ancient Egypt, the Empires of India and the First World War. Crammed full of facts, illustrations and photographs, you will find everything you need to know about world history inside!",World History,Parragon, , ,Parragon Pub,9781472303219,"1st,2013",144,India,English
