Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
সাহিত্য সম্মেলনে রাজা-মহারাজার অভিভাষণ (১৩১৪-৩১)(১৯০৭-২৫),ড. অমরনাথ করণ,TK. 270,"",https://rokomari.com//book/201671/sahittya-sommelone-raja-moharajar-avivashan--1314-31--1907-25-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f04ac54d4_201671.jpg,"",সাহিত্য সম্মেলনে রাজা-মহারাজার অভিভাষণ (১৩১৪-৩১)(১৯০৭-২৫), , ,ড. অমরনাথ করণ,পত্রলেখা (ভারত),9789381858257,"1st Published,2018",108,ভারত,বাংলা
রবীন্দ্রনাথের নিশ্চেতনার গান,ড. অপূর্ব বিশ্বাস,TK. 270,"",https://rokomari.com//book/201667/robindronather-nishcetonar-gan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2687af101_201667.jpg,"",রবীন্দ্রনাথের নিশ্চেতনার গান,ড. অপূর্ব বিশ্বাস, , ,পত্রলেখা (ভারত),9789381858462,"1st Published,2019",128,ভারত,বাংলা
রবীন্দ্রপত্রাভিধান-৪,বিজন ঘোষাল,TK. 810,"",https://rokomari.com//book/201662/robindropotrabhidhan-4,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5c2b91a64_201662.jpg,"",রবীন্দ্রপত্রাভিধান-৪,বিজন ঘোষাল, , ,পত্রলেখা (ভারত),9789381858011,"1st Published,2015",400,ভারত,বাংলা
রবীন্দ্রপত্রাভিধান-৩,বিজন ঘোষাল,TK. 810,"",https://rokomari.com//book/201661/robindropotrabhidhan-3,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3f1efbd27_201661.jpg,"",রবীন্দ্রপত্রাভিধান-৩,বিজন ঘোষাল, , ,পত্রলেখা (ভারত),9789381858721,"1st Published,2014",382,ভারত,বাংলা
রবীন্দ্রপত্রাভিধান-১,বিজন ঘোষাল,TK. 810,"",https://rokomari.com//book/201660/robindropotrabhidhan-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/50fb980af_201660.jpg,"",রবীন্দ্রপত্রাভিধান-১,বিজন ঘোষাল, , ,পত্রলেখা (ভারত),9789381858608,"1st Published,2013",462,ভারত,বাংলা
ফোকাস অন্যদিকে সরে গেলেই ভালো: প্রসঙ্গ রবীন্দ্রনাথ,অভ্র ঘোষ,TK. 396,"",https://rokomari.com//book/146041/focus-anyodike-sore-gelei-valo---prosongo-robindronath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cf76b4358_146041.jpg,"",ফোকাস অন্যদিকে সরে গেলেই ভালো: প্রসঙ্গ রবীন্দ্রনাথ,অভ্র ঘোষ, , ,পত্রলেখা (ভারত),9789381858202,"1st Published,2012",200,ভারত,বাংলা
"সাঁচী (ইতিহাস, স্থাপত্য ও ভাস্কর্য)",প্রসেনজিৎ দাশ গুপ্ত,TK. 540,"",https://rokomari.com//book/201672/sanchi--history--architecture-and-sculpture-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/da1355052_201672.jpg,"","সাঁচী (ইতিহাস,স্থাপত্য ও ভাস্কর্য)",প্রসেনজিৎ দাশ গুপ্ত, , ,পত্রলেখা (ভারত),9789381858301,"1st Published,2018",207,ভারত,বাংলা
সত্যপীরনামা,রমাপ্রসাদ নাগ,TK. 270,"",https://rokomari.com//book/201670/sotyo-pirnama,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/34189de2e_201670.jpg,"",সত্যপীরনামা,রমাপ্রসাদ নাগ, , ,পত্রলেখা (ভারত),9789381858189,"1st Published,2017",136,ভারত,বাংলা
মিথ হয়ে যাওয়া বাংলা উপন্যাস (১৯৯০-২০১০),অরুণ কুমার সাঁফুই,TK. 540,"",https://rokomari.com//book/201669/mith-hoye-zaoya-bangla-uponyas--1990-2010-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/db3d90d3b_201669.jpg,"",মিথ হয়ে যাওয়া বাংলা উপন্যাস (১৯৯০-২০১০), , ,অরুণ কুমার সাঁফুই,পত্রলেখা (ভারত),9789381858592,"1st Published,2018",208,ভারত,বাংলা
অন্তরঙ্গ জীবন ও সাহিত্য,শেখর বসু,TK. 234,"",https://rokomari.com//book/201668/ontorongo-jeebon-o-sahityo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bbb70b502_201668.jpg,"",অন্তরঙ্গ জীবন ও সাহিত্য,শেখর বসু, , ,পত্রলেখা (ভারত), ,"2nd Edition,2014",111,ভারত,বাংলা
রচনা সংগ্রহ,রামানন্দ চট্রোপাধ্যায়,TK. 414,"",https://rokomari.com//book/201666/rochona-songroh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9c8867693_201666.jpg,"",রচনা সংগ্রহ,রামানন্দ চট্রোপাধ্যায়, ,পার্থজিৎ গঙ্গোপাধ্যায়,পত্রলেখা (ভারত),9789381858844,"1st Published,2015",208,ভারত,বাংলা
ব্রিটিশ পুলিশের 'টিকটিকি' ও অগ্নিযুগের বিপ্লবীদের গুপ্তচর,তুহিন শুভ্র ভট্টাচার্য,TK. 540,"",https://rokomari.com//book/189526/british-policer-tiktiki-o-ognijhuger-biplobider-guptochor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b7ae79b2d_189526.jpg,"",ব্রিটিশ পুলিশের 'টিকটিকি' ও অগ্নিযুগের বিপ্লবীদের গুপ্তচর,তুহিন শুভ্র ভট্টাচার্য, , ,পত্রলেখা (ভারত),9789381858387,"1st Published,2019",256,ভারত,বাংলা
স্মৃতিকথায় জোড়াসাঁকো,পার্থজিৎ গঙ্গোপাধ্যায়,TK. 324,"",https://rokomari.com//book/146027/smritikothay-jorasaku,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্মৃতিকথায় জোড়াসাঁকো,পার্থজিৎ গঙ্গোপাধ্যায়, , ,পত্রলেখা (ভারত), ,2011, ,ভারত,বাংলা
রাসবিহারী বসুর জীবনকথা ও  রচনাংগ্রহ,অসিত কুমার দাশ,TK. 416,"",https://rokomari.com//book/146053/rasbihari-bosur-jibonkotha-o-rochonasongroho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রাসবিহারী বসুর জীবনকথা ও  রচনাংগ্রহ, ,অসিত কুমার দাশ, ,পত্রলেখা (ভারত), ,2014, ,ভারত,বাংলা
পৃথিবীর গুহাচিত্র,বিমলেন্দু চক্রবর্তী,TK. 270,"",https://rokomari.com//book/145933/prithibir-guhachitro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/694e11fda_145933.jpg,"",পৃথিবীর গুহাচিত্র,বিমলেন্দু চক্রবর্তী, , ,পত্রলেখা (ভারত),8188203114,"4th Printed,2018",128,ভারত,বাংলা
খেয়াল ও অন্যান্য রচনা,ক্ষিতীন্দ্রনাথ ঠাকুর,TK. 306,"",https://rokomari.com//book/146043/kheyal-o-anyanyo-rochona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",খেয়াল ও অন্যান্য রচনা,ক্ষিতীন্দ্রনাথ ঠাকুর, , ,পত্রলেখা (ভারত), ,2013, ,ভারত,বাংলা
রবীন্দ্রনাথের চিঠি ভূপেন্দ্রনাথ সান্যালকে: প্রসঙ্গ শান্তিনিকেতন ব্রহ্মবিদ্যালয়,রবীন্দ্রনাথ ঠাকুর,TK. 270,"",https://rokomari.com//book/146045/robindronather-chithi-bhupendronath-sanyalke---prosongo-shantiniketon-brohomobidyaloy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c92fdf928_146045.jpg,"",রবীন্দ্রনাথের চিঠি ভূপেন্দ্রনাথ সান্যালকে: প্রসঙ্গ শান্তিনিকেতন ব্রহ্মবিদ্যালয়,রবীন্দ্রনাথ ঠাকুর, ,গৌরচন্দ্র সাহা,পত্রলেখা (ভারত), ,"1st Published,2013",134,ভারত,বাংলা
সাহিত্যের লোকায়ত পাঠ,সুধীর চক্রবর্তী,TK. 270,"",https://rokomari.com//book/146049/sahityer-lokayoto-path,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7b919e498_146049.jpg,"",সাহিত্যের লোকায়ত পাঠ,সুধীর চক্রবর্তী, , ,পত্রলেখা (ভারত), ,"1st Published,2013",164,ভারত,বাংলা
লোকসাহিত্য সংস্কৃতি ভিন্ন বর্ণে ভিন্ন দৃষ্টিতে,শুভাশিস ভট্টাচার্য,TK. 540,"",https://rokomari.com//book/201663/loksahityo-songskriti-vinno-borne-vinno-drishtite,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cc7a4b706_201663.jpg,"",লোকসাহিত্য সংস্কৃতি ভিন্ন বর্ণে ভিন্ন দৃষ্টিতে, , ,"সুব্রত পাল,শুভাশিস ভট্টাচার্য",পত্রলেখা (ভারত),9789381858509,"1st Published,2018",214,ভারত,বাংলা
খাজুরাহো,প্রসেনজিৎ দাশ গুপ্ত,TK. 414,"",https://rokomari.com//book/146060/khajuraho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",খাজুরাহো,প্রসেনজিৎ দাশ গুপ্ত, , ,পত্রলেখা (ভারত),9879381858004,"3rd Printed,2019",32,ভারত,বাংলা
শহর কলকাতায় রবীন্দ্রনাথ,তুহিন শুভ্র ভট্টাচার্য,TK. 360,"",https://rokomari.com//book/168964/shohor-kolkatay-rabindranath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6715d3736_168964.jpg,"",শহর কলকাতায় রবীন্দ্রনাথ,তুহিন শুভ্র ভট্টাচার্য, , ,পত্রলেখা (ভারত),9789381858806,"1st Published,2015",183,ভারত,বাংলা
রবীন্দ্রনাথ : অক্সফোর্ড ডি. লিট প্রসঙ্গ,বিজন ঘোষাল,TK. 720,"",https://rokomari.com//book/201674/rabindranath---oxford--d-lit-prasanga,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রনাথ : অক্সফোর্ড ডি. লিট প্রসঙ্গ,বিজন ঘোষাল, , ,পত্রলেখা (ভারত),9789381858851,"1st Published,2015",360,ভারত,বাংলা
বিচিত্রা : নির্বাচিত প্রবন্ধ,পার্থজিৎ গঙ্গোপাধ্যায়,TK. 563,"",https://rokomari.com//book/85987/bichitra---nirbachito-prabandha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140810_85987.gif,"",বিচিত্রা : নির্বাচিত প্রবন্ধ,পার্থজিৎ গঙ্গোপাধ্যায়, , ,পত্রলেখা (ভারত), , , ,ভারত,বাংলা
রবীন্দ্রপত্রাভিধান-২,বিজন ঘোষাল,TK. 810,"",https://rokomari.com//book/146061/robindropotrabhidhan-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রপত্রাভিধান-২,বিজন ঘোষাল, , ,পত্রলেখা (ভারত), ,2014, ,ভারত,বাংলা
জীবনানন্দের ছোটগল্পঃনিজস্ব পাঠ,বীরেন্দ্রনাথ রক্ষিত,TK. 360,"",https://rokomari.com//book/145937/jibonander-chotogolpo---nijoshwo-path,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জীবনানন্দের ছোটগল্পঃনিজস্ব পাঠ,বীরেন্দ্রনাথ রক্ষিত, , ,পত্রলেখা (ভারত), ,2009, ,ভারত,বাংলা
রবীন্দ্রভাবনায় নারী ও বিবাহ,সাদ কামালী,TK. 234,"",https://rokomari.com//book/146035/robindrobhabonay-nari-o-bibah,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রভাবনায় নারী ও বিবাহ,সাদ কামালী, , ,পত্রলেখা (ভারত), ,2011, ,ভারত,বাংলা
ফিরে দেখাঃছোটগল্প,জ্যোতির্ময় দাস,TK. 540,"",https://rokomari.com//book/146021/fire-dekha---chotogolpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ফিরে দেখাঃছোটগল্প,জ্যোতির্ময় দাস, , ,পত্রলেখা (ভারত), ,2009, ,ভারত,বাংলা
মাটি-পৃথিবীর টানে,সুধীর চক্রবর্তী,TK. 360,"",https://rokomari.com//book/146023/mati-prithibir-tane,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মাটি-পৃথিবীর টানে,সুধীর চক্রবর্তী, , ,পত্রলেখা (ভারত), ,2009, ,ভারত,বাংলা
আজকের বীরপুরুষ,দেবব্রত দত্ত,TK. 72,"",https://rokomari.com//book/146024/ajker-birpurush,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আজকের বীরপুরুষ,দেবব্রত দত্ত, , ,পত্রলেখা (ভারত), ,2010, ,ভারত,বাংলা
চন্দনে বারুদের গন্ধ,অজয় গঙ্গোপাধ্যায়,TK. 90,"",https://rokomari.com//book/146025/chonder-baruder-gondho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চন্দনে বারুদের গন্ধ,অজয় গঙ্গোপাধ্যায়, , ,পত্রলেখা (ভারত), ,2011, ,ভারত,বাংলা
