Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কুরমাইল দি বেস্ট ক্যাম্প,অধ্যাপক আবু সাইয়িদ,TK. 650,TK. 553,https://rokomari.com//book/122942/kuramail-the-best-camp,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/257c02b048a4_122942.jpg,"""কুরমাইল দি বেস্ট ক্যাম্প"" বইয়ের ভূমিকা:

আমাদের মুক্তিযুদ্ধ ছিল জনযুদ্ধ। গ্রাম-শহরের হাজারাে মানুষ এই যুদ্ধে অংশগ্রহণ করে। মুক্তিযুদ্ধের প্রাণশক্তি ছিল লক্ষ গেরিলা যারা বিভিন্নভাবে প্রশিক্ষণ নিয়ে পাকিস্তানী হানাদার বাহিনীর বিরুদ্ধে মুক্তির সংগ্রামে ঝাপিয়ে পড়ে। লক্ষ প্রাণের বিনিময়ে অর্জিত হয় স্বাধীন বাংলাদেশ। মুক্তিযুদ্ধের সেই অসীম সাহসী গণযােদ্ধাদের কীর্তিগাঁথা গৌরবােজ্জ্বল ঘটনাবলি কালের অতলে হারিয়ে যেতে বসেছে। আবার তাদের এগিয়ে আসতে হবে। আজ স্বাধীন বাংলাদেশে জঙ্গীবাদ তাদের রক্তাক্ত থাবা বিস্তার করছে। এই মুহূর্তে মুক্তিযোদ্ধাদের ঐক্যবদ্ধ হয়ে এই অশুভ শক্তির বিরুদ্ধে রুখে দাঁড়াতে হবে। জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের ডাকে আমরা রক্ত দিয়ে বাংলাদেশ স্বাধীন করেছি। তেমনি ঐতিহাসিক প্রয়ােজনে ও জাতীয় স্বার্থে জননেত্রী শেখ হাসিনার আহ্বানে ঐক্যবদ্ধভাবে বাংলাদেশ থেকে স্বাধীনতা বিরােধী জঙ্গীবাদকে রুখে দাঁড়ানাের অপরিহার্য প্রত্যয় ঘােষণা করছি। কুরমাইল ক্যাম্পের সকল মুক্তিযােদ্ধারা ঐক্যবদ্ধ হয়ে মুক্তির মিছিলে অগ্রণী ভূমিকা পালন করবে। জয় বাংলা। জয় বঙ্গবন্ধু।
বহু মুক্তিযোদ্ধার নাম সংগ্রহ করা সম্ভব হয়নি তারজন্য ক্ষমা প্রার্থী।",কুরমাইল দি বেস্ট ক্যাম্প, , ,অধ্যাপক আবু সাইয়িদ,পাতা প্রকাশ,9789849233503,"1st Published,2016",221,বাংলাদেশ,বাংলা
মেঘেদের উড়োচিঠি বাতাসের খামে,মনজুরুল টুটু,TK. 180,TK. 158,https://rokomari.com//book/211142/megheder-urochithi-bataser-khame,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/204c09d52_211142.jpg,"",মেঘেদের উড়োচিঠি বাতাসের খামে,মনজুরুল টুটু, , ,পাতা প্রকাশ,9789849233589,"1st Published,2021", ,বাংলাদেশ,বাংলা
আত্মা রক্তাক্ত হয় প্রতিদিন,মাসুদ রানা,TK. 130,TK. 114,https://rokomari.com//book/186330/atta-roktakto-hoy-protidin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fbaf3b250_186330.jpg,"",আত্মা রক্তাক্ত হয় প্রতিদিন,মাসুদ রানা, , ,পাতা প্রকাশ,9789849233565,"1st Published,2019", ,বাংলাদেশ,বাংলা
সোনাতলার ইতিহাস,ইকবাল কবির লেমন,TK. 200,TK. 176,https://rokomari.com//book/122943/sonatolar-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e23f4d199ec4_122943.jpg,"",সোনাতলার ইতিহাস,ইকবাল কবির লেমন, , ,পাতা প্রকাশ,9789849233527,"1st Published,2019",112,বাংলাদেশ,বাংলা
শালঘরমধুয়ার নীলকুঠি,মাসুদ রানা,TK. 50,TK. 45,https://rokomari.com//book/186333/shalghormodhuyar-nilkuthi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/913f7baf9_186333.jpg,"",শালঘরমধুয়ার নীলকুঠি,মাসুদ রানা, , ,পাতা প্রকাশ,9789849233572,"1st Published,2019", ,বাংলাদেশ,বাংলা
বৃষ্টিতে মেঘের দেয়াল,প্রতত সিদ্দিক,TK. 120,TK. 106,https://rokomari.com//book/186332/brishtite-megher-deyal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3712b1be4_186332.jpg,"",বৃষ্টিতে মেঘের দেয়াল,প্রতত সিদ্দিক, , ,পাতা প্রকাশ,9789849233541,"1st Published,2019", ,বাংলাদেশ,বাংলা
অদ্ভুত ভূত,ইকবাল কবির লেমন,TK. 120,TK. 106,https://rokomari.com//book/186331/advut-vut,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/59527efd8_186331.jpg,"",অদ্ভুত ভূত,ইকবাল কবির লেমন, , ,পাতা প্রকাশ,9789849233510,"1st Published,2019", ,বাংলাদেশ,বাংলা
ভালোবাসার কবিতা,শ ম একরামুল হক,TK. 200,TK. 176,https://rokomari.com//book/186335/valobasar-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/496c97f84_186335.jpg,"",ভালোবাসার কবিতা,শ ম একরামুল হক, , ,পাতা প্রকাশ,9789849233541,"1st Published,2019", ,বাংলাদেশ,বাংলা
সময়কে বলছি,মল্লিকা পারভীন,TK. 130,TK. 114,https://rokomari.com//book/186334/somoyke-bolchi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/54db323e6_186334.jpg,"",সময়কে বলছি,মল্লিকা পারভীন, , ,পাতা প্রকাশ,9789849233565,"1st Published,2019", ,বাংলাদেশ,বাংলা
"আষাঢ়, তুই এবং মৃত্যু",সাজেদুর আবেদীন শান্ত,TK. 65,TK. 59,https://rokomari.com//book/211146/ashar--tui-abong-mrittu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f54889c66_211146.jpg,"","আষাঢ়,তুই এবং মৃত্যু",সাজেদুর আবেদীন শান্ত, , ,পাতা প্রকাশ,9789849233572,"1st Published,2021", ,বাংলাদেশ,বাংলা
