Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
শ্রীকৃষ্ণ অভিধান,শশিভূষণ বিদ্যালঙ্কার,TK. 144,"",https://rokomari.com//book/145862/shreekrishno-abhidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/549c85b9e_145862.jpg,"""শ্রীকৃষ্ণ অভিধান"" বইয়ের পিছনের লেখা:

শশিভূষণ বিদ্যালঙ্কার-প্রণীত “জীবনী কোষ’ (ভারতীয়-পৌরাণিক) থেকে শ্রীকৃষ্ণের সমগ্র জীবন ও জীবনলীলা সম্বন্ধীয় যাবতীয় তথ্য এবং তাঁর সঙ্গে যুক্ত বিভিন্ন চরিত্র, পার্শ্বচরিত্র ও অনুষঙ্গ সকল একত্রিত করে এই “শ্রীকৃষ্ণ অভিধান নতুনভাবে সংকলিত হল। এই প্রসঙ্গে পণ্ডিত শশিভূষণ তার জীবনী কোষ’ গ্রন্থে বেদ, উপনিষদ, রামায়ণ, মহাভারত, পুরাণ ও তন্ত্রাদি থেকে যে সকল চরিত্রের জীবনী সংগ্রহ করেছিলেন তা সবটাই যথাযথভাবে রক্ষা করা হয়েছে। মূল গ্রন্থের লিপিবদ্ধ তথ্যাদি ছাড়া অন্য কোনো আকর গ্রন্থের সাহাৰ্য্য নেওয়া হয়নি। তার সংকলনের মৌলিকত্ব সম্পূর্ণ বজায় রেখে—যেমন একই চরিত্রের ভিন্ন ভিন্ন বর্ণনা বা একই নামের বিভিন্ন পরিচয় যা ছিল ঠিক তেমনটাই এখানে আছে, শুধুমাত্র আধুনিক বানানে পরিমার্জিত হল। আশা করি এতে সাধারণ পাঠক যথেষ্ট উপকৃত হবেন।",শ্রীকৃষ্ণ অভিধান,শশিভূষণ বিদ্যালঙ্কার, ,প্রশান্ত সেন,পাতাবাহার (ভারত), ,"2nd Printed,2015",120,ভারত,বাংলা
কান্তকবি রজনীকান্ত,অশোককুমার রায়,TK. 315,"",https://rokomari.com//book/145803/kantokobi-rojonikanto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কান্তকবি রজনীকান্ত, , ,অশোককুমার রায়,পাতাবাহার (ভারত), ,2015, ,ভারত,বাংলা
জৈমিনি ভারত,রোহিণীনন্দন সরকার,TK. 540,"",https://rokomari.com//book/145793/joimini-varot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জৈমিনি ভারত,রোহিণীনন্দন সরকার, , ,পাতাবাহার (ভারত),9788192101767,"1st Published,2011",297,ভারত,বাংলা
বামাক্ষ্যপা,শাস্ত্রী হরিচরন গঙ্গোপাধ্যায়,TK. 108,"",https://rokomari.com//book/145776/bamakkhyapa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বামাক্ষ্যপা,শাস্ত্রী হরিচরন গঙ্গোপাধ্যায়, , ,পাতাবাহার (ভারত), ,2010, ,ভারত,বাংলা
লোকনাথ ব্রক্ষচারীর উপদেশাবলি ও অন্যান্য সশ্রদ্ধ রচনা,প্রশান্ত সেন,TK. 108,"",https://rokomari.com//book/145778/lokonath-brohmocharir-upodeshaboli-o-onyanyo-soshrodho-rochona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",লোকনাথ ব্রক্ষচারীর উপদেশাবলি ও অন্যান্য সশ্রদ্ধ রচনা, , ,প্রশান্ত সেন,পাতাবাহার (ভারত), ,2010, ,ভারত,বাংলা
তারাপীঠ,প্রশান্ত সেন,TK. 108,"",https://rokomari.com//book/145779/tarapith,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তারাপীঠ, , ,প্রশান্ত সেন,পাতাবাহার (ভারত), ,2010, ,ভারত,বাংলা
সাধক রামপ্রসাদ,প্রশান্ত সেন,TK. 126,"",https://rokomari.com//book/145781/sadhok-ramprosad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সাধক রামপ্রসাদ, , ,প্রশান্ত সেন,পাতাবাহার (ভারত), ,2010, ,ভারত,বাংলা
রামায়নী কথা,দীনেশচন্দ্র সেন,TK. 180,"",https://rokomari.com//book/145782/ramayoni-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রামায়নী কথা,দীনেশচন্দ্র সেন, , ,পাতাবাহার (ভারত), ,2010, ,ভারত,বাংলা
হিন্দুসমাজ ও বৈষ্ণবধর্ম,দীনেশচন্দ্র সেন,TK. 126,"",https://rokomari.com//book/145783/hindusomaj-o-boishnobdhormo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হিন্দুসমাজ ও বৈষ্ণবধর্ম,দীনেশচন্দ্র সেন, , ,পাতাবাহার (ভারত), ,2010, ,ভারত,বাংলা
গীতা মাধুরী,বঙ্কিমচন্দ্র সেন,TK. 450,"",https://rokomari.com//book/145784/geeta-madhuri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গীতা মাধুরী,বঙ্কিমচন্দ্র সেন, , ,পাতাবাহার (ভারত), ,2011, ,ভারত,বাংলা
বেদান্তসূত্রম্: শাঙ্করভাষ্যোপেতাম্ শাঙ্করভাষ্যের সহিত বেদান্তসূত্রের সরল বঙ্গানুবাদ,প্রমথনাথ তর্কভূষণ,TK. 270,"",https://rokomari.com//book/145786/bedantosutrom---shangkorbhashyopetam-shangkorbhashyer-sohit-bedantosutrer-sorol-bonganubad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বেদান্তসূত্রম্: শাঙ্করভাষ্যোপেতাম্ শাঙ্করভাষ্যের সহিত বেদান্তসূত্রের সরল বঙ্গানুবাদ,প্রমথনাথ তর্কভূষণ, , ,পাতাবাহার (ভারত), ,2011, ,ভারত,বাংলা
মহাত্মা তৈলঙ্গস্বামী: জীবনচরিত ও তত্ত্বোপদেশ,উমাচরন মুখোপাধ্যায়,TK. 180,"",https://rokomari.com//book/145787/mohatma-toilongoswami---jibonchorito-o-totwopodesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহাত্মা তৈলঙ্গস্বামী: জীবনচরিত ও তত্ত্বোপদেশ,উমাচরন মুখোপাধ্যায়, , ,পাতাবাহার (ভারত), ,2011, ,ভারত,বাংলা
শ্রীমৎ রামকৃষ্ণ পরমহংসের উক্তি ও সংক্ষিপ্ত জীবনী,গিরিশচন্দ্র সেন,TK. 81,"",https://rokomari.com//book/145789/shreemot-ramkrishno-poromhongser-ukti-o-songkkhipto-jiboni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শ্রীমৎ রামকৃষ্ণ পরমহংসের উক্তি ও সংক্ষিপ্ত জীবনী,গিরিশচন্দ্র সেন, , ,পাতাবাহার (ভারত), ,2011, ,ভারত,বাংলা
এসো ভাই! বসো ভাই!,উপেন্দ্রকিশোর রায়চৌধুরী,TK. 180,"",https://rokomari.com//book/145790/eso-bhai--boso-bhai-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এসো ভাই! বসো ভাই!,উপেন্দ্রকিশোর রায়চৌধুরী, , ,পাতাবাহার (ভারত), ,2012, ,ভারত,বাংলা
পদাবলী-মাধুর্য,দীনেশচন্দ্র সেন,TK. 180,"",https://rokomari.com//book/145792/podaboli-madhurjo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পদাবলী-মাধুর্য,দীনেশচন্দ্র সেন, , ,পাতাবাহার (ভারত), ,2012, ,ভারত,বাংলা
প্রশ্ন-উত্তরে বৈচিত্র্যময় হিন্দুধর্ম,স্বামী সোমেশ্বরানন্দ,TK. 180,"",https://rokomari.com//book/145796/proshno-uttore-boichitromoy-hindudhormo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রশ্ন-উত্তরে বৈচিত্র্যময় হিন্দুধর্ম,স্বামী সোমেশ্বরানন্দ, , ,পাতাবাহার (ভারত), ,2014, ,ভারত,বাংলা
শিল্পজিঞ্জাসায় শিল্পদীপঙ্কর নন্দলাল,বারেন নিওগী,TK. 144,"",https://rokomari.com//book/145798/shilpojiggasay-shilpodipongkor-nandolal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শিল্পজিঞ্জাসায় শিল্পদীপঙ্কর নন্দলাল,বারেন নিওগী, , ,পাতাবাহার (ভারত), ,2014, ,ভারত,বাংলা
পরশুরাম-উবাচ,দীপক গোস্বামী,TK. 180,"",https://rokomari.com//book/145799/porshuram-ubach,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পরশুরাম-উবাচ, , ,দীপক গোস্বামী,পাতাবাহার (ভারত), ,2014, ,ভারত,বাংলা
মায়াবাদ,প্রমথনাথ তর্কভূষণ,TK. 90,"",https://rokomari.com//book/145800/mayabad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মায়াবাদ,প্রমথনাথ তর্কভূষণ, , ,পাতাবাহার (ভারত), ,2014, ,ভারত,বাংলা
আজব দেশে অ্যালিস,লুইস ক্যারল,TK. 180,"",https://rokomari.com//book/145801/ajob-deshe-alice,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আজব দেশে অ্যালিস,লুইস ক্যারল, , ,পাতাবাহার (ভারত), ,2014, ,ভারত,বাংলা
লাল পাখি নীল পাখি,নাদিরা সুলতানা,TK. 90,"",https://rokomari.com//book/145802/lal-pakhi-neel-pakhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",লাল পাখি নীল পাখি,নাদিরা সুলতানা, , ,পাতাবাহার (ভারত), ,2015, ,ভারত,বাংলা
বাঙালির চৈতন্যলাভ,প্রবীর সেন,TK. 135,"",https://rokomari.com//book/145805/banglir-choitonyolabh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাঙালির চৈতন্যলাভ,প্রবীর সেন, , ,পাতাবাহার (ভারত), ,2015, ,ভারত,বাংলা
দশজোড়া অনুগল্প,শাম্ব,TK. 90,"",https://rokomari.com//book/145806/doshjora-anugolpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দশজোড়া অনুগল্প,শাম্ব, , ,পাতাবাহার (ভারত), ,2015, ,ভারত,বাংলা
অপরূপ কথা,সতীকান্ত গুহ,TK. 180,"",https://rokomari.com//book/145807/aprup-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অপরূপ কথা,সতীকান্ত গুহ, , ,পাতাবাহার (ভারত), ,2015, ,ভারত,বাংলা
মহাকাব্যের গল্প,প্রদীপ সেন,TK. 270,"",https://rokomari.com//book/145809/mohakabyer-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহাকাব্যের গল্প, , ,প্রদীপ সেন,পাতাবাহার (ভারত), ,2014, ,ভারত,বাংলা
জাতকের গল্প,প্রদীপ সেন,TK. 270,"",https://rokomari.com//book/145810/jatoker-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জাতকের গল্প, , ,প্রদীপ সেন,পাতাবাহার (ভারত), ,2014, ,ভারত,বাংলা
বাংলার বৈষ্ণবধর্ম: অধরচন্দ্র মুখার্জি বক্তৃতা,প্রমথনাথ তর্কভূষণ,TK. 108,"",https://rokomari.com//book/145852/banglar-boishnobdhormo---adhorchondro-mukhajee-boktita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাংলার বৈষ্ণবধর্ম: অধরচন্দ্র মুখার্জি বক্তৃতা,প্রমথনাথ তর্কভূষণ, , ,পাতাবাহার (ভারত), ,2013, ,ভারত,বাংলা
নাম - মাধুরী,বঙ্কিমচন্দ্র সেন,TK. 270,"",https://rokomari.com//book/145853/name--madhuri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নাম - মাধুরী,বঙ্কিমচন্দ্র সেন, , ,পাতাবাহার (ভারত), ,2013, ,ভারত,বাংলা
জীবনমৃত্যুর সন্ধিস্থলে,বঙ্কিমচন্দ্র সেন,TK. 360,"",https://rokomari.com//book/145856/jibonmritrur-sondhistole,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জীবনমৃত্যুর সন্ধিস্থলে,বঙ্কিমচন্দ্র সেন, , ,পাতাবাহার (ভারত), ,2013, ,ভারত,বাংলা
কালীঘাটের পুরাতত্ত্ব,সূর্যকুমার চট্টোপাধ্যায়,TK. 180,"",https://rokomari.com//book/145859/kalighater-puratotwo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কালীঘাটের পুরাতত্ত্ব,সূর্যকুমার চট্টোপাধ্যায়, , ,পাতাবাহার (ভারত), ,2013, ,ভারত,বাংলা
