Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আবার আসিব ফিরে,মুস্তাফা পান্না,TK. 65,TK. 59,https://rokomari.com//book/62983/abar-asibo-fire,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_62983.GIF,"",আবার আসিব ফিরে,মুস্তাফা পান্না, , ,পাতাবাহার,98470337000478,"1st Edition,2013",16,বাংলাদেশ,বাংলা
শিয়ালের বাচ্চা,মুস্তাফা পান্না,TK. 60,TK. 54,https://rokomari.com//book/62984/shiyaler-bacha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_62984.GIF,"",শিয়ালের বাচ্চা,মুস্তাফা পান্না, , ,পাতাবাহার,984703300478,"1st Edition,2013",16,বাংলাদেশ,বাংলা
বাঘা ও ডাকাত,মুস্তাফা পান্না,TK. 90,TK. 81,https://rokomari.com//book/62986/baga-o-dakat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_62986.GIF,"",বাঘা ও ডাকাত,মুস্তাফা পান্না, , ,পাতাবাহার, , , ,বাংলাদেশ,বাংলা
সবুজ বন সবুজ টিয়া,মুস্তাফা পান্না,TK. 50,TK. 45,https://rokomari.com//book/62987/sobuj-bon-sobuj-tiya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_62987.GIF,"",সবুজ বন সবুজ টিয়া,মুস্তাফা পান্না, , ,পাতাবাহার,98470337000473,"1st Edition,2013",16,বাংলাদেশ,বাংলা
ময়না যাবে মামা বাড়ি,মুস্তাফা পান্না,TK. 100,TK. 90,https://rokomari.com//book/62988/moyna-jabe-mama-bari,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/90360373a444_62988.gif,"",ময়না যাবে মামা বাড়ি, ,মুস্তাফা পান্না, ,পাতাবাহার,9847033700047,"1st Edition,2016",24,বাংলাদেশ,বাংলা
আমার বাংলাদেশ সিরিজ (১০ টি বই),পাতাবাহার ,TK. 500,TK. 425,https://rokomari.com//book/95656/amar-bangladesh-series--10-ti-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমার বাংলাদেশ সিরিজ (১০ টি বই), , ,পাতাবাহার,পাতাবাহার, ,"1st,2015", ,বাংলাদেশ,বাংলা
আমার বই সিরিজ (১০ টি বই),পাতাবাহার ,TK. 500,TK. 425,https://rokomari.com//book/95657/amar-boi-series--10-ti-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমার বই সিরিজ (১০ টি বই), , ,পাতাবাহার,পাতাবাহার, ,"1st,2015", ,বাংলাদেশ,বাংলা
পালে লাগে হাওয়া ,মুস্তাফা পান্না,TK. 135,TK. 119,https://rokomari.com//book/16766/pale-lage-howya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_16766.GIF,"",পালে লাগে হাওয়া,মুস্তাফা পান্না, , ,পাতাবাহার,98470337000475,"1st Edition,2013",48,বাংলাদেশ,বাংলা
পাখির গানে ঘুম ভাঙে,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96881/pakhir-gane-ghum-vange,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96881.gif,"",পাখির গানে ঘুম ভাঙে, , ,পাতাবাহার,পাতাবাহার,98470337000269,"1st,2015",12,বাংলাদেশ,বাংলা
ফল খেতে বেশ মজা,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96883/fol-khete-besh-moja,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96883.gif,"",ফল খেতে বেশ মজা, , ,পাতাবাহার,পাতাবাহার,98470337000320,"1st,2015",12,বাংলাদেশ,বাংলা
বাবার সাথে অনেক মজা করি,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96884/babar-sathe-onek-moja-kori,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96884.gif,"",বাবার সাথে অনেক মজা করি, , ,পাতাবাহার,পাতাবাহার,98470337000313,"1st,2015",12,বাংলাদেশ,বাংলা
আমাদের অনেক খেলনা আছে,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96886/amader-onek-khelona-ache,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96886.gif,"",আমাদের অনেক খেলনা আছে, , ,পাতাবাহার,পাতাবাহার,98470337000306,"1st,2015",12,বাংলাদেশ,বাংলা
পরির দেশে যাই উড়ে ,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96887/porir-deshe-jai-ure,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96887.gif,"",পরির দেশে যাই উড়ে, , ,পাতাবাহার,পাতাবাহার,98470337000269,"1st,2015",12,বাংলাদেশ,বাংলা
আমার জন্মদিনে সবাই এসেছিল ,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96888/amar-jonmodine-sobai-esechil,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96888.gif,"",আমার জন্মদিনে সবাই এসেছিল, , ,পাতাবাহার,পাতাবাহার,98470337000252,"1st,2015",12,বাংলাদেশ,বাংলা
আমরা পারি ... ,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96890/amra-pari-----,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96890.gif,"",আমরা পারি ..., , ,পাতাবাহার,পাতাবাহার,98470337000337,"1st,2015",12,বাংলাদেশ,বাংলা
আমাদের বাগানে কত ফুল ফোটে,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96892/amader-bagane-koto-ful-fote,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96892.gif,"",আমাদের বাগানে কত ফুল ফোটে, , ,পাতাবাহার,পাতাবাহার,98470337000290,"1st,2015",12,বাংলাদেশ,বাংলা
আমি সার্কাসের খেলা দেখেছি,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96894/ami-sarkaser-khela-dekhechi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96894.gif,"",আমি সার্কাসের খেলা দেখেছি, , ,পাতাবাহার,পাতাবাহার,98470337000276,"1st,2015",12,বাংলাদেশ,বাংলা
ছুঁ মন্তর ছুঁ ... লাগ ভেলকি লাগ,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96895/chu-mantor-chu-----lag-velki-lag,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96895.gif,"",ছুঁ মন্তর ছুঁ ... লাগ ভেলকি লাগ, , ,পাতাবাহার,পাতাবাহার,98470337000344,"1st,2015",12,বাংলাদেশ,বাংলা
বৈশাখি মেলা,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96899/boishakhi-mela,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96899.gif,"",বৈশাখি মেলা, , ,পাতাবাহার,পাতাবাহার,98470337000450,"1st,2015",12,বাংলাদেশ,বাংলা
বনে বনে ফুল ফুটেছে,পাতাবাহার ,TK. 50,TK. 45,https://rokomari.com//book/96900/bone-bone-ful-futeche,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_96900.gif,"",বনে বনে ফুল ফুটেছে, , ,পাতাবাহার,পাতাবাহার,98470337000355,"1st,2015",12,বাংলাদেশ,বাংলা
