Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Rusty: The Boy From The Hills,রাসকিন বন্ড ,"TK. 5,304","",https://rokomari.com//book/53141/rusty--the-boy-from-the-hills,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a426754a1_53141.jpg,"""Rusty: The Boy From The Hills"" Short summary of the book: 

For several decades now, Ruskin's novel about Rusty an anglo-indian boy growing up in pre-independence Dehra Dun have entertained young children. All the Rusty's stories will be soon available from Puffin in three volumes. The first volume Rusty: The boy from the hills has th boy tackling his grandfather narcisstic python, escaping from bombardment in wartime Java, and making friends with an unlikely princess in a lonely tower. A riveting read for younger and older alike",Rusty: The Boy From The Hills,Ruskin Bond, , ,PENGUIN INDIA,9780143333432,"1st Edition,2002",211,India,English
Lifes Amazing Secrets: How to Find Balance and Purpose in Your Life,গৌর গোপাল দাস,TK. 450,"",https://rokomari.com//book/167640/lifes-amazing-secrets--how-to-find-balance-and-purpose-in-your-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e2fbe39d9_167640.jpg,"Book Review: Life’s Amazing Secrets
I came to know about Gaur Gopal Das Ji when I came across one of his videos on YouTube. I was really fascinated by his thoughts and her teachings. So, I researched books written by him and bought Life’s Amazing Secrets online from Amazon. I am really glad I did it because the insights, examples and the story are simple to understand and are life-changing if one truly understands the motive behind the same.

So, in this book, Gaur Gopal Das Ji talks about the 4 principles that form the foundation of a happy life. These are Personal life, Relationships, Work life, and Social Contribution. He talks how to keep them balanced to live a life full of values and happiness.

You might like: Book Review: As a Man Thinketh by James Allen

This book is filled with precious insights and a lot of examples of how to live life with purpose and in a balanced manner. Every chapter starts with a beautiful quote by legendary people and ends with a summary of the chapter.

Overall, it’s been a book that I can pick up anytime I feel low or out of balance. It’s written beautifully and presented well. The language is quite easy and it is neither fast-paced nor slow. I read this book in 2 sittings as I was truly gripped by it and it wasn’t easy to put this down. So, I must say that it is quite engaging. I highly suggest you buy a Life’s Amazing Secrets. You won’t be disappointed at all.",Lifes Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das, , ,PENGUIN INDIA,9780143442295,"1st Edition,2018",208,India,English
Animal Farm,জর্জ অরওয়েল,TK. 225,"",https://rokomari.com//book/120274/animal-farm,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ba98faa67_120274.jpg,"'Animal Farm' Summary of the book
Inspired by a long-forgotten ballad, two young pigs decide to exact vengeance on their corrupt human rulers. They lead the other farm animals in an epic battle as they oust the farmer and his family, seizing control over the farm. They declare that there will be no more meaningless labour, and that all animals are created equal. However, their “government” soon begins to fall apart as they begin displaying their mistrust for one another. In their attempts to be different from their human masters, they begin to slowly follow their edicts, and slowly their ideals shift. In Animal Farm, there is only one thing that you must remember. All animals are created equal, but some animals are more equal than others.",Animal Farm,George Orwell, , ,PENGUIN INDIA,9780143416319,"1st Edition,2011",100,India,English
The Diary of A Young Girl,অ্যানা ফ্রাঙ্ক,TK. 630,"",https://rokomari.com//book/123243/the-diary-of-a-young-girl,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/36cd6ed22b54_123243.jpg,"'The Diary of A Young Girl' Summary of the book
On her thirteenth birthday, Anne Frank’s parents give her a diary. She’s excited because she wants someone—or something—in which to confide all of her secret thoughts. Even though she has a rich social life, she feels misunderstood by everyone she knows. Anne starts writing about daily events, her thoughts, school grades, boys, all that.

But, within a month, her entire life changes.

As Jews in German-occupied Holland, the Frank family fears for their lives. When Anne’s sister, Margot, is called to appear before the authorities—which would almost surely mean she was being sent to a concentration camp—Anne and her family go into hiding. They move into a little section of Anne's father's office building that is walled off and hidden behind a swinging bookcase. The little diagram of the office building and ""Secret Annex"" in the Thursday, July 9, 1942 entry gives us the layout.

For two years, the Frank family lives in this Secret Annex. Mr. and Mrs. van Daan and their son Peter (who is a few years older than Anne) are also in hiding with the Franks. Later, Mr. Dussel (an elderly dentist) moves in, and Anne has to share her bedroom with him. Anne’s adolescence is spent hidden from the outside world. She’s cooped up in tiny rooms, tiptoeing around during the day and becoming shell-shocked from the sounds of bombs and gunfire at night. 

Luckily, the Franks have tons of reading material and a radio. Anne grows in her knowledge of politics and literature, and she puts tons of energy into studying and writing. At the same time, she grows further and further away from the other members of the Annex.

We see a real change in Anne when she begins hanging out in the attic with Peter van Daan. Around this time she starts having dreams about a boy she was in love with, another Peter: Peter Schiff. She sometimes even gets the two Peters confused in her head.

She comes to see Peter (of the Annex) as much more than she first thought. She finds him sensitive and caring, and they talk about everything, including sex. Eventually their relationship changes. Anne and Peter’s passion turns into a friendship and a source of comfort for them both.

Another big change for Anne happens when the war seems to be ending. She hears that personal accounts such as her diary will be in demand after the war ends. We see a return to her earlier optimism as she begins editing her diary with vigor and excitement.

Unfortunately, this does not last. Even as Anne becomes more and more sensitive to the suffering going on in the world, her own suffering becomes unbearable. She feels completely alone. She thinks everyone hates her. She feels constantly criticized. And there is no escape. At one point, she thinks it might have been better if she and her family had all died instead of hiding in the Annex. As Anne becomes harder on those around her, she also becomes harder on herself, berating herself for being mean to the other members of the Annex. 

There her diary ends. Two short months after Anne’s fifteenth birthday, and two days after he last diary entry, the Secret Annex is raided. We don’t know Anne’s thoughts or feelings at that point or any time after, but we know things got worse.

As you probably already know, Anne and the other members of the Annex were sent to various concentration camps. Anne's father, Otto Frank, was the sole survivor.(shmoop.com)",The Diary of A Young Girl,Anne Frank, , ,PENGUIN INDIA,9780141007212,"1st Edition,2001",432,India,English
"She Broke Up, I Didn't!: I Just Kissed Someone Else!",দুর্জয় দত্ত,TK. 315,"",https://rokomari.com//book/52444/she-broke-up--i-didn-t---i-just-kissed-someone-else-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a093097b714_52444.jpg,"""She Broke Up, I Didn't!: I Just Kissed Someone Else!"" Summary of The Book:

She Broke Up, I Didn’t! is a novel that takes a nasty dig at relationships, love and fidelity and what it means today. It tackles some of the very uncomfortable questions and tries to put those into perspective.

It’s the story of Deb and Avantika, , two management students whose pretty as a picture life is is thrown off track, after Deb, drunk as a pig goes ahead and kisses a classmate. To forgive is divine? Especially when it is just a mistake!

What will Avantika do? Will she be able to forgive him?

And what if Deb does it again? What if Avantika goes ahead and does the same?

This is the story of a group of friends who battle the questions of infidelity, loyalty and love as they step out of their colleges.

Is lust different from love? Are girls more tolerant?

What would hurt you more?

Your partner writing a love song for someone else? Or sleeping with someone else?

Is the answer any different for the two sexes?","She Broke Up,I Didn't!: I Just Kissed Someone Else!",Durjoy Datta, , ,PENGUIN INDIA,9780143421597,"1st Edition,2013",236,India,English
Calling Sehmat,হারিন্ডার সিক্কা,TK. 630,"",https://rokomari.com//book/173462/calling-sehmat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a41252c82_173462.jpg,"",Calling Sehmat,Harinder Sikka, , ,PENGUIN INDIA,9780143442301,"1st Edition,2018",256,India,English
Glimpses of World History,জওহরলাল নেহরু,"TK. 1,618","",https://rokomari.com//book/172682/glimpses-of-world-history,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0775fa300_172682.jpg,"",Glimpses of World History,Jawaharlal Nehru, , ,PENGUIN INDIA,9780143031055,"New Edition,2004",1155,India,English
Babur Nama,দিলিপ হিরো,TK. 898,"",https://rokomari.com//book/163855/babur-nama,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6066d88de_163855.jpg,"",Babur Nama, ,Dilip Hiro, ,PENGUIN INDIA,9780144001491,"New edition,2006",385,India,English
12 Rules for Life ,জর্ডন বি পিটারসন,"TK. 1,078","",https://rokomari.com//book/186989/12-rules-for-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0fade9515_186989.jpg,"",12 Rules for Life,Jordan B. Peterson, , ,PENGUIN INDIA,9780141988511,"1st Edition,2019",412,India,English
Animal Stories for 6 Years Olds (12 Stories),ভ্যারিয়াস,TK. 270,"",https://rokomari.com//book/86593/animal-stories-for-6-years-olds--12-stories-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d2ac14c6b_86593.jpg,"""A butterfly that plays with its shadows;
A cow who just can’t resist sweet cakes
An elephant that can fly

This zooful of animal stories is a treat for all you animal lovers and those who share that special bond with your pets. There’s Aman whose visit to the zoo changes his views on animals; Adil who prevents his pet chicken Noor from being eaten at Eid; and Arthy whose tortoise theme birthday party turns out to be a hit!""",Animal Stories for 6 Years Olds (12 Stories),Various, , ,PENGUIN INDIA,9780143332053,"1st Edition,2012",113,India,English
