Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Behave: The Biology of Humans at Our Best and Worst,রবার্ট এম সাপোলসকি,"TK. 1,078","",https://rokomari.com//book/165215/behave--the-biology-of-humans-at-our-best-and-worst,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a97dd3730_165215.jpg,"",Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky , , ,Penguin Press,9780099575061,"1st Edition,2017",790,India,English
Grant,রন  চারনো,"TK. 4,205","",https://rokomari.com//book/165225/grant,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ea459945f_165225.jpg,"",Grant,Ron Chernow, , ,Penguin Press,9781594204876,"1st Edition,2017",1104,India,English
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",মাইকেল পোল্লন,"TK. 2,849","",https://rokomari.com//book/165226/how-to-change-your-mind--what-the-new-science-of-psychedelics-teaches-us-about-consciousness--dying--addiction--depression--and-transcendence,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a7287b7b5_165226.jpg,"","How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness,Dying,Addiction,Depression,and Transcendence",Michael Pollan, , ,Penguin Press,9781594204227,"1st Edition,2018",480,India,English
Directorate S: The C.I.A. and America's Secret Wars in Afghanistan and Pakistan,স্টিভ কোল,"TK. 3,470","",https://rokomari.com//book/165477/directorate-s--the-c-i-a--and-america-s-secret-wars-in-afghanistan-and-pakistan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a18cc2e8_165477.jpg,"",Directorate S: The C.I.A. and America's Secret Wars in Afghanistan and Pakistan,Steve coll, , ,Penguin Press,9781594204586,"1st Edition,2018",784,India,English
"The Square and the Tower: Networks and Power, from the Freemasons to Facebook",নিয়াল ফারগুসন,"TK. 2,000","",https://rokomari.com//book/165500/the-square-and-the-tower--networks-and-power--from-the-freemasons-to-facebook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d56689c88_165500.jpg,"","The Square and the Tower: Networks and Power,from the Freemasons to Facebook",Niall Ferguson, , ,Penguin Press,9780735222915,"1st Edition,2018",592,USA,English
Shakespeare in a Divided America,জেমস শাপিরো,"TK. 3,272","",https://rokomari.com//book/208462/shakespeare-in-a-divided-america,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8cb2d67c2_208462.jpg,"",Shakespeare in a Divided America,James Shapiro, , ,Penguin Press,9780525522294,1 March 2020,320,India,English
Americas Bank: The Epic Struggle to Create the Federal Reserve,রোগার লোয়েনস্টেইন,"TK. 1,512","",https://rokomari.com//book/155985/americas-bank--the-epic-struggle-to-create-the-federal-reserve,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7d627c15b_155985.jpg,"",Americas Bank: The Epic Struggle to Create the Federal Reserve,Roger Lowenstein, , ,Penguin Press,9781594205491,"1st Edition,2015",368,India,English
My Year of Rest and Relaxation,ওথেসা মোসফেগ,TK. 992,"",https://rokomari.com//book/167226/my-year-of-rest-and-relaxation,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b2b9f250a_167226.jpg,"",My Year of Rest and Relaxation,Ottessa Moshfegh, , ,Penguin Press,9780525522119,"1st Edition,2018",304,India,English
Spring,কার্ল অভ কন্যাসগার্ড,"TK. 2,569","",https://rokomari.com//book/166090/spring,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eb89db44e_166090.jpg,"",Spring,Karl Ove Knausgaard, , ,Penguin Press,9780399563362,"1st Edition,2018",192,India,English
"How to Make a Spaceship: A Band of Renegades, an Epic Race, and the Birth of Private Spaceflight",জুলিয়ান গাথ্রে,"TK. 2,682","",https://rokomari.com//book/134700/how-to-make-a-spaceship--a-band-of-renegades--an-epic-race--and-the-birth-of-private-spaceflight,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6a5cadc408f4_134700.jpg,"","How to Make a Spaceship: A Band of Renegades,an Epic Race,and the Birth of Private Spaceflight","Julian Guthrie,Stephen Hawking", , ,Penguin Press,9781594206726,"1st Edition,2016",448,India,English
