Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
DK Knowledge Encyclopedia Human Body!,টিম হ্যারিস,"TK. 2,511","",https://rokomari.com//book/176233/dk-knowledge-encyclopedia-human-body-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f5b2ea0f1_176233.jpg,"",DK Knowledge Encyclopedia Human Body!, , ,"Tim Harris,Andrea Mills",Penguin Random House (Indian),9780241365823,"1st Published,2018",208,India,English
The Ministry of Utmost Happiness: A novel ,অরুন্ধতী রায়,TK. 810,"",https://rokomari.com//book/146937/the-ministry-of-utmost-happiness--a-novel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a0532ad5c64_146937.jpg,"ABOUT THE MINISTRY OF UTMOST HAPPINESS

A dazzling, richly moving new novel by the internationally celebrated author of The God of Small Things
 
The Ministry of Utmost Happiness takes us on an intimate journey of many years across the Indian subcontinent—from the cramped neighborhoods of Old Delhi and the roads of the new city to the mountains and valleys of Kashmir and beyond, where war is peace and peace is war.
It is an aching love story and a decisive remonstration, a story told in a whisper, in a shout, through unsentimental tears and sometimes with a bitter laugh. Each of its characters is indelibly, tenderly rendered. Its heroes are people who have been broken by the world they live in and then rescued, patched together by acts of love—and by hope.
The tale begins with Anjum—who used to be Aftab—unrolling a threadbare Persian carpet in a city graveyard she calls home. We encounter the odd, unforgettable Tilo and the men who loved her—including Musa, sweetheart and ex-sweetheart, lover and ex-lover; their fates are as entwined as their arms used to be and always will be. We meet Tilo’s landlord, a former suitor, now an intelligence officer posted to Kabul. And then we meet the two Miss Jebeens: the first a child born in Srinagar and buried in its overcrowded Martyrs’ Graveyard; the second found at midnight, abandoned on a concrete sidewalk in the heart of New Delhi.
As this ravishing, deeply humane novel braids these lives together, it reinvents what a novel can do and can be. The Ministry of Utmost Happiness demonstrates on every page the miracle of Arundhati Roy’s storytelling gifts.",The Ministry of Utmost Happiness: A novel,Arundhati Roy, , ,Penguin Random House (Indian),9780143442769,"1st Edition,2017",464,India,English
Inner Engineering : A Yogi's Guide to Joy,সাদগুরু,TK. 538,"",https://rokomari.com//book/141154/inner-engineering---a-yogi-s-guide-to-joy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e547fa0e0364_141154.jpg,"'Inner Engineering : A Yogi's Guide to Joy' Summary of the book
The fundamental premise suggested in the book is that ""the way out is in.""[1] The author suggests that our experience of life is determined by us, either consciously or unconsciously. The process of inner engineering is about ""creating a climate within yourself  to consciously choose how we experience life. Once we consciously choose, whether it is ""health, peace, joy, ecstasy,"" an individual becomes the ""source of it.

Various practices are given in the book, to help the reader handle every aspect of life, ""from food, the drinking habit, sex and love in human relationships. The book combines elements of Sadhguru's Inner Engineering class with aspects of his life story, ""including his journey from a young boy to his mystic experience as a young man ""of being one with everything.

The book is divided into two sections. Part One contains five chapters: When I Lost My Sense; The Way Out Is In; Design Your Destiny; No Boundary, No Burden; ...And Now, Yoga. Part Two has four chapters: Body; Mind; Energy; Joy",Inner Engineering : A Yogi's Guide to Joy,Sadhguru, , ,Penguin Random House (Indian),9780143428848," Latest edition,2016",276,India,English
Origin,ড্যান ব্রাউন,"TK. 1,518","",https://rokomari.com//book/129965/origin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8a6dc8dfb_129965.jpg,"'Origin' summary of book
Edmond Kirsch, a billionaire computer scientist and futurist, as well as a strident atheist, attends a meeting in Catalonia with Roman Catholic Bishop Antonio Valdespino, Jewish moragi Yehuda Köves, and Muslim Imam Syed al-Fadl, three members of the Parliament of the World's Religions. He informs them that he has made a revolutionary discovery that he plans to release to the public in a month. He is advising them out of supposed respect, despite his well-known hatred of organized religion which he blames for his mother's death. Horrified, the three learn that he is presenting it in three days' time, prompting Valdespino to send him a voicemail demanding that he stop or risk being discredited.

Nonetheless, Kirsch goes along with his plan, hosting the exclusive event at the Guggenheim Museum in Bilbao. Among those in attendance are Kirsch's former teacher, Robert Langdon, and the Guggenheim's curator Ambra Vidal, who helped organize the event, and is the fiancee of the future King of Spain, Prince Julián. Before the event, the guests receive a headset through which they communicate with a voice named Winston, which reveals to Langdon that it is actually an artificial intelligence invented by Kirsch. Winston leads Langdon to a private meeting with Kirsch, who reveals that his presentation will provide the answers to two of life's most important questions: ""Where did we come from?"" and ""Where are we going?""",Origin,Dan Brown, , ,Penguin Random House (Indian), 9780593078754,"1st Edition,2017",544,India,English
DK Knowledge Encyclopedia,লিজই মুন্সীয়,"TK. 3,958","",https://rokomari.com//book/176234/dk-knowledge-encyclopedia,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/46fc035ce_176234.jpg,"The family encyclopedia that shows you the world as you've never seen it before DK Knowledge Encyclopedia offers a fascinating and ground-breaking visual approach to learning about the wonders of our world. An encyclopedia like no other, the DK Knowledge Encyclopedia uses the latest CGI technology to help you explore everything you've ever wanted to know more about, covering space, Earth, nature, the human body, history and culture, and science and technology in incredible detail. From 3D images of the sun and the inside of a shark to a 3D DNA strand and a model of Shakespeare's globe, this is an amazing visual introduction to every aspect of human knowledge. The DK Knowledge Encyclopedia makes tough subjects not only easy to follow, but utterly absorbing, making this an incredible reference book the whole family will return to time and again.",DK Knowledge Encyclopedia, , ,"Lizzie Munsey,Sam Priddy,Alison Sturgeon",Penguin Random House (Indian),9780143428640,"1st Published,2013",360,India,English
The Difference: When Good Enough isn't Enough,সুবীর চৌধুরী,TK. 358,"",https://rokomari.com//book/164695/the-difference--when-good-enough-isn-t-enough,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/535a34264_164695.jpg,"If you saw a toothpick on the floor, what would you do?

This seemingly innocuous question was posed to Subir Chowdhury by one of his longtime clients, and ultimately lead him to a profound realization: good enough is not enough. The best processes in the world won't work without developing the kind of mindset — a caring mindset — that is needed to achieve real and sustainable change in both organizations and individuals.

In his compelling new book, bestselling author and globally recognized management consultant Subir Chowdhury tackles an issue that has haunted him in his work with many of the world’s largest organizations.  Why is it that some improve only incrementally, while others improve 50 times that? The ideas and training are exactly the same. What is the difference? 
 
The difference, Chowdhury explains, is the ability to nurture the skills, loyalty and passion of the people who make up an organization.  It is a culture built on straightforwardness, thoughtfulness, accountability and resolve.  Organizations and individuals that embrace all of these “STAR” attributes—not just one or two of them—will shine.  He goes further, showing us why having a caring mindset outside of work is integral to both personal and professional success.

A powerful guide to living a successful life and career, The Difference will inspire you to be the difference — at work or home.",The Difference: When Good Enough isn't Enough,Subir Chowdhury, , ,Penguin Random House (Indian),9780143429500,"1st Edition,2017",140,India,English
Elon Musk : How the Billionaire CEO of SpaceX and Tesla is shaping our Future,আশলে ভেন্স,"TK. 1,258","",https://rokomari.com//book/117593/elon-musk---how-the-billionaire-ceo-of-spacex-and-tesla-is-shaping-our-future,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4cde9eb0fce4_117593.gif,"'Elon Musk : How the Billionaire CEO of SpaceX and Tesla is shaping our Future' Inside Of the book
Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future focuses mainly on the creation and growth of the two companies listed in the title. The plot delves the ups and downs of the company’s prospects, while delving into the psyche and interpersonal habits of Elon Musk. Musk’s life is examined in detail, from the history of his forbears through to his youth and to the modern day. Though sometimes abrasive, Musk’s drive and ambition would let nothing stand in the way of his dreams.",Elon Musk : How the Billionaire CEO of SpaceX and Tesla is shaping our Future,Ashlee Vance, , ,Penguin Random House (Indian),9780753555637,"1st Edition,2015",400,India,English
"DK Findout! Animals, Solar System, Science, Earth (4 Books Collection)",সারাহ ক্রউডাস,"TK. 2,844","",https://rokomari.com//book/176300/dk-findout--animals--solar-system--science--earth--4-books-collection-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bac43740a_176300.jpg,"Did you know that one year on Neptune lasts 165 Earth years? Or that Venus is the hottest planet in the solar system? Find out why!

Perfect for young scientists who want a highly visual STEM book to increase their space know-how, DK findout! Solar System is sure to inspire the next amazing science-fair project or school report. Inside, author Sarah Cruddas breaks down what the solar system is and why it’s so important. 

With this DK findout! book, you will:

- Learn about the sun and the eight planets that make up our solar system
- Explore the Milky Way, a huge spiral galaxy containing billions of stars
- Discover volcanoes on Venus and craters on Mercury
- Take a trip across Mars, see the weather on Jupiter, and visit the International Space Station.
- Read about the Space Race and how astronauts first landed on the moon
- Uncover secrets about possible alien life and the future of space travel
- Meet Dr. Alan Stern, the planetary scientist who led the first-ever mission to Pluto
- Fold out the cover for a solar system quiz, timeline, and moon map
- and find out much, much more!

The DK findout! series of kids books helps children become experts on their favorite nonfiction subjects, from dinosaurs and ancient civilizations to space, coding, and cutting-edge technology. Learn more about space—and everything else—at www.dkfindout.com, the award-winning free educational website.(amazon.com)","DK Findout! Animals,Solar System,Science,Earth (4 Books Collection)","Sarah Cruddas,Dr. Emily Grossman,Maryam Sharif-Draper", , ,Penguin Random House (Indian), ,"1st Edition,2018",256,India,English
Mrs Funnybones,টুইংকেল খান্না ,TK. 538,"",https://rokomari.com//book/120128/mrs-funnybones,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ee93b8c78bd4_120128.gif,"'Mrs Funnybones' Summary of the book
Khanna said that the main characters in the book are ""a few facts, a little fiction, a few decaying brain cells, and a couple of old bones into my brewing cauldron of words."" The book received good reviews with The Times of India stating ""The funny bone definitely tickles but at the same time also jabs you hard. ""Subtle observation(s) with a sledgehammer impact."" says Mint. The Huffington Post reviewed the book stating ""Thank you Mrs. Funnybones for reminding us that life is what you make of it and the most ordinary moments sometimes provide the maximum entertainment and pearls of wisdom. The book highlights anecdotes and the experiences of the author regarding her family, surroundings and the way she handles them. In the whole book, Khanna did not mention her husband by his name.

The book was launched in Mumbai on 18 August 2015 before Dimple Kapadia, akshay Kumar, Aamir Khan, Karan Johar, Jaya Bachchan and Sonali Bendre. The book has received critical acclaim particularly for its humour. Megha of The Free Press Journal wrote ""...[Although] this book is delight to read, it at times gets a little repetitive with the inclusion of some of her columns that have appeared in newspapers."" Author and screenwriter Advaita Kala called it ; ""...endearing, real and well written"". It was ranked in Hindustan Times's Best non-fiction books chart.",Mrs Funnybones,Twinkle Khanna, , ,Penguin Random House (Indian),9780143424468,"1st Edition,2015",235,India,English
A Mind for Numbers,বারবারা ওকলে,"TK. 1,078","",https://rokomari.com//book/132098/a-mind-for-numbers,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/91c646f0a_132098.jpg,"",A Mind for Numbers,Barbara Oakley, , ,Penguin Random House (Indian),9780399165245,"1st Edition,2014",336,India,English
