Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Musicals The Definitive Illustrated Story,ডার্লিং কির্ন্ডাসে,"TK. 2,698","",https://rokomari.com//book/144775/musicals-the-definitive-illustrated-story,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1635314009e4_144775.jpg,"""Musicals: The Definitive Illustrated Story"" Summary of the book:

Musicals: The Definitive Illustrated Story showcases the complete history of the musical on stage and screen, from its origins in ancient Greece to early twentieth century dance halls and vaudeville to the golden age of cinema productions to the record-breaking Broadway musicals of today.

Packed with historical insights, memorabilia, behind-the-scenes gossip, and artifacts, Musicals: The Definitive Illustrated Story takes you on the ultimate behind-the-scenes tour of the best-loved musicals, such as Chicago, Les Misérables, The Lion King, The Phantom of the Opera, The Sound of Music, and many more.

In all, Musicals: The Definitive Illustrated Story features more than 140 notable stage and film productions and the stories of the people who created them. Throughout, clear infographics, rich black-and-white and color photography, and a clever, informative design make this comprehensive overview of musical theater and movie musicals a true showstopper.",Musicals The Definitive Illustrated Story,Dorling Kindersley, , ,Penguin Random House UK,9780241214565,"1st Edition,2015",360,India,English
"Cars, Trains and Planes",ডিকে এডিটরস,"TK. 2,698","",https://rokomari.com//book/155689/cars--trains-and-planes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/475dee5a3_155689.jpg,"","Cars,Trains and Planes",Dk Editors, , ,Penguin Random House UK,9780241256466,"1st Edition,2016",432,India,English
The Da Vinci Code,ড্যান ব্রাউন,TK. 718,"",https://rokomari.com//book/146956/the-da-vinci-code,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4d582f095214_146956.jpg,"",The Da Vinci Code,Dan Brown, , ,Penguin Random House UK,9780141372563,"1st Edition,2016",444,India,English
I've Never Been (Un)Happier,শাহীন ভাট,TK. 450,"",https://rokomari.com//book/193374/i-ve-never-been--un-happier,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/62e7057e4_193374.jpg,"",I've Never Been (Un)Happier,Shaheen Bhatt, , ,Penguin Random House UK,9780143449126,"1st Edition,2019",256,USA,English
Adults in the Room : My Battle with Europe's Deep Establishment,ইয়ানিস ভারৌফাকিস,"TK. 1,438","",https://rokomari.com//book/165166/adults-in-the-room---my-battle-with-europe-s-deep-establishment,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c7868216b_165166.jpg,"",Adults in the Room : My Battle with Europe's Deep Establishment,Yanis Varoufakis , , ,Penguin Random House UK,9781847924469,"1st Edition,2017",352,India,English
"Body Positive Power: How to stop dieting, make peace with your body and live",মেগান জেইন ক্র্যাব,"TK. 1,323","",https://rokomari.com//book/168194/body-positive-power--how-to-stop-dieting--make-peace-with-your-body-and-live,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2241dc65d_168194.jpg,"","Body Positive Power: How to stop dieting,make peace with your body and live",Megan Jayne Crabbe, , ,Penguin Random House UK,9781785041327,"1st Edition,2017",288,India,English
"Practical Thinking: Four Ways to Be Right, Five Ways to Be Wrong",এডওয়ার্ড ডে বোনো,TK. 718,"",https://rokomari.com//book/163202/practical-thinking--four-ways-to-be-right--five-ways-to-be-wrong,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e39d61b70_163202.jpg,"","Practical Thinking: Four Ways to Be Right,Five Ways to Be Wrong",Edward De Bono, , ,Penguin Random House UK,9781785041112,"1st Edition,2018",208,India,English
How I Multiplied My Income,ফ্রাঙ্ক বেট্‌টজার,"TK. 9,478","",https://rokomari.com//book/163727/how-i-multiplied-my-income,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a6fd07614_163727.jpg,"",How I Multiplied My Income,Frank Bettger, , ,Penguin Random House UK,9780749308599,"New Edition,1997",288,India,English
The Mechanism of Mind: Understand How Your Mind Works to Maximise Memory and Creative Potential,এডওয়ার্ড ডে বোনো,"TK. 1,600","",https://rokomari.com//book/161368/the-mechanism-of-mind--understand-how-your-mind-works-to-maximise-memory-and-creative-potential,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/efc57d87b_161368.jpg,"",The Mechanism of Mind: Understand How Your Mind Works to Maximise Memory and Creative Potential,Edward De Bono, , ,Penguin Random House UK,9781785040085,"1st Edition,2015",352,USA,English
Inner Engineering: A Yogi's Guide to Joy,সাদগুরু,"TK. 1,485","",https://rokomari.com//book/193386/inner-engineering--a-yogi-s-guide-to-joy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1e3791653_193386.jpg,"",Inner Engineering: A Yogi's Guide to Joy,Sadhguru, , ,Penguin Random House UK,9780143428848,"1st Edition,2016", ,USA,English
