Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Physics of the Impossible,মিশিও কাকু,TK. 898,"",https://rokomari.com//book/90887/physics-of-the-impossible,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d8448701a384_90887.jpg,"Summary Of The Book

Many of today’s technologies were yesterday’s dreams. Most of those dreams were considered impossibilities. Current telecommunication technology, nuclear energy, computers, etc., were wild speculations, if that, a few decades ago. Many of these were not even dreamt of a century ago.

Yet, they happened. May be, what seems impossible today will be tomorrow’s science. That is what this book is about. Physics Of The Impossible discusses many scientific speculations that sound like science fiction.

The author divides civilizations based on their scientific knowledge. Humans, at this point in time, are categorized as belonging to Type 0 civilizations.

A Type 1 civilization is expected to harness all the potential power that the planet can offer. It utilizes all sunlight, can harness the power of volcanoes, can control natural forces like earthquakes, and play with the weather.

A Type 2 civilization uses the full power of their star, harnessing all its energy to provide fuel for their needs. A Type 3 civilization is expected to harness the power of many suns, control a galactic power source.

With the knowledge that humans have now, the author classifies impossibilities into three classes. The first class of impossibilities include uncovering hard evidence and scientific facts about fantastic concepts like anti-universe, phasers and and alien beings. It also covers unlocking potential human powers like telepathy, and psychokinesis, and developing technologies that could result in the creation of starships and robots. Class I Impossibilities, the author says, might take a century or a few centuries to realize.

The second class of impossibilities are fields of even wilder speculation. These include learning the secrets of time travel, faster than light speeds and parallel universes. These, he says, might take a few millennia, some even a million years, to become accomplished and proven facts.

Class III impossibilities stand at the very edge or even beyond wild scientific imagination. These are so remote because they will involve breaking known laws of physics. These include precognition and perpetual motion machines. If these technologies and ideas are to be realized, it would involve a huge shift in scientific perspectives, a redefining of scientific laws thus far recognized as facts.

Physics Of The Impossible is an entertaining read. It explores topics that are the basis of fascinating sci-fi novels and movies. It entices the readers to ask themselves if today’s science fiction can really be tomorrow’s technology, or scientific fact.

About Michio Kaku

Michio Kaku is a theoretical physicist and a writer of popular science books.

He is also the author of Beyond Einstein, Parallel Worlds, Hyperspace, and Physics of the Future.

Michio Kaku was born to Japanese immigrants in California, in 1947. He studied at Harvard University on a Hertz Engineering Scholarship, then earned a doctorate from the University of California. He has published over seventy papers in major scientific journals, and he has hosted a number of Radio and TV shows on science and scientific speculation. He is currently Professor of Theoretical Physics at the City College of New York.",Physics of the Impossible,Michio Kaku, , ,Penguin U.K.,9780141030906,"Latest Edition,2009",329,India,English
Turtles All the Way Down,জন গ্রীন,TK. 718,"",https://rokomari.com//book/154455/turtles-all-the-way-down,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/16b3995a3_154455.jpg,"",Turtles All the Way Down,John Green, , ,Penguin U.K.,9780241335437,"1st Edition,2017",298,India,English
How to Be a Bawse: A Guide to Conquering Life,লিলি সিং,"TK. 1,258","",https://rokomari.com//book/145636/how-to-be-a-bawse--a-guide-to-conquering-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/edf09d0c4af4_145636.jpg,"'How to Be a Bawse: A Guide to Conquering Life' Summary of the book
NEW YORK TIMES BESTSELLER • From the People’s Choice Award winner for Favorite YouTube Star and host of NBC’s upcoming A Little Late with Lilly Singh comes the definitive guide to being a bawse: a person who exudes confidence, hustles relentlessly, and smiles genuinely because he or she has fought through it all and made it out the other side.

Lilly Singh isn’t just a superstar. She’s Superwoman—which is also the name of her wildly popular YouTube channel. Funny, smart, and insightful, the actress and comedian covers topics ranging from relationships to career choices to everyday annoyances. It’s no wonder she’s garnered more than a billion views. But Lilly didn’t get to the top by being lucky—she had to work for it. Hard.

Now Lilly wants to share the lessons she learned while taking the world by storm, and the tools she used to do it. How to Be a Bawse is the definitive guide to conquering life. Make no mistake, there are no shortcuts to success, personal or professional. World domination requires real effort, dedication, and determination. Just consider Lilly a personal trainer for your life—with fifty rules to get you in the game, including

• Let Go of FOMO (Fear of Missing Out): Temptation will try to steer you away from your goals. FOMO is just a test of your priorities, a test that a bawse is ready to pass.
• Be Nice to People: Treat niceness like an item on your daily to-do list. People will go out of their way to help and support you because you make them feel good.
• Schedule Inspiration: Lack of motivation isn’t permanent or a sign of weakness. Expect it and proactively schedule time to be creative. 
• Be the Dumbest: Challenge yourself by surrounding yourself with people who know more than you do. It’s a vital way to learn and improve.

Told in Lilly’s hilarious, bold voice and packed with photos and candid stories from her journey to the top, How to Be a Bawse will make you love your life and yourself—even more than you love Beyoncé. (Yes, we said it!)

WARNING: This book does not include hopeful thoughts, lucky charms, or cute quotes. That’s because success, happiness, and everything else you want in life need to be worked for, not wished for. In Lilly’s world, there are no escalators, only stairs. Get ready to climb.

“Lilly is a bona fide #girlboss, boss, and bawse. Her meteoric rise has come with so many incredible lessons that we are all lucky to have access to. This book is a must-have for the hustler in all of us.”—Sophia Amoruso, founder and CEO, Girlboss (amazon.com)",How to Be a Bawse: A Guide to Conquering Life,Lilly Singh , , ,Penguin U.K.,9780718186913,"1st Edition,2017",304,India,English
Wow!: The Visual Encyclopedia of Everything,ডিকে এডিটরস,TK. 990,"",https://rokomari.com//book/90620/wow---the-visual-encyclopedia-of-everything,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141105_90620.gif,"",Wow!: The Visual Encyclopedia of Everything,Dk Editors, , ,Penguin U.K.,9781405322485,"Edition,2008",304,India,English
Lolita,ভ্লাদিমির নাভকভ,TK. 898,"",https://rokomari.com//book/84535/lolita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140716_84535.gif,"বইটি আপনি কেন পড়বেন?দেখে নিন বিশ্বের সেরা সাইট আমাজন.কম এর কিছু তথ্য-   
রিভিউ সংখ্যা – ১,৪১৬       
এভারেজ রেটিং – ৪.১ 
ক্লাসিক ক্যাটেগরির ৯১তম বেস্টসেলার বই           
আমাজন.কম লিংক - https://goo.gl/Jg16NU  




 The book is a memoir of Humbert Humbert, a well educated middle-aged literature professor with a history of mental illness and an disturbing fondness for young girls. Humbert begins his story by describing his peaceful childhood in Riviera. As a thirteen year old, Humbert falls in love with a twelve year old girl named Annabel Leigh, who died four months later. As time goes by, he marries an adult woman but becomes consumed by his sexual desire for adolescent girls.

The protagonist, Humbert, later moves to America and becomes a paying guest at a widow’s home. The widow, Charlotte Haze, has a twelve year old daughter named Dolores (also known as Lolita) and Humbert becomes obsessed with her. Meanwhile, Charlotte falls in love with Humbert, who marries her in order to remain incestuously close to his step-daughter. Humbert writes all his desires and passions down in a journal, which Charlotte eventually finds. She becomes furious but almost immediately dies in an accident. Humbert then takes Lolita and makes a road trip. The novel then goes on to describe the relationship the two of them share, which is gruesome, overwhelming, paedophilic, immoral, and sometimes both comical and horrifying.

Lolita is a tragicomedy novel with vivid expressions, incredible characterization, dark humour, and complex yet beautiful writing. It is filled with double entendres, anagrams, coinages, and multilingual puns. Vivian Darkbloom, a character from Lolita, is an anagram of Vladimir Nabokov, the writer.

Lolita, when first published in 1955, caused an uproar. It became entangled in censorship issues because of its controversial theme. However, with time Lolita has become a classic and is known to be one of the most popular and controversial books of the 20th century. Time's 100 best English-language novels from 1923 to 2005 has Lolita on the list. In the 1998 list of the Modern Library's 100 Best Novels of the 20th century, the novel takes fourth place. It also has secured a position as one of The 100 Best Books of All Time. Lolita has been adapted to film twice, once in 1962 by Stanley Kubrick, and by Adrian Lyne in 1997. It has also been performed on stage as operas, ballets, and a Broadway musical.",Lolita,Vladimir Nabokov, , ,Penguin U.K.,9780141182537,"Reprind,2015",336,India,English
The Autobiography of Malcolm X: As Told to Alex Haley,ম্যালকম এক্স,TK. 810,"",https://rokomari.com//book/164284/the-autobiography-of-malcolm-x--as-told-to-alex-haley,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/132fbdd6c_164284.jpg,"",The Autobiography of Malcolm X: As Told to Alex Haley,Malcom X, , ,Penguin U.K.,9780141185439,"New Edition,2001",528,India,English
Charlie and the Great Glass Elevator,রোয়াল্ড ডাল,TK. 718,"",https://rokomari.com//book/85731/charlie-and-the-great-glass-elevator,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140810_85731.gif,"Summary of the Book

Charlie goes on a beautiful adventure in the great glass elevator that takes them on a superb orbit around the Earth. He is accompanied by Willy Wonka and his family. As Mr. Wonka leads the way, Charlie Bucket finds that he is about to go on the best journey of his life. The elevator keeps taking rounds of the planet till Wonka sees the chance to link it with the Space Hotel that has been launched only recently. Join the Bucket family and Mr. Willy Wonka in this very wild journey that takes them around the world and beyond.

About Roald Dahl

Roald Dahl was a British short story writer, novelist, poet, fighter pilot and screenwriter. He was born to Norwegian parents and served in the Royal Air Force during World War II. During this time, he became an intelligence officer and a flying ace. He rose to the rank of Acting Wing Commander. His short stories are popularly known for their unexpected endings, and his children’s stories are unsentimental with a bit of dark humour. Some of his works include: James and the Giant Peach, Charlie and the Chocolate Factory, Matilda, The Witches, Fantastic Mr. Fox, The Twits and George’s Marvellous Medicine.",Charlie and the Great Glass Elevator,Roald Dahl, , ,Penguin U.K.,9780141346465,"1st Edition,2013",208,India,English
Diary of A Wimpy Kid: The Meltdown (Book 13),জেফ কিনিন,TK. 718,"",https://rokomari.com//book/174167/diary-of-a-wimpy-kid--the-meltdown--book-13-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9ffc2076c_174167.jpg,"",Diary of A Wimpy Kid: The Meltdown (Book 13),Jeff Kinney, , ,Penguin U.K.,9780141378206,"1st Edition,2018",224,India,English
Selected Poems ,রবীন্দ্রনাথ ঠাকুর,TK. 538,"",https://rokomari.com//book/84543/selected-poems,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7be3d76b1_84543.jpg,"""Selected Poems"" Summary of the Book
The poems of Rabindranath Tagore are among the most haunting and tender in Indian and world literature, expressing a profound and passionate human yearning. His ceaselessly inventive works deal with such subjects as the interplay between God and mortals, the eternal and the transient, and the paradox of an endlessly changing universe that is in tune with unchanging harmonies. Poems such as ""Earth"" and ""In the Eyes of a Peacock"" present a picture of natural processes unaffected by human concerns, while others, as in ""Recovery14,"" convey the poet's bewilderment about his place in the world. And exuberant works such as ""New Rain"" and ""Grandfather's Holiday"" describe Tagore's sheer joy at the glories of nature or simply in watching a grandchild play",Selected Poems,Rabindranath Tagore, , ,Penguin U.K.,9780140183665,"1st Edition,1995",208,India,English
Metamorphosis and Other Stories,ফ্রানৎস কাফকা,"TK. 1,454","",https://rokomari.com//book/85097/metamorphosis-and-other-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150316_85097.gif,"Summary of the Book

This book is a collection of some of Kafka’s new translations. It is a small part of his works that he thought were worthy of publication. The book includes his most famous work Metamorphosis that explores transformation and alienation. His work Meditation is a collection of some of his earlier studies. It also comprises of The Judgement, which was written by the great writer in a single night of intense creativity. The Stoker is the first chapter of a novel that is set in America and is a captivating piece of writing. There is also The Aeroplanes at Brescia that is a chronicle of an air display that took place in the year 1909. All of these stories will provide readers with a broad view of Kafka’s inspiring literary vision and the depth of his thought.

About Franz Kafka

Franz Kafka was a writer who wrote in German. He has written many short stories and novels that have made him one of the greatest writers of the twentieth century. Most of his works contain themes and archetypes of alienation, physical and psychological brutality, parent-child conflict, characters on a quest, mazes bureaucracy and mystical transformations.",Metamorphosis and Other Stories,Franz Kafka, , ,Penguin U.K.,9780141188126,"1st Edition,2007",272,India,English
