Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Emotional Intelligence 2.0,জিন গ্রিভস,"TK. 1,798","",https://rokomari.com//book/133490/emotional-intelligence-2-0,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/960c6c3319e4_133490.jpg,"",Emotional Intelligence 2.0,"Jean Greaves,Travis Bradberry", , ,Perseus Book Group,9780974320625,"1st Edition,2009",280,India,English
You are a BadAss: How to Stop Doubting Your Greatness and Start Living an Awesome Life,জেন সিনচেরো,TK. 898,"",https://rokomari.com//book/151629/you-are-a-badass--how-to-stop-doubting-your-greatness-and-start-living-an-awesome-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/84dbeeb0d_151629.jpg,"",You are a BadAss: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero, , ,Perseus Book Group,9780762447695,"1st Edition,2015",256,India,English
The Interpretation of Dreams,সিগমুন্ড ফ্রয়েড,"TK. 1,798","",https://rokomari.com//book/133110/the-interpretation-of-dreams,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/591c105c4884_133110.jpg,"",The Interpretation of Dreams,"Sigmund Freud,James Strachey", , ,Perseus Book Group,9780465019779,"1st edition,2010", ,India,English
The Hero with a Thousand Faces,জোসেফ ক্যাম্পবেল,"TK. 1,890","",https://rokomari.com//book/166256/the-hero-with-a-thousand-faces,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d8eaa4e54_166256.jpg,"",The Hero with a Thousand Faces,Josef Campbel, , ,Perseus Book Group,9781577315933,"3rd Edition,2008",224,India,English
Why Does E=mc2?,জেফ ফোর্শ,"TK. 1,427","",https://rokomari.com//book/163115/why-does-e-mc2-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/727e2f7e3_163115.jpg,"",Why Does E=mc2?,"Jeff Forshaw,Brian Cox", , ,Perseus Book Group,9780306818769,"1st Edition,2010",272,India,English
Innovation Prowess: Leadership Strategies for Accelerating Growth (Wharton Executive Essentials),George S. Day,"TK. 2,005","",https://rokomari.com//book/187001/innovation-prowess--leadership-strategies-for-accelerating-growth--wharton-executive-essentials-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b4ddd64e2_187001.jpg,"",Innovation Prowess: Leadership Strategies for Accelerating Growth (Wharton Executive Essentials),George S. Day, , ,Perseus Book Group,9781613630280,"1st edition,2013",138,India,English
Getting Better: Why Global Development Is Succeeding--And How We Can Improve the World Even More,চার্লস কেনি,TK. 977,"",https://rokomari.com//book/162196/getting-better--why-global-development-is-succeeding--and-how-we-can-improve-the-world-even-more,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bd7a5d080_162196.jpg,"",Getting Better: Why Global Development Is Succeeding--And How We Can Improve the World Even More,Charles Kenny , , ,Perseus Book Group,9780465020157,"1st Edition,2011",256,India,English
The veil and the male elite: A feminist interpretation of women's rights in islam (Paperback) ,ফাতেমা মারনিসি,"TK. 2,149","",https://rokomari.com//book/109535/the-veil-and-the-male-elite--a-feminist-interpretation-of-women-s-rights-in-islam--paperback-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bda4d1cf4_109535.jpg,"",The veil and the male elite: A feminist interpretation of women's rights in islam (Paperback),Fatema Mernissi, , ,Perseus Book Group,9780201632217,"Reprint Edition,1992",228,India,English
What Is Democracy? ,এলেন তুরিন,"TK. 5,530","",https://rokomari.com//book/106972/what-is-democracy-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20151205_106972.gif,"",What Is Democracy?,Alain Touraine, , ,Perseus Book Group,9780813327075, ,240,India,English
Tower of Basel ,লিবর,"TK. 2,338","",https://rokomari.com//book/107586/tower-of-basel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20151213_107586.gif,"",Tower of Basel,Lebor, , ,Perseus Book Group,9781610392549,"1st Edition,2013",323,India,English
