Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Physical Chemistry Volume-1,হরিশিকিশ চ্যাটার্জি,TK. 765,"",https://rokomari.com//book/54307/physical-chemistry-volume-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e6b8a4632_54307.jpg,"",Physical Chemistry Volume-1,Hrishikesh Chatterjee, , ,Platinum Pub,9788189874063,"Reprinted,2018",496,India,English
Physical Chemistry Volume-2,হরিশিকিশ চ্যাটার্জি,TK. 630,"",https://rokomari.com//book/54308/physical-chemistry-volume-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b519962e4_54308.jpg,"",Physical Chemistry Volume-2,Hrishikesh Chatterjee, , ,Platinum Pub,9788189874131,"2nd Edition,2018",408,India,English
Outlines Of Physics Volume-2,প্রনব কুমার কর্মকার,TK. 675,"",https://rokomari.com//book/173615/outlines-of-physics-volume-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a9b28396d_173615.jpg,"",Outlines Of Physics Volume-2,Pranab Kumar Karmakar, , ,Platinum Pub,9788189874070,"1st Published,2008",688,India,English
Plant Tissue Culture: Basic and Applied,বিশ্বজিৎ ঘোষ,TK. 891,"",https://rokomari.com//book/162087/plant-tissue-culture--basic-and-applied,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dc4423bbd_162087.jpg,"",Plant Tissue Culture: Basic and Applied,"Biswajit Ghosh,Timir Baran Jha", , ,Platinum Pub,9788189874407,"2nd Edition,2016",440,India,English
Physical Chemistry Problems And Solutions,হরিশিকিশ চ্যাটার্জি,TK. 585,"",https://rokomari.com//book/173616/physical-chemistry-problems-and-solutions,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/937b874d1_173616.jpg,"",Physical Chemistry Problems And Solutions,Hrishikesh Chatterjee, , ,Platinum Pub,9788189874162,"Reprinted,2018",408,India,English
Organic Chemistry Structure,ডি. সি. ঘোষ,TK. 990,"",https://rokomari.com//book/173617/organic-chemistry-structure,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9990c76af_173617.jpg,"",Organic Chemistry Structure,"D. C. Ghosh,Dr. Rathindranath Mukherjee", , ,Platinum Pub,9788189874421,"1st Published,2017",658,India,English
Sequential Circuits Digital Circuits Problems And Solutions Volume-II,ডি. রায় চৌধুরী,TK. 810,"",https://rokomari.com//book/173620/sequential-circuits-digital-circuits-problems-and-solutions-volume-ii,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c21a7af8c_173620.jpg,"",Sequential Circuits Digital Circuits Problems And Solutions Volume-II,D. Ray Chaudhuri, , ,Platinum Pub,9788189874308,"1st Published,2018",546,India,English
Inorganic Chemistry: A Study Guide (Guide to Solutions for University Papers),রাজশাহী চ্যাটার্জি,"TK. 1,078","",https://rokomari.com//book/173623/inorganic-chemistry--a-study-guide--guide-to-solutions-for-university-papers-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0e10bdc10_173623.jpg,"",Inorganic Chemistry: A Study Guide (Guide to Solutions for University Papers),Rajarshi Chatterjee, , ,Platinum Pub,9788189874285,"1st Published,2015",616,India,English
Outlines of Physics Volume-1 ,প্রনব কুমার কর্মকার,TK. 621,"",https://rokomari.com//book/54311/outlines-of-physics-volume-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0a25a850b_54311.jpg,"",Outlines of Physics Volume-1,Pranab Kumar Karmakar, , ,Platinum Pub,9788189874001,"1st Edition,2007",696,India,English
Economics-II Macroeconomics: For Calcutta University ,তাপস কুমার পাল,TK. 688,"",https://rokomari.com//book/162085/economics-ii-macroeconomics--for-calcutta-university,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5ea6be0b4_162085.jpg,"",Economics-II Macroeconomics: For Calcutta University,Tapas Kumar Pal, , ,Platinum Pub,9788189874322,"1st Edition,2015",158,India,English
