Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কিতাবুল ফিতান (প্রথম খণ্ড) ,ইমাম নুআইম ইবনু হাম্মাদ রহিমাহুল্লাহ,TK. 600,TK. 360,https://rokomari.com//book/188816/kitabul-fitan--1st-part-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ba2509433_188816.jpg,"""কিতাবুল ফিতানের লেখা- ১"" বইয়ের কিছু কথাঃ 

বর্তমান যুগটি ফিতনার। যেন অন্ধকার রাতের মত একেকটা ফিতনা আমাদের গ্রাস করে নিচ্ছে। আমাদের ব্যক্তিগত জীবন, পারিবারিক জীবন, সামাজিক জীবন, রাষ্ট্রীয় জীবন ও আন্তর্জাতিক জীবনের প্রতিটি ক্ষেত্রে রয়েছে ফিতনার আনাগোনা।

কেউ যদি ফিতনা সম্পর্কেই না জানে, তবে সে কীভাবে নিজেকে বাঁচাবে ফিতনা থেকে? কীভাবে বাঁচাবে পরিবার-পরিজন ও সমাজকে? আর শেষ যামানার ফিতনাগুলো এতোই ভয়াবহ যে– একজন লোক দিনের প্রারম্ভে মুসলিম থাকবে, কিন্তু দিন শেষে সে পরিণত হবে কাফিরে।

হায় আফসোস! আমাদের আশপাশে এতোই ঈমান বিধ্বংসী আসবাবের ছড়াছড়ি, কিন্তু আমাদের মধ্যে কোন সচেতনতা নেই। আমাদের মধ্যে ভর করে আছে গাফলত, অলসতা ও উদাসীনতা।

প্রিয় ভাই ও বোনেরা! ফিতনা সম্পর্কে জানুন ও সতর্ক হোন। তাকিয়ে দেখুন, বিশ্বের কুফরিশক্তি কীভাবে প্রস্তুতি নিচ্ছে আসন্ন সংকটকে সামনে রেখে। কীভাবে তারা তৈরি হচ্ছে মুহাম্মাদে আরাবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের শরীয়ত ও তাঁর আশিকদের মিশনের সাথে মোকাবেলা করতে!

আমাদেরকে রাসূলে কারীম (সাঃ) ১৪শ বছর আগে ফিতনা সম্পর্কে সচেতন করেছেন; আর আমরা এখনো ঘুমিয়ে আছি গাফলতের চাদর মুড়িয়ে। আমরা এখনো স্বপ্ন দেখছি দুনিয়ার ভোগ-বিলাস ও সুখ-সমৃদ্ধি নিয়ে! অথচ ফিতনা আমাদের দরজায় কড়া নাড়ছে।

অনূদিত_বইটির_বিশেষ_বৈশিষ্ট্যঃ
১। বইয়ের শুরুতে হাদীস শাস্ত্র নিয়ে গুরুত্বপূর্ণ কিছু আলোচনা আছে। যা একজন প্রাথমিক সত্যানুসন্ধানী পাঠকের আত্মার খোরাক হবে।
২। হাদীস শাস্ত্রের উৎপত্তি, ক্রমবিকাশ, হাদীস শাস্ত্রের পরিভাষার ব্যাখ্যা প্রভৃতি বিষয়গুলোর সাবলীল খোলাসা উল্লেখ করা হয়েছে।
৩। নুআইম বিন হাম্মাদের উপর আরোপিত অভিযোগের বাস্তবতা ও তার জবাব চমৎকারভাবে উপস্থাপিত হয়েছে।
৪। প্রতিটি হাদীসের মান, ক্ষেত্র বিশেষে রাবীদের পর্যালোচনা উল্লেখ করা হয়েছে।
৫। অস্পষ্ট অর্থ ও ইঙ্গিতবহ বর্ণনার সাথে যথাযথ ব্যাখ্যা উপস্থাপন করা হয়েছে।",কিতাবুল ফিতান (প্রথম খণ্ড),ইমাম নুআইম ইবনু হাম্মাদ রহিমাহুল্লাহ, , ,পথিক প্রকাশন, ,"1st Published,2019",368,বাংলাদেশ,বাংলা
ভালোবাসার বন্ধন,‘বিয়ে : অর্ধেক দ্বীন’ টিম	,TK. 300,TK. 180,https://rokomari.com//book/196736/valobasar-bondon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/13869d805_196736.jpg,"ভালোবাসার মানুষ ছাড়া পৃথিবীতে সুখী হওয়া যায় না। ভালোবাসার বন্ধন ছাড়া পৃথিবীটা খুবই নিঃসঙ্গ মনে হয়। একাকী লাগে। বিষন্নতায় কাটে সকাল, দুপুর, সন্ধ্যা-রাত।তাই এই ভালোবাসাকে উপেভোগ করুন হালাল পন্থায়। দেখবেন, জীবনটা কত সুখের, রোমান্সের।যদি সামর্থ থাকে তাহলে দ্রুত বিয়ে করুন। তৈরী করুন জীবনের সেরা একটি বন্ধন—‘ভালোবাসার বন্ধন’। 

আপনি কল্পনাও করতে পারবেন না—বিয়ে জীবনটা এত আনন্দের। এত সুখের। যা আপনার ইমান ও দ্বীনকে পরিপূর্ণ করবে। হারাম রিলেশন কিংবা অবৈধ পন্থায় জড়িয়ে নিজের জীবনকে বিনষ্ট করবেন না। শরম আর নিজের পায়ে দাঁড়ানোর অপেক্ষা না করে একজন দ্বীনদার পাত্র/পাত্রী দেখে জীবনকে তার হাতে সমর্পণ করুন। একজন অন্যজনকে বুঝুন। জান্নাতের পথে চলতে সাহায্য করুন। একজন অন্যজনের জন্য হৃদয়ের আঁচল বিছিয়ে দিন। হয়ে যান দু’জন দু’জনার। তৈরী করুন এক সুখময় বন্ধন। পরস্পরের মাঝে সুখ-দুঃখ শেয়ার করে পবিত্র এই বন্ধনকে ইতি টানুন জীবনের শেষ অবধি।",ভালোবাসার বন্ধন,‘বিয়ে : অর্ধেক দ্বীন’ টিম, , ,পথিক প্রকাশন, ,"1st Published,2020",160,বাংলাদেশ,বাংলা
অমুসলিমদের সাথে যেমন ছিলেন রাসূল (সাঃ),ড. আবু বকর মুহাম্মাদ যাকারিয়া ,TK. 460,TK. 276,https://rokomari.com//book/173026/omuslimder-sathe-jemon-chilen-rasul--sm--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1d92ba618_173026.jpg,"b""অমুসলিমদের সাথে যেমন ছিলেন রাসূল (সাঃ)"" বইয়ের ফ্ল্যাপের লেখা:br/b

আপনারা ইসলামের বিধি-বিধান ও মুসলমিদের ইতিহাসকে তার সঠিক উৎস থেকে জানুন। আমরা অতীত ও বর্তমানে, ইতিহাসে ও বাস্তবে অনেক যুলুমের স্বীকার হয়েছি। আমাদের অনেক ইতিহাস লিখিত হয়েছে আমাদের শত্রুদের হাতে। আমাদের অনেক সূক্ষ্ম সূক্ষ্ম বিষয় ও অনেক ভেদ-রহস্যের কথা রচিত হয়েছে আমাদের প্রতি হিংসা-বিদ্বেষ পােষণকারীদের কলমে। এটি তাে ইনসাফের কথা হতে পারে না যে, মানুষ আমাদের ঘটনা শুনবে এমন কারও নিকট থেকে যে আমাদেরকে ঘৃণা করে। এটাও ইনসাফের দাবী নয় যে, আমরা ইসলামের একনিষ্ঠ ধারক-বাহকদের রচনা বাদ দিয়ে অন্যদের মিথ্যা ও বানােয়াট কথার ওপর নির্ভর করব।। ইসলামের ইতিহাসকে উদ্দেশ্য প্রণােদিতভাবে জাল করা হয়েছে এবং স্বেচ্ছায় স্বজ্ঞানে এর বিকৃতি সাধন করা হয়েছে। পশ্চিমারা ও স্বার্থবাদী মহলের অনেকেই মুসলিম উম্মাহ’র মস্তিষ্ক বিকৃত করা ও সভ্যতার ইতিহাসকে কলঙ্কিত করার প্রয়াস চালিয়েছে। তাদের কেউ জাল ইতিহাস রচনা করেছে, আবার কেউ করেছে বিকৃতি সাধন। কেউ সঠিককে ভুলে যাওয়ার ভান করে অশুদ্ধকে গ্রহণ করে নিয়েছে। আবার কেউ মানবীয় দোষ-ত্রুটিকে প্রকাশ করে গুণ-গরিমা সম্পর্কে নীরবতা প্রদর্শন করেছে। এসব কিছু করেছে তারা গভীর ষড়যন্ত্র ও সুবিন্যস্ত পরিকল্পনার অংশ হিসেবে। ফলে ইসলামী ইতিহাসের নতুন এক বিকৃত রূপ ও কাঠামাে তৈরি হয়েছে, বাস্তবতার সাথে যার কোনাে মিলই নেই।",অমুসলিমদের সাথে যেমন ছিলেন রাসূল (সাঃ),"ড. আবু বকর মুহাম্মাদ যাকারিয়া,ড. রাগিব সারজানি",হাফেজ মুফতি সাইফুল ইসলাম,ড. আবু বকর মুহাম্মাদ যাকারিয়া,পথিক প্রকাশন, ,"1st Edition,2018",272,বাংলাদেশ,বাংলা
যেভাবে স্বামীর হৃদয় জয় করবেন,শাইখ ইবরাহিম ইবনু সালেহ আল মাহমুদ,TK. 160,TK. 96,https://rokomari.com//book/190689/jebave-shamir-hridoy-joy-korben,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0def83782_190689.jpg,"বইটি যে জন্য লেখা-
১. অধিকহারে বিবাহ সংক্রান্ত সমস্যা বৃদ্ধি পাওয়া।
২. মুসলিম সমাজে তালাক সংক্রান্ত জটিলতার প্রসার।
৩. স্বামীর বিভিন্ন ব্যাপারে স্ত্রীর অধিক হস্তক্ষেপ এবং স্বামীর নিজ দায়িত্ব ও কর্তব্যে অবহেলা।
৪. পাশ্চাত্যের বিভিন্ন ধ্যান-ধারণার অনুসরণ ও কুরুচীপূর্ণ সিনেমা দেখার প্রতি মুসলিমদের অধিক আগ্রহ।

পুস্তিকাটি আমি এ বিশ্বাস থেকেই লিখছি যে, অধিকাংশ বৈবাহিক সমস্যা সৃষ্টি হয় নারীর কারণে। তাই আমি আল্লাহ তায়ালার কাছে সাহায্য চাই—আমার এ রচনা দ্বারা যেন নারী-পুরুষ উভয়েই উপকৃত হন। বলাই বাহুল্য, একজন বুদ্ধিমতি ও আন্তরিক নারী মাত্রই জানেন কিভাবে নিজের উত্তম চরিত্র ও আচার-আচরণ এবং আনুগত্য ও সৌন্দর্যের মাধ্যমে স্বামীর ভালবাসাকে জয় করতে হয়।",যেভাবে স্বামীর হৃদয় জয় করবেন,শাইখ ইবরাহিম ইবনু সালেহ আল মাহমুদ, , ,পথিক প্রকাশন, ,1st published 2019,64,বাংলাদেশ,বাংলা
ধৈর্য হারাবেন না ,শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ,TK. 160,TK. 96,https://rokomari.com//book/188673/dorjo-haraben-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2600cf4cd_188673.jpg,"মুমিন প্রিয় বান্দাকে প্রেমময় আল্লাহ  তায়ালা ধৈর্যধারণ করতে আদেশ করেছেন।

পবিত্র কুরআনুল কারিমে ইরশাদ হয়েছে-
يَا أَيُّهَا الَّذِينَ آمَنُوا اصْبِرُوا وَصَابِرُوا وَرَابِطُوا وَاتَّقُوا اللَّهَ لَعَلَّكُمْ تُفْلِحُونَ.
“হে ইমানদারগণ! ধৈর্যধারণ করো এবং কাফেরদের মোকাবিলায় দৃঢ়তা অবলম্বন করো। আর আল্লাহকে ভয় করতে থাকো, যাতে তোমরা সফলকাম হতে পারো।” [সুরা আল ইমরান : ২০০]
 
আল্লাহ  তায়ালা আরো ইরশাদ করেন-
وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ.
“ধৈর্যের সাথে সালাতের মাধ্যমে আল্লাহর কাছে সাহায্য প্রার্থনা করো।” [সুরা বাকারা : ৪৫]
 
মুমিনকে আল্লাহ তায়ালা অধৈর্য হতে নিষেধ করেছেন। আল্লাহ তায়ালা ইরশাদ করেন-
فَاصْبِرْ كَمَا صَبَرَ أُولُو الْعَزْمِ مِنَ الرُّسُلِ وَلَا تَسْتَعْجِل لَّهُمْ.
“আপনি সবর করুন—যেমন উচ্চ সাহসী পয়গম্বরগণ সবর করেছেন, আপনি তাদের বিষয়ে তাড়াহুড়া করবেন না।” [সুরা আহকাফ : ৩৫]

ইমাম ইবনুল কায়্যিম রহিমাহুল্লাহ বলেন-

১. ওয়াজিব বিধানের উপর ধৈর্যধারণ করা ওয়াজিব, আর ওয়াজিব ছুটে যাওয়ার কারণ হয় এমন কাজের উপর ধৈর্যধারণ করা হারাম।
২. হারাম থেকে দূরে থাকার উপর ধৈর্যধারণ করা ওয়াজিব, আর হারামের উপর ধৈর্যধারণ হারাম।v
৩. মুস্তাহাবের উপর ধৈর্যধারণ করা মুস্তাহাব, আর মুস্তাহাব ছেড়ে দেওয়ার উপর ধৈর্যধারণ করা মাকরুহ। এমনিভাবে মাকরুহ থেকে দূরে থাকার উপর ধৈর্যধারণ করা মুস্তাহাব।
৪. মাকরুহের উপর ধৈর্যধারণ করা মাকরুহ।
৫. মুবাহ কাজের উপর ধৈর্যধারণ করাও মুবাহ।

ওয়াজিব কাজ ও গুনাহের কাজ ছেড়ে দেওয়ার উপর ধৈর্যধারণ করা ওয়াজিব। এমনিভাবে আপতিত কোনো মুসিবতের উপর অধৈর্য ও বিরক্তি প্রকাশ না করাও ওয়াজিব। [উমদাতুস সাবেরিন : ২৩]",ধৈর্য হারাবেন না,শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ,মুফতী সাইফুল্লাহ আল মাহমুদ, ,পথিক প্রকাশন, ,"1st Published,2019",80,বাংলাদেশ,বাংলা
যেভাবে স্ত্রীর হৃদয় জয় করবেন,শাইখ ইবরাহিম ইবনু সালেহ আল মাহমুদ,TK. 200,TK. 120,https://rokomari.com//book/190688/jebave-strir-hridoy-joy-korben,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/416098371_190688.jpg,"বইটি তাদের জন্য...

বইটি লেখার প্রধান উদ্দেশ্য হল একটি মজবুত, আন্তরিক এবং পরস্পর বোঝাপড়া ও সহানুভূতিশীল মুসলিম পরিবার নির্মাণ করা। এমন মুসলিম পরিবার—যা পরিচালিত হয়- শ্রদ্ধা, ভালবাসা, সম্মান, অঙ্গীকার, সুখ, মানসিক প্রশান্তির মাধ্যমে।
যার স্লোগান হবে—ধর্ম হল আন্তরিকতা।
যার লক্ষ্য হল—সন্তানদের সঠিক শিক্ষা দেয়া।
যার ভিত্তি হল—কুর’আন, সুন্নাহ এবং সালাফদের নাসিহা।
যার প্রেরণা হল—তাদেরকে বিচার দিবসে আহ্বান করে বলা হবে-
“তোমরা এবং তোমাদের সহধর্মিনীগণ সানন্দে জান্নাতে প্রবেশ কর। স্বর্ণের থালা ও পানপাত্র নিয়ে তাদেরকে প্রদক্ষিণ করা হবে; সেখানে রয়েছে সবকিছু, অন্তর যাচায় এবং নয়ন যাতে তৃপ্ত হয়। সেখানে তোমরা স্থায়ী হবে।”  (সুরা যুখরূপ : ৭০-৭১)
যার আদর্শ হবে—রাসুল সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম, তাঁর সাহাবাগণ এবং তাঁর অনুসারীগণ।",যেভাবে স্ত্রীর হৃদয় জয় করবেন,শাইখ ইবরাহিম ইবনু সালেহ আল মাহমুদ, , ,পথিক প্রকাশন, ,1st published 2019,80,বাংলাদেশ,বাংলা
ফুল হয়ে ফোটো,শাইখ আহমাদ মুসা জিবরিল,TK. 400,TK. 240,https://rokomari.com//book/194299/ful-hoye-foto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d27b233d4_194299.jpg,"'ফুল হয়ে ফোটো'। একটি ফুল এমনি এমনি ফোটে উঠে না। তা এমনি ঘ্রাণ ছড়ায় না, মেলে ধরে না রঙ-বেরঙের পাপড়ি। প্রয়োজন পড়ে অভিজ্ঞ মালীর নিবিড় পরিচর্যার। ইসলামের বটবৃক্ষে বড় হওয়া আমাদেরও প্রয়োজন অভিজ্ঞ ও মমতাময়ী মালীর—যাদের দক্ষ হাতের পরশে, নসিহতে আমরা ফুল হয়ে ফোটব। হয়ে উঠবো সুন্দর মানুষ, মু'মিন; পাপ পঙ্কিলতার পথ ছেড়ে সৃষ্টিকর্তার আহ্বানে সাড়া দিব। এমনি দু'জন দাঈ-র মূল্যবান নসিহত দিয়ে সাজানো হয়েছে আপনার হাতে থাকা বইটি। এই বইটিও যেন একটি ফুল, এরও রয়েছে নানারঙের পাপড়ি, ভিন্ন ভিন্ন সুবাস। উল্টে দেখুন আর ফুল হয়ে ফোটতে প্রবেশ করুন গ্রন্থের রাজ্যে।",ফুল হয়ে ফোটো,শাইখ আহমাদ মুসা জিবরিল, , ,পথিক প্রকাশন, ,"1st Published,2020",240,বাংলাদেশ,বাংলা
কিতাবুল ফিতান (দ্বিতীয় খন্ড),ইমাম নুআইম ইবনু হাম্মাদ রহিমাহুল্লাহ,TK. 600,TK. 360,https://rokomari.com//book/201713/kitabul-fitan--2nd-part-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f9331f2ba_201713.jpg,"",কিতাবুল ফিতান (দ্বিতীয় খন্ড),ইমাম নুআইম ইবনু হাম্মাদ রহিমাহুল্লাহ, , ,পথিক প্রকাশন, ,"1st  Published,2020",384,বাংলাদেশ,বাংলা
কিতাবুল ফিতান (৩য় খন্ড),ইমাম নুআইম ইবনু হাম্মাদ রহিমাহুল্লাহ,TK. 600,TK. 360,https://rokomari.com//book/201590/kitabul-fitan--3rd-part-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/451e49b9b_201590.jpg,"",কিতাবুল ফিতান (৩য় খন্ড),ইমাম নুআইম ইবনু হাম্মাদ রহিমাহুল্লাহ, , ,পথিক প্রকাশন, ,"1st Published,2020",384,বাংলাদেশ,বাংলা
ভালবাসতে শিখুন,শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ,TK. 200,TK. 120,https://rokomari.com//book/176928/valobaste-shikhun,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1130d866a_176928.jpg,"""ভালবাসতে শিখুন"" বইয়ের পিছনের কভারের লেখা:

জগতের সবচে' দামী ও শক্তিশালী শব্দ হচ্ছে ভালােবাসা। আবার সবচে’ দুর্বল শব্দও হচ্ছে ভালােবাসা। আমরা ভালােবাসার জন্য সব করে থাকি। ভালােবাসা চিরন্তন। মায়ের জন্য ভালােবাসা, প্রিয়জনের জন্য ভালােবাসা, বন্ধুর জন্য ভালােবাসা। ভালােবাসার রূপ বিভিন্ন ধরনের। ভালােবাসার চেয়ে গুরুত্বপূর্ণ কোনাে বিষয় নেই মানবজীবনে। কিন্তু মাঝে মাঝে আমরা আসল ভালােবাসাকে ভুলে যাই, তা হলাে আল্লাহ তায়ালাকে ভালােবাসা। আল্লাহকে ভালােবাসা আমাদের জন্য ফরজ। মুমিনরা কখনও আল্লাহকে ভালােবাসতে ভুলেনা। এই ক্ষুদ্র প্রয়াসে আমরা প্রত্যাশা করি প্রতিটি মুমিন ভাইয়ের হৃদয়াকাশে আল্লাহপ্রেমের পতাকা উড়ক। হৃদয়জমিনে আল্লাহর সত্যিকার ভালােবাসার ফুল ফুটুক।
আল্লাহ তায়ালা বলেন- “যে আল্লাহর সাথে সাক্ষাতের কামনা করবে, সেই নির্ধারিত সময় অবশ্যই আসবে।” (সুরা আনকাবুত- ৫) রাসুল সাল্লাল্লাহ আলাইহি ওয়াসাল্লাম বলেন- “যে ব্যক্তি আল্লাহর সাক্ষাতকে পছন্দ করে, আল্লাহও তার সাক্ষাতকে পছন্দ করেন। আর যে ব্যক্তি আল্লাহর সাক্ষাতকে অপছন্দ করেন আল্লাহও তার। সাক্ষাতকে অপছন্দ করেন।” (সহিহ বুখারি- ৬৫০৭; সহিহ মুসলিম- ২৬৮৩)",ভালবাসতে শিখুন,"শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ,شيخ الاسلام ابن تيمية (শাইখুল ইসলাম তাকিউদ্দিন  ইবনে তাইমিয়া)",মুফতী সাইফুল্লাহ আল মাহমুদ, ,পথিক প্রকাশন, ,"1st Published,2019",80,বাংলাদেশ,বাংলা
