Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বিজ্ঞান প্রযুক্তি উন্নয়ন: একটি নাট্য সংকলন,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ,TK. 36,"",https://rokomari.com//book/169215/biggan-prozukkti-unnoyon-akti-natyo-songkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিজ্ঞান প্রযুক্তি উন্নয়ন: একটি নাট্য সংকলন,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2009, ,ভারত,বাংলা
জ্যোতির্বিজ্ঞান ও জ্যোতিবিজ্ঞানী,অমলেন্দু বন্দ্যোপাধ্যায়,TK. 90,"",https://rokomari.com//book/169223/jyotirbiggan-o-jyotirbiggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জ্যোতির্বিজ্ঞান ও জ্যোতিবিজ্ঞানী,অমলেন্দু বন্দ্যোপাধ্যায়, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2009, ,ভারত,বাংলা
হারিয়ে যাচ্ছে যারা,শুভেন্দু মজুমদার,TK. 130,"",https://rokomari.com//book/169225/hariye-zacche-zara,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হারিয়ে যাচ্ছে যারা,শুভেন্দু মজুমদার, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2010, ,ভারত,বাংলা
ছয় বিজ্ঞানকন্যার গল্প,গৌতম গঙ্গোপাধ্যায়,TK. 90,"",https://rokomari.com//book/169228/choy-biggankonyar-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছয় বিজ্ঞানকন্যার গল্প,গৌতম গঙ্গোপাধ্যায়, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2010, ,ভারত,বাংলা
বিজ্ঞান ও কুসংস্কার,শিব শঙ্কর চক্রবর্তী,TK. 54,"",https://rokomari.com//book/169232/biggan-o-kusongskar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিজ্ঞান ও কুসংস্কার,শিব শঙ্কর চক্রবর্তী, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2010, ,ভারত,বাংলা
সংক্রামক রোগের ইতিহাস সভ্যতার সংকট,ডাঃঅসীম চট্টোপাধ্যায়,TK. 108,"",https://rokomari.com//book/169230/songkramok-roger-itihas-sobhyotar-songkot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সংক্রামক রোগের ইতিহাস সভ্যতার সংকট,ডাঃঅসীম চট্টোপাধ্যায়, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2010, ,ভারত,বাংলা
বর্তমান ভারতবর্ষে কৃষি বিকাশের ধারা,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ,TK. 108,"",https://rokomari.com//book/169220/bortoman-bharotborshe-krishi-bikasher-dhara,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বর্তমান ভারতবর্ষে কৃষি বিকাশের ধারা,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2009, ,ভারত,বাংলা
হিগ্স বোসন,দীলিপ বসু,TK. 90,"",https://rokomari.com//book/169235/higs-boson,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হিগ্স বোসন,দীলিপ বসু, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2013, ,ভারত,বাংলা
কল্পবিজ্ঞানের গল্পসংকলন,গৌতম গঙ্গোপাধ্যায়,TK. 72,"",https://rokomari.com//book/169218/kolpobigganer-golposongkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কল্পবিজ্ঞানের গল্পসংকলন,গৌতম গঙ্গোপাধ্যায়, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2009, ,ভারত,বাংলা
বিজ্ঞানের যাদুকর টমাস আলভা এডিসন,অজয় চক্রবর্তী,TK. 54,"",https://rokomari.com//book/169217/bigganer-zadukor-tomas-albha-adison,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিজ্ঞানের যাদুকর টমাস আলভা এডিসন,অজয় চক্রবর্তী, , ,পশ্চিমবঙ্গ বিজ্ঞান মঞ্চ (ভারত), ,2009, ,ভারত,বাংলা
