Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বীক্ষণ-বৈচিত্র্যে রবীন্দ্রনাথ,ধ্রুব নারায়ণ বন্দ্যোপাধ্যায়,TK. 450,"",https://rokomari.com//book/145917/bikhon-boichitre-robindronath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বীক্ষণ-বৈচিত্র্যে রবীন্দ্রনাথ,ধ্রুব নারায়ণ বন্দ্যোপাধ্যায়, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2013, ,ভারত,বাংলা
কাব্যশ্রী,রামচন্দ্র দত্ত,TK. 108,"",https://rokomari.com//book/145914/kabyoshree,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কাব্যশ্রী,রামচন্দ্র দত্ত, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2012, ,ভারত,বাংলা
পিঞ্জর,সুব্রত দে,TK. 216,"",https://rokomari.com//book/145916/pinjor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পিঞ্জর,সুব্রত দে, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2012, ,ভারত,বাংলা
মন নিয়ে,সুলেখা ঘোষ,TK. 180,"",https://rokomari.com//book/145919/mon-niye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মন নিয়ে,সুলেখা ঘোষ, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2013, ,ভারত,বাংলা
হলুদ পাখির সংসার,বটকৃষ্ণ দে,TK. 180,"",https://rokomari.com//book/145921/holud-pakhir-songsar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হলুদ পাখির সংসার,বটকৃষ্ণ দে, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2013, ,ভারত,বাংলা
গাঁটছড়া,ভুবনেশ্বর বন্দ্যোপাধ্যায়,TK. 108,"",https://rokomari.com//book/145922/gatchora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গাঁটছড়া,ভুবনেশ্বর বন্দ্যোপাধ্যায়, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2013, ,ভারত,বাংলা
পুষ্পাঞ্জলি,সুনীল কুমার চট্টোপাধ্যায়,TK. 180,"",https://rokomari.com//book/145923/pushpajoli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পুষ্পাঞ্জলি,সুনীল কুমার চট্টোপাধ্যায়, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2014, ,ভারত,বাংলা
অস্তিত্বের দলিল,অরুণোদয় মুখোপাধ্যায়,TK. 108,"",https://rokomari.com//book/145925/astitwer-dolil,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অস্তিত্বের দলিল,অরুণোদয় মুখোপাধ্যায়, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2009, ,ভারত,বাংলা
বৃত্ত ও বৃত্তের বাইরে,ভুবনেশ্বর বন্দ্যোপাধ্যায়,TK. 180,"",https://rokomari.com//book/145926/britto-o-britter-baire,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বৃত্ত ও বৃত্তের বাইরে,ভুবনেশ্বর বন্দ্যোপাধ্যায়, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2010, ,ভারত,বাংলা
দীয়মান,সমর্পিতা গুহঠাকুরতা,TK. 108,"",https://rokomari.com//book/145927/diyoman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দীয়মান,সমর্পিতা গুহঠাকুরতা, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2010, ,ভারত,বাংলা
ছড়ার রামধনু,ড.ভূবনেশ্বর বন্দ্যোপাধ্যায়,TK. 108,"",https://rokomari.com//book/145928/chorar-ramdhonu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছড়ার রামধনু,ড.ভূবনেশ্বর বন্দ্যোপাধ্যায়, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2012, ,ভারত,বাংলা
রোজনামচার ছিন্নপত্র,কৃ্ষ্ণেন্দু বিশ্বাস,TK. 108,"",https://rokomari.com//book/145929/rojnamchar-chinnopotro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রোজনামচার ছিন্নপত্র,কৃ্ষ্ণেন্দু বিশ্বাস, , ,পোয়েটস ফাউণ্ডেশন (ভারত), ,2014, ,ভারত,বাংলা
