Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মৃত্যুনদীর গান,অরণ্য আপন,TK. 220,TK. 187,https://rokomari.com//book/131589/mrittu-nadir-gaan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9c1ace221254_131589.jpg,"",মৃত্যুনদীর গান,অরণ্য আপন, , ,পৃষ্ঠা প্রকাশন,9789849203797,"1st Published,2017",128,বাংলাদেশ,বাংলা
বকুল ফুলের মালা,রাহীমুন নবী,TK. 120,TK. 106,https://rokomari.com//book/165366/bakul-fuler-mala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/239bdbee0_165366.jpg,"",বকুল ফুলের মালা,রাহীমুন নবী, , ,পৃষ্ঠা প্রকাশন,9789848025956,"1st Published,2018", ,বাংলাদেশ,বাংলা
আদিগন্ত শস্যজলে নিরন্তর বাঁশি,সৌপর্ণ মাছুম,TK. 150,TK. 132,https://rokomari.com//book/208238/aadiganta-shashyajaley-nirontar-banshi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c9f84ba73_208238.jpg,"",আদিগন্ত শস্যজলে নিরন্তর বাঁশি,সৌপর্ণ মাছুম, , ,পৃষ্ঠা প্রকাশন,9789849292715,"1st Published,2018",64,বাংলাদেশ,বাংলা
পেরেকবিদ্ধ সময়,প্রতীক ওমর,TK. 80,TK. 72,https://rokomari.com//book/115707/parekbiddho-somoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/95ea727bd504_115707.gif,"",পেরেকবিদ্ধ সময়,প্রতীক ওমর, , ,পৃষ্ঠা প্রকাশন,9789849203711,"1st Published,2016",48,বাংলাদেশ,বাংলা
কাব্য কানন,নিলুফার রেজা পারভীজ,TK. 125,TK. 110,https://rokomari.com//book/116421/kabbo-kanon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4d10a501f5e4_116421.gif,"",কাব্য কানন,নিলুফার রেজা পারভীজ, , ,পৃষ্ঠা প্রকাশন,9789849203704,"1st Published,2016",64,বাংলাদেশ,বাংলা
অল্প অল্প ক্যাপ্টেন রেজার গল্প,নিলুফার রেজা পারভীজ,TK. 150,TK. 132,https://rokomari.com//book/116422/alpo-alpo-captain-rezar-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1685dce7f9e4_116422.gif,"",অল্প অল্প ক্যাপ্টেন রেজার গল্প,নিলুফার রেজা পারভীজ, , ,পৃষ্ঠা প্রকাশন,9789849203735,"1st Published,2016",95,বাংলাদেশ,বাংলা
বিবর্ণ পাণ্ডুলিপি,আবু সুফিয়ান,TK. 80,TK. 72,https://rokomari.com//book/116423/biborno-pandulipi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e55aec6f0924_116423.gif,"",বিবর্ণ পাণ্ডুলিপি,আবু সুফিয়ান, , ,পৃষ্ঠা প্রকাশন,9789849203759,"1st Published,2016",48,বাংলাদেশ,বাংলা
শত জনমের গান,সিরাজুল ইসলাম,TK. 150,TK. 132,https://rokomari.com//book/116425/shoto-jonomer-gan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/506a05bdc834_116425.gif,"",শত জনমের গান,সিরাজুল ইসলাম, , ,পৃষ্ঠা প্রকাশন,9789849203766,"1st Published,2016",80,বাংলাদেশ,বাংলা
মধ্যরাতের সূর্য,চপল সাহা,TK. 150,TK. 132,https://rokomari.com//book/116437/moddhorater-surjo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5855c3f8e0a4_116437.gif,"",মধ্যরাতের সূর্য,চপল সাহা, , ,পৃষ্ঠা প্রকাশন,9789849203742,"1st Published,2016",95,বাংলাদেশ,বাংলা
সুদের টাকা কাল্পনিক,আনোয়ারুল হক,TK. 200,TK. 176,https://rokomari.com//book/116443/suder-taka-kalponik,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e0aa289b7764_116443.gif,"",সুদের টাকা কাল্পনিক,আনোয়ারুল হক, , ,পৃষ্ঠা প্রকাশন,9789849109828,"3rd Printed,2016",64,বাংলাদেশ,বাংলা
ঈল্লীয়িনে কিছুক্ষন,আবু সাইদ সরকার,TK. 150,TK. 132,https://rokomari.com//book/116449/elliyine-kichukkhon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/037d730e61c4_116449.gif,"",ঈল্লীয়িনে কিছুক্ষন,আবু সাইদ সরকার, , ,পৃষ্ঠা প্রকাশন,9789843382542,"1st Published,2015",96,বাংলাদেশ,বাংলা
