Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আজকের বিশ্ব,গোলাম মোস্তফা কিরন,TK. 340,TK. 289,https://rokomari.com//book/71815/ajker-bishow,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d565c64a5_71815.jpg,"",আজকের বিশ্ব,গোলাম মোস্তফা কিরন, , ,প্রিমিয়ার পাবলিকেশন্স, ,"95th,july 2018",1038,বাংলাদেশ,বাংলা
বিসিএস প্রিলিমিনারী মডেল টেস্ট,প্রিমিয়ার পাবলিকেশন্স ,TK. 360,TK. 306,https://rokomari.com//book/71811/bcs-preliminary-model-test,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eec44f0819b4_71811.gif,"",বিসিএস প্রিলিমিনারী মডেল টেস্ট,প্রিমিয়ার পাবলিকেশন্স, , ,প্রিমিয়ার পাবলিকেশন্স, ,"12th Edition,2015",388,বাংলাদেশ,বাংলা
বিসিএস প্রিলিমিনারি সাজেশন ও সলিউশন,গোলাম মোস্তফা কিরন,TK. 280,TK. 238,https://rokomari.com//book/71812/bcs-preliminary-suggestion-o-solution,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/19e8036588c4_71812.gif,"",বিসিএস প্রিলিমিনারি সাজেশন ও সলিউশন,গোলাম মোস্তফা কিরন, , ,প্রিমিয়ার পাবলিকেশন্স, ,"13th Edition,2015",504,বাংলাদেশ,বাংলা
বিসিএস ভাইভা,গোলাম মোস্তফা কিরন,TK. 480,TK. 408,https://rokomari.com//book/71814/bcs-viva,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_71814.gif,"",বিসিএস ভাইভা,গোলাম মোস্তফা কিরন, , ,প্রিমিয়ার পাবলিকেশন্স, ,"December,2013", ,বাংলাদেশ,বাংলা
এক্সট্রা পাওয়ার-ইংরেজি,গোলাম মোস্তফা কিরন,TK. 480,TK. 408,https://rokomari.com//book/71816/extra-power-english,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0bbc330b82a4_71816.gif,"",এক্সট্রা পাওয়ার-ইংরেজি, , ,গোলাম মোস্তফা কিরন,Primier Publication, ,"8th Edition,2016",574,Bangladesh,Bangla & English
মার্কেটিং ম্যাজিক : এ কমপ্লিট বুক ফর কমপিটেটিভ এক্সাম অন মার্কেটিং,গোলাম মোস্তফা কিরন,TK. 220,TK. 200,https://rokomari.com//book/71817/marketing-magic---a-complete-book-for-competitive-exam-on-marketing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4aecaa9cc234_71817.gif,"",মার্কেটিং ম্যাজিক : এ কমপ্লিট বুক ফর কমপিটেটিভ এক্সাম অন মার্কেটিং, , ,গোলাম মোস্তফা কিরন,প্রিমিয়ার পাবলিকেশন্স, ,"1st Published,2016",148,বাংলাদেশ,বাংলা
বাংলা সঞ্চিতা,গোলাম মোস্তফা কিরন,TK. 250,TK. 213,https://rokomari.com//book/71818/bangla-sonchita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b18c8293d214_71818.gif,"",বাংলা সঞ্চিতা, , ,গোলাম মোস্তফা কিরন,প্রিমিয়ার পাবলিকেশন্স, ,"4th Published,2016",696,বাংলাদেশ,বাংলা
ইক্যুয়েশন : এ কমপ্লিট প্রাকটিস বুক ফর এ্যাকাউন্টিং,গোলাম মোস্তফা কিরন,TK. 260,TK. 221,https://rokomari.com//book/71819/equation---a-complete-practice-book-for-accounting,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/43fdcaa3f104_71819.gif,"",ইক্যুয়েশন : এ কমপ্লিট প্রাকটিস বুক ফর এ্যাকাউন্টিং, , ,গোলাম মোস্তফা কিরন,প্রিমিয়ার পাবলিকেশন্স, ,"12th Edition,2016",472,বাংলাদেশ,বাংলা
বিশ্ববিদ্যালয় ভর্তি সাজেশন (খ ঘ ইউনিট) (নলেজ ভিউ),প্রিমিয়ার পাবলিকেশন্স ,TK. 160,TK. 141,https://rokomari.com//book/71820/national-university-admission-suggestion--kha---gha-unit---knowledge-view-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিশ্ববিদ্যালয় ভর্তি সাজেশন (খ ঘ ইউনিট) (নলেজ ভিউ),প্রিমিয়ার পাবলিকেশন্স, , ,প্রিমিয়ার পাবলিকেশন্স, , , ,বাংলাদেশ,বাংলা
"বিশ্ববিদ্যালয় ভর্তি সাজেশন, মানবিক বিভাগ (খ ঘ ইউনিট) (নলেজ পাওয়ার)",প্রিমিয়ার পাবলিকেশন্স ,TK. 130,TK. 114,https://rokomari.com//book/71821/national-university-admission-suggestion--for-arts---kha---gha-unit---knowledge-power-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","বিশ্ববিদ্যালয় ভর্তি সাজেশন,মানবিক বিভাগ (খ ঘ ইউনিট) (নলেজ পাওয়ার)",প্রিমিয়ার পাবলিকেশন্স, , ,প্রিমিয়ার পাবলিকেশন্স, ,"July,2014", ,বাংলাদেশ,বাংলা
