Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আধুনিক বিশ্ববিখ্যাত ১০ ভূতের গল্প,শাহীন রাহমান,TK. 160,TK. 141,https://rokomari.com//book/11102/adhunik-bishobikhato-10-vutar-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_11102.gif,"",আধুনিক বিশ্ববিখ্যাত ১০ ভূতের গল্প, ,শাহীন রাহমান, ,প্রিয় প্রকাশ, ,"1st,2015", ,বাংলাদেশ,বাংলা
সুতরাং এবং ইত্যাদি,আলম তালুকদার,TK. 60,TK. 54,https://rokomari.com//book/81693/sutorang-ebong-ittadi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_81693.gif,"",সুতরাং এবং ইত্যাদি,আলম তালুকদার, , ,প্রিয় প্রকাশ,9789848982181, , ,বাংলাদেশ,বাংলা
গ্রামবাংলার রঙ্গগল্প,শামসুজ্জামান খান,TK. 120,TK. 106,https://rokomari.com//book/10117/grambangler-rangogalpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_10117.gif,"",গ্রামবাংলার রঙ্গগল্প,শামসুজ্জামান খান, , ,প্রিয় প্রকাশ, , , ,বাংলাদেশ,বাংলা
ছন্দ শিখে লিখি উচ্চারণ শিখি,আতিক রহমান,TK. 120,TK. 106,https://rokomari.com//book/81698/chhondo-shikhe-likhi-uccharon-shikhi--agrani-bank-shishusahitto-puroshkarprapto-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছন্দ শিখে লিখি উচ্চারণ শিখি,আতিক রহমান, , ,প্রিয় প্রকাশ,9789848982013, , ,বাংলাদেশ,বাংলা
খেলাধুলার সহজপাঠ,আতিক রহমান,TK. 350,TK. 298,https://rokomari.com//book/158766/khala-dhular-shohojpart,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6cf59f2f8_158766.jpg,"",খেলাধুলার সহজপাঠ,আতিক রহমান, , ,প্রিয় প্রকাশ,9789848982484,"1st Published,2018",160,বাংলাদেশ,বাংলা
হুমায়ূন আহমেদের হাস্যরস কালিদাস পণ্ডিতের ধাঁধা ও মীরাক্কেলের কৌতুক,আতিক রহমান,TK. 135,TK. 119,https://rokomari.com//book/81691/humayun-ahmeder-hassoros-kalidaser-dhadha-o-mirakeler-koutok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_81691.gif,"",হুমায়ূন আহমেদের হাস্যরস কালিদাস পণ্ডিতের ধাঁধা ও মীরাক্কেলের কৌতুক, , ,আতিক রহমান,প্রিয় প্রকাশ,9789848982280,"1st,2012",79,বাংলাদেশ,বাংলা
মুক্তিযুদ্ধের শ্রেষ্ঠ সাত গল্প,রেইনি দিন আফরোজ,TK. 100,TK. 90,https://rokomari.com//book/81710/muktijudder-shestho-sat-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_81710.gif,"",মুক্তিযুদ্ধের শ্রেষ্ঠ সাত গল্প, , ,রেইনি দিন আফরোজ,প্রিয় প্রকাশ, , , ,বাংলাদেশ,বাংলা
বিজ্ঞান প্রজেক্ট : খেলতে খেলতে বিজ্ঞানী,ড. মুহম্মদ আলী,TK. 300,TK. 255,https://rokomari.com//book/81708/biggan-project---khelte-khelte-biggani,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150502_81708.gif,"",বিজ্ঞান প্রজেক্ট : খেলতে খেলতে বিজ্ঞানী,ড. মুহম্মদ আলী, , ,প্রিয় প্রকাশ,978984892327,"1st,2014",160,বাংলাদেশ,বাংলা
বিশ্ববিখ্যাত শত বিজ্ঞানী,আতিক রহমান,TK. 300,TK. 255,https://rokomari.com//book/81707/bissobikhato-shoto-biggani,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_81707.gif,"",বিশ্ববিখ্যাত শত বিজ্ঞানী,আতিক রহমান, , ,প্রিয় প্রকাশ,9789848982310,"1st,2014",160,বাংলাদেশ,বাংলা
জাদুর ঝড়,কবীর চৌধুরী,TK. 60,TK. 54,https://rokomari.com//book/81692/jadur-jhor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_81692.gif,"",জাদুর ঝড়,কবীর চৌধুরী, , ,প্রিয় প্রকাশ,9789848982112, , ,বাংলাদেশ,বাংলা
