Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
রূপ অপরূপ,পপি চৌধুরী,TK. 300,TK. 255,https://rokomari.com//book/8358/rup-oporup,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1db96429d_8358.jpg,"",রূপ অপরূপ,পপি চৌধুরী, , ,প্রীতম প্রকাশ,9789848853115,"1st Published,2010",144,বাংলাদেশ,বাংলা
সিঁদুর,পপি চৌধুরী,TK. 150,TK. 132,https://rokomari.com//book/96994/shidur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bfe4d95cf_96994.jpg,"",সিঁদুর,পপি চৌধুরী, , ,প্রীতম প্রকাশ,9789848853634,"1st Published,2015",96,বাংলাদেশ,বাংলা
ভালোবাসি,রাহিতুল ইসলাম,TK. 50,TK. 45,https://rokomari.com//book/207210/valobashi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/36ae5eb99_207210.jpg,"",ভালোবাসি,রাহিতুল ইসলাম, , ,প্রীতম প্রকাশ,9789848853696,"2nd Printed,2021",24,বাংলাদেশ,বাংলা
১৯৭১ এর  ঘাতক দালালদের বক্তৃতা ও বিবৃতি,সাইদুজ্জামান রওশন,TK. 150,TK. 132,https://rokomari.com//book/5684/1971-ar-gratok-dalalder-boktrita-o-bibriti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_5684.GIF,"",১৯৭১ এর  ঘাতক দালালদের বক্তৃতা ও বিবৃতি,সাইদুজ্জামান রওশন, , ,প্রীতম প্রকাশ,9789848853078,"1st Published,2011",65,বাংলাদেশ,বাংলা
হাদীসে রাসূল (সা:),ফেরদৌস মজুমদার,TK. 150,TK. 113,https://rokomari.com//book/62668/hadise-rasul--sa--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_62668.gif,"",হাদীসে রাসূল (সা:), , ,ফেরদৌস মজুমদার,প্রীতম প্রকাশ, , , ,বাংলাদেশ,বাংলা
সখিনার চন্দ্রকলা ,সেলিনা হোসেন,TK. 225,TK. 191,https://rokomari.com//book/61619/sakhinar-chandrokola,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_61619.GIF,"ফ্ল্যাপে লিখা কথা
‘সখিনার চন্দ্রকলা’ সেলিনা হোসেনের নবম গল্প সংকলন। তাঁর প্রথম গল্পসংকলন ‘উৎস থেকে নিরন্তর’ প্রকাশিত হয় ১৯৬৯ সালে। 

গত পাঁচ বছর ধরে লেকা গল্পগুলো নিয়ে প্রকাশিত এই সংকলনে আছে তাঁর সমাজ ভাবনার অনুধাবন, আছে নারী জীবনের বিষয়-আশয়ের চিত্ররূপ, আছে মুক্তিযোদ্ধাদের জীবনের ঘাত-প্রতিঘাত এবং একই সঙ্গে তাদের ঋদ্ধ মানসের ছবি, আছে রাষ্ট্রক্ষমতার জটিলতার প্রতীকী চেহারা। তিনি উঠিছেন বনভূমিতে যাপিত জীবনের মানুষের অবদমনের কথা। তাঁর গল্পে শুনতে পাওয়া যায় সময়ের ঘন্টাধ্বনি।

এই ধ্বনি দীর্ঘলয়ে বাজে। কখনো বাজে সরবে কখনো মৃদু ব্যঞ্জনায় কিংবা অদৃশ্য মন্দিরায়। তারপর জীবনে অন্তর্মুখী-বহির্মুখী যন্ত্রণা, ধিক্কার এবং আঘাত গল্পের দেয়ালে সেই ছাপচিত্রে মুদ্রিত হয় যা মানুষ এবং মানুষের বহমান জীবনের স্থায়ী শব্দরূপ। এসবের ভেতর দিয়ে তার গল্প শিল্পের প্রতিনিধিত্ব করে। সাহিত্যের ভুবনে নির্মাণ করে শব্দশিল্পের কুঁড়েঘর।

সূচিপত্র
* বনভূমি
* সিজ ফায়ার
* পঞ্চাশ
* বিধবা
* ভাবমূর্তি
* নো ক্লু
* পা ও গ্রেনেড
* মইরম জানে না ধর্ষণ কি
* জেসমিনের ইচ্ছাপূরণ
* ল্যাংড়াটা খুন হয়েছে
* অরণ্য কুসুম
* ধারণা
* কুন্তলার অন্ধকার
* দুই কিশোরীর ক্রসফায়ার
* শেষ পর্যন্ত শফিউল্লাহ
* ঘোষণা
* সখিনার চন্দ্রকলা",সখিনার চন্দ্রকলা,সেলিনা হোসেন, , ,প্রীতম প্রকাশ,9789848853412,"1st Published,2013",160,বাংলাদেশ,বাংলা
ঘুরে দেখুন সার্কভুক্ত দেশ,লিয়াকত হোসেন খোকন,TK. 350,TK. 298,https://rokomari.com//book/62788/ghure-dakhun-saarc-vukto-desh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2984c387a_62788.jpg,"'ঘুরে দেখুন সার্কভুক্ত দেশ' বইয়ের ফ্ল্যাপের কথা:
শ্রীলংকা, পাকিস্তান, মালদ্বীপ, ভূটান, ভারত, নেপাল আর বাংলাদেশ- এই ৭টি দেশ নিয়ে গঠিত হয়েছে সার্কভুক্ত দেশ। সার্কভুক্ত দেশ হলেও এক দেশ থেকে আরেক দেশে যাওয়া সহজ নয়।
তাই ৭টি দেশের দর্শনীয় স্থানের বর্ণনা, কোথায় কিভাবে যাবেন, কোথায় থাকবেন (হোটেলের নাম এবং ফোন নাম্বারসহ), বেড়াতে গিয়ে কিসের দেখা মিলবে, কত খরচ পড়বে, - এ নিয়েই ঘুরে দেখুন সার্কভুক্ত দেশ’ গ্রন্থটি।
৭টি দেশের দর্শনীয় স্থান ভ্রমণের পূর্ণাঙ্গ তথ্যাদ এই গ্রন্থে তুলে ধরার যথাসাধ্য চেষ্টা করা হয়েছে। ঘরে বসেও এই গ্রন্থটি পড়ে ৭টি দেশ সম্পর্কে জানা যাবে। যে কেউ গ্রন্থটি হাতে নিয়ে খুব সহজে ঘুরে আসতে পারবেন- নেপাল, ভূটান, মালদ্বীপ, ভারত, শ্রীলংকা ও পাকিস্তান।
সূচি:
মালদ্বীপ ১৩
ভুটান ১৭
নেপাল ২২
শ্রীলংকা ৩১
পাকিস্তান ৩৪
ভারত ৫৪
বাংলাদেশ ১৮৪
লেখক পরিচিতি:
লেখক লিয়াকত হোসেন খোকন ১৯৫৩ সালের ১৪ মার্চ পিরোজপুর শহরের রায়বাহাদুর রোডে (আদর্শ পাড়া) ‘স্মৃতি ভবনে জন্মগ্রহণ করেন। পিতা মৃত আমির হোসেন মিয়া এবং মাতা মৃত আমেনা খাতুন। লেখক ১৯৭৮ সালে ঢাকা বিশ্ববিদ্যালয় থেকে ইতিহাসে মাস্টার্স ডিগ্রি লাভের পর প্রাতষ্ঠানিক পড়াশোনার ইতি টানেন। বর্তমানে তিনি মৎস্য ও পশুসম্পদ তথ্য দপ্তরের ঢাকাস্থ আঞ্চলিক অফিসে আঞ্চলিক বেতার ও মৎস্য পশুসম্পদ অফিসার।
ভ্রমণের ওপর তিনি লেখালেখি শুরু করেন ১৯৭৬ সাল থেকে। ‘বাংলাদেশ ভ্রমণ’ তাঁর লেখা প্রথম গ্রন্থ। পৃথিবীর বিভিন্ন দেশ ঘুরে এসে তিনি সাথে সাথে বিভিন্ন পত্রিকায় সেই দেশটি ভ্রমণের ওপর লিখতেন। এভাবেই একদিন সেই যে লেখা শুরু এখনও নিয়মিত লিখেই চলেছেন।",ঘুরে দেখুন সার্কভুক্ত দেশ,লিয়াকত হোসেন খোকন, , ,প্রীতম প্রকাশ,9847011800448,"1st Published,2009",240,বাংলাদেশ,বাংলা
সুস্থ থাকুন ওষুধ ছাড়া,পপি চৌধুরী,TK. 300,TK. 255,https://rokomari.com//book/79098/sustho-thakun-oushodh-chhara,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dab6c77eeb24_79098.jpg,"",সুস্থ থাকুন ওষুধ ছাড়া, , ,পপি চৌধুরী,প্রীতম প্রকাশ,9789848853429,"1st Published,2013",176,বাংলাদেশ,বাংলা
সীমান্ত কথা (Tales Of The Border),মখদুম আজম মাশরাফী,TK. 150,TK. 71,https://rokomari.com//book/96998/tales-of-the-border,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5b7e03239_96998.jpg,"",সীমান্ত কথা (Tales Of The Border),মখদুম আজম মাশরাফী, , ,প্রীতম প্রকাশ,9789848853627,"1st Published,2015",96,বাংলাদেশ,বাংলা
ঘুরে দেখুন বাংলাদেশ,লিয়াকত হোসেন খোকন,TK. 200,TK. 176,https://rokomari.com//book/62787/ghure-dakhun-bangladesh--vromon-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_62787.GIF,"",ঘুরে দেখুন বাংলাদেশ,লিয়াকত হোসেন খোকন, , ,প্রীতম প্রকাশ, , , ,বাংলাদেশ,বাংলা
