Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
রবীন্দ্রনাথের রূপক নাট্য,শান্তিকুমার দাশগুপ্ত,TK. 270,"",https://rokomari.com//book/147859/robindronather-rupok-natyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রনাথের রূপক নাট্য,শান্তিকুমার দাশগুপ্ত, , ,প্রজ্ঞা বিকাশ (ভারত),9789381684337,2013,260,ভারত,বাংলা
মন্মথ রায় নাট্য সংকলন,মন্মথ রায়,TK. 900,"",https://rokomari.com//book/208067/monmoth-roy-natto-songkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/054cde5f1_208067.jpg,"",মন্মথ রায় নাট্য সংকলন,মন্মথ রায়, ,ড. সনাতন গোস্বামী,প্রজ্ঞা বিকাশ (ভারত),9788192140490,"2nd Edition,2013",896,ভারত,বাংলা
প্রুফ সংশোধনের-১ম পাঠ,অপরাজিতা বন্দ্যোপাধ্যায়,TK. 144,"",https://rokomari.com//book/147929/proof-songshudhoner-1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1dc49615a_147929.jpg,"",প্রুফ সংশোধনের-১ম পাঠ,অপরাজিতা বন্দ্যোপাধ্যায়, , ,প্রজ্ঞা বিকাশ (ভারত),9789383016457,"1st Published,2015",176,ভারত,বাংলা
পুতুল নাচের ইতিকথা,মানিক বন্দ্যোপাধ্যায়,TK. 288,"",https://rokomari.com//book/147695/putul-nacher-itikotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/20a0e537f_147695.jpg,"",পুতুল নাচের ইতিকথা,মানিক বন্দ্যোপাধ্যায়, , ,প্রজ্ঞা বিকাশ (ভারত), ,"Reprint,2017",224,ভারত,বাংলা
ইংরেজী সাহিত্যের সংক্ষিপ্ত ইতিহাস,ড. দেবেশ কুমার আচার্য,TK. 108,"",https://rokomari.com//book/147745/english-sahityer-songkkhipto-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0ba1ba958_147745.jpg,"",ইংরেজী সাহিত্যের সংক্ষিপ্ত ইতিহাস,ড. দেবেশ কুমার আচার্য, , ,প্রজ্ঞা বিকাশ (ভারত),9789381684122,"7th Printed,2017",135,ভারত,বাংলা
গবেষনা: তথ্য ও প্রয়োগ,তারকনাথ ভট্টাচার্য,TK. 180,"",https://rokomari.com//book/147743/gobeshona---tothyo-o-proyug,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/67a4f5408_147743.jpg,"",গবেষনা: তথ্য ও প্রয়োগ,তারকনাথ ভট্টাচার্য, , ,প্রজ্ঞা বিকাশ (ভারত),9789381684108,"Reprint,2016",143,ভারত,বাংলা
বাংলার ব্রত,অবনীন্দ্রনাথ ঠাকুর,TK. 90,"",https://rokomari.com//book/147757/banglar-broto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/671364010_147757.jpg,"",বাংলার ব্রত,অবনীন্দ্রনাথ ঠাকুর, ,প্রজ্ঞা বিকাশ,প্রজ্ঞা বিকাশ (ভারত), ,"Reprint,2018",66,ভারত,বাংলা
কাব্য-সঞ্চয়ন,সত্যেন্দ্রনাথ দত্ত,TK. 234,"",https://rokomari.com//book/147759/kabyo-songchoyon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কাব্য-সঞ্চয়ন,সত্যেন্দ্রনাথ দত্ত, , ,প্রজ্ঞা বিকাশ (ভারত), ,2012, ,ভারত,বাংলা
বুদ্ধদেব বসুর তপস্বী ও তরঙ্গিণীঃ কয়েকটি প্রসঙ্গ,লায়েক আলি খান,TK. 144,"",https://rokomari.com//book/147728/buddhoeb-bosur-toposwi-o-torongini---koyeki-prosongo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e4155f46c_147728.jpg,"",বুদ্ধদেব বসুর তপস্বী ও তরঙ্গিণীঃ কয়েকটি প্রসঙ্গ,লায়েক আলি খান, , ,প্রজ্ঞা বিকাশ (ভারত),9789381684047,"1st Edition,2012",181,ভারত,বাংলা
মনসামঙ্গল,কেতকাদাস,TK. 360,"",https://rokomari.com//book/147719/monosamongol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/230af905d_147719.jpg,"",মনসামঙ্গল,কেতকাদাস, , ,প্রজ্ঞা বিকাশ (ভারত),9789383016501,"3rd Edition,2017",254,ভারত,বাংলা
লাল সালু: নিবিড় পাঠ,লিপিকা ঘোষাল,TK. 90,"",https://rokomari.com//book/147729/lal-salu---nibir-path,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",লাল সালু: নিবিড় পাঠ,লিপিকা ঘোষাল, , ,প্রজ্ঞা বিকাশ (ভারত), ,2011, ,ভারত,বাংলা
তুলসী লাহিড়ীর নাট্য সমগ্র,তুলসী লাহিড়ী,TK. 900,"",https://rokomari.com//book/147742/tulsi-lahirir-natyo-somogro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/52cae10d6_147742.gif,"",তুলসী লাহিড়ীর নাট্য সমগ্র,তুলসী লাহিড়ী, , ,প্রজ্ঞা বিকাশ (ভারত),9788192140483,"1st Published,2012",662,ভারত,বাংলা
রাজপুত জীবন-সন্ধ্যাঃএকটি নতুন পাঠ,সুব্রত রায়চৌধুরী,TK. 180,"",https://rokomari.com//book/147931/rajput-jibon-sondhya---ekti-notun-path,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/badf9361f_147931.jpg,"",রাজপুত জীবন-সন্ধ্যাঃএকটি নতুন পাঠ,সুব্রত রায়চৌধুরী, , ,প্রজ্ঞা বিকাশ (ভারত),97883016471,"2nd Edition,2018",192,ভারত,বাংলা
সুনীল গঙ্গোপাধ্যায়ের কাব্যভুবন,চন্দন খাঁ,TK. 450,"",https://rokomari.com//book/147860/sunil-gongopadyaer-kabyobhubon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সুনীল গঙ্গোপাধ্যায়ের কাব্যভুবন,চন্দন খাঁ, , ,প্রজ্ঞা বিকাশ (ভারত), ,2013, ,ভারত,বাংলা
সোমেন চন্দের গল্প: নিজস্ব পাঠের আয়নায়,সোমেন চন্দ,TK. 108,"",https://rokomari.com//book/147696/somen-chondrer-golpo---nijoswo-pather-aynay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সোমেন চন্দের গল্প: নিজস্ব পাঠের আয়নায়,সোমেন চন্দ, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
গল্প অবিকল,চিত্তরঞ্জন ভট্টাচার্য,TK. 144,"",https://rokomari.com//book/147697/golpo-abikol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গল্প অবিকল,চিত্তরঞ্জন ভট্টাচার্য, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
বাংলা ছোটগল্পের তিন নক্ষত্র: বনফুল-প্রেমেন্দ্র মিত্র-নারায়ণ গঙ্গোপাধ্যায়,শীতল চৌধুরী,TK. 144,"",https://rokomari.com//book/147698/bangla-chotogolper-tin-nokkhotro---bonoful-premendro-mitra-narayon-gongopadhay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাংলা ছোটগল্পের তিন নক্ষত্র: বনফুল-প্রেমেন্দ্র মিত্র-নারায়ণ গঙ্গোপাধ্যায়,শীতল চৌধুরী, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
একালের কবিতা বিষয়ে ও শৈলীতে,সুব্রত রায়চৌধুরী,TK. 144,"",https://rokomari.com//book/147699/ekaler-kobita-bishoye-o-shoilite,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",একালের কবিতা বিষয়ে ও শৈলীতে,সুব্রত রায়চৌধুরী, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
সাহিত্যের রূপভেদ: রূপরীতি,সত্যচরণ চট্টোপাধ্যায়,TK. 216,"",https://rokomari.com//book/147700/sahityer-rupbhed---ruporeeti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সাহিত্যের রূপভেদ: রূপরীতি,সত্যচরণ চট্টোপাধ্যায়, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
রবীন্দ্রোত্তোর বাংলা নাটকের ইতিহাস,ড. জগন্নাথ ঘোষ,TK. 252,"",https://rokomari.com//book/147701/robindrottor-bangla-natoker-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রোত্তোর বাংলা নাটকের ইতিহাস,ড. জগন্নাথ ঘোষ, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
বনফুলের ছোটগল্প,ড. সরোজমোহন মিত্র,TK. 126,"",https://rokomari.com//book/147702/bonofuler-chothogolpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বনফুলের ছোটগল্প,ড. সরোজমোহন মিত্র, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
বাংলা সাহিত্যঃতুলনার দর্পণে,কুমার রায়,TK. 108,"",https://rokomari.com//book/147703/bangla-sahityo---tulonar-dorpone,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাংলা সাহিত্যঃতুলনার দর্পণে,কুমার রায়, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
সংস্কৃত সাহিত্যের সংক্ষিপ্ত ইতিহাস,ড. দেবেশ কুমার আচার্য,TK. 126,"",https://rokomari.com//book/147704/songskrito-sahitye-songkkhipto-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সংস্কৃত সাহিত্যের সংক্ষিপ্ত ইতিহাস,ড. দেবেশ কুমার আচার্য, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
"বেনের মেয়েঃ পাঠকের চোখে, অনুভবে",হরপ্রসাদ শাস্ত্রী,TK. 108,"",https://rokomari.com//book/147705/bener-meye---pathoker-chokhe--anubhobe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","বেনের মেয়েঃ পাঠকের চোখে,অনুভবে",হরপ্রসাদ শাস্ত্রী, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
পদ্মাবতী সমীক্ষা,ড. অমৃত লাল বালা,TK. 180,"",https://rokomari.com//book/147706/podmaboti-someekha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পদ্মাবতী সমীক্ষা,ড. অমৃত লাল বালা, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
নিরালোক,শংকর মন্ডল,TK. 72,"",https://rokomari.com//book/147707/niralok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নিরালোক,শংকর মন্ডল, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
সাহিত্যঃনানা প্রসঙ্গ -২য় খণ্ড,ডা. রবীন্দ্রনাথ বন্দ্যোপাধ্যায়,TK. 144,"",https://rokomari.com//book/147708/sahityo---nana-prosongo--2nd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সাহিত্যঃনানা প্রসঙ্গ -২য় খণ্ড,ডা. রবীন্দ্রনাথ বন্দ্যোপাধ্যায়, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
রবীন্দ্রনাথের মুক্তধারা,ড. মন্দিরা রায়,TK. 180,"",https://rokomari.com//book/147709/robindronather-muktodhara,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রনাথের মুক্তধারা,ড. মন্দিরা রায়, , ,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
বঙ্কিমচন্দ্রের বিবিধ প্রবন্ধ,ডঃ ভবানী গোপাল সান্যাল,TK. 216,"",https://rokomari.com//book/147710/bongkimchondrer-bibidh-probondho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বঙ্কিমচন্দ্রের বিবিধ প্রবন্ধ, , ,ডঃ ভবানী গোপাল সান্যাল,প্রজ্ঞা বিকাশ (ভারত), ,2009, ,ভারত,বাংলা
অচলায়তনঃ বর্ণময় অনুসন্ধান,চন্দন খাঁ,TK. 126,"",https://rokomari.com//book/147711/acholayoton---bornomoy-anusondhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অচলায়তনঃ বর্ণময় অনুসন্ধান, , ,চন্দন খাঁ,প্রজ্ঞা বিকাশ (ভারত), ,2010, ,ভারত,বাংলা
